id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,assist,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2515030547,1,34,16,0,0,c9ky1957qli8v2lylfga7io8b,1,0,0,2023-03-04T14:05:55.130Z,2023-03-04T14:05:55Z,4070813113,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4070813101,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4070813105,130,8,4070813111,197,16501,4070813099,30,"bu7u0edo60hpre8wkhgw79gwl, cs5ejx87ge8am8ir8w0lj4wk5, 5f1erzxtvzncvf1wtqnv3fgmh, 87aix2c3m5x08nsurhjql51p1, 82m1eir9istcl9x5srqdrtca2, e98evrjmtbjwjrmvlhu1hn36d, fx0i4f70a096eya9f6irwdt5, 1xofhzib5lyqx285j8x36xg8a, 9ki0zmbky1zluxnz63008ozmy, cugnsf9b6g823srxuux5jnofe, dnnv0ts8b4ov8id729wyoeuax, 2i835ww5po0e5y9txkdajsnsa, 9eglkkpww5oem5vdrmf8q2bu2, 4w3ipvncxgip8rxi2sf0l971l, atx6lc3lltktph9wnqv5oihg5, 1ol8b62vocx8kr8p4egifu3md, ba98uem1wm5f638awk1k5caok, dn3d4l4uyymqlsynwf1lfnzf8, a0l4rb2ost4tj3t3jt09utces, 3je3s65vdag4qctd9q0ku8z8q",4070813103,59,"1, 12, 3, 14, 25, 4, 18, 26, 13, 32, 23, 2, 10, 15, 16, 17, 31, 37, 39, 99",4070813109,194,bu7u0edo60hpre8wkhgw79gwl,4070813107,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515032705,1,34,16,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2023-03-04T14:09:04.431Z,2023-03-04T15:09:13Z,4070824747,197,1999,4070824749,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4070824735,30,"cgu73urupkapqq9bnl17s8tt5, z1apq9hkjp8l8jhpegacpwid, db1hineo65ck1zyg8kjtl5iad, cwdqe0rv5dcshhfhke86j9z2t, dm0ktjgadvf89t9zsqybufnxl, 9mgoxb4nlse8gjbmcs0nh0dex, 960mhrs3usnisl5jv0xzok3x1, 73grc910ff9auyze63pgtoet, b0fuw7r17cq41awaoydw9bjl5, 48hhfwdy6qw1cjd1el8n9t591, 1mbcl4xzln2fyj0o3aapdhdrd, 9ykuo0c905u48vd44wxgb6jth, 8gh8ocvon1ht6yxxdxaisfa39, f104wb7oezb00w1lmyebcow6h, elmr3dbzcn0od1mflq6mc02ui, 91z7xt6xuwgzt0jyg5owh6yfp, 7jn2vr9iq2cg2ui6oaww1i6i2, djyjh9vs99rm6pfm2ofhwfd91, 1swg0twoet2to70z38wo78b1l, ejo44v1xeqrf9wsc1q3td4ul1",4070824745,194,z1apq9hkjp8l8jhpegacpwid,4070824741,130,9,4070824739,59,"1, 2, 11, 18, 5, 15, 8, 33, 9, 19, 17, 6, 7, 12, 16, 22, 23, 28, 29, 32",4070824737,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4070824743,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515076685,2,32,1,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2023-03-04T15:03:53.920Z,2023-03-04T15:03:54Z,4071044203,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515076695,2,32,1,0,0,c9ky1957qli8v2lylfga7io8b,1,0,0,2023-03-04T15:03:53.920Z,2023-03-04T15:03:56Z,4071044261,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515076747,3,1,1,0,0,c9ky1957qli8v2lylfga7io8b,1,50,50.3,2023-03-04T15:03:54.020Z,2023-03-04T15:47:53Z,4071044523,56,Back,4071044535,212,18.5,4071044531,141,43.1,4071044539,213,3.4,4071044541,279,S,4071044527,140,33.0,,,,,,,cugnsf9b6g823srxuux5jnofe,J. Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515076887,4,1,1,0,2,c9ky1957qli8v2lylfga7io8b,0,37.5,52.1,2023-03-04T15:03:56.653Z,2023-03-04T15:04:00Z,4071045267,212,45.2,4071045261,140,79.2,4071045271,1,,4071045269,213,0.3,4071045263,141,68.8,4071045257,155,,4071045259,56,Center,,,,1xofhzib5lyqx285j8x36xg8a,C. Egan-Riley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515076947,3,1,1,0,7,besu5lkqmra07drq1czpr0tk4,1,20.5,39.7,2023-03-04T15:04:01.197Z,2023-03-04T15:04:02Z,4071045559,56,Back,4071045563,141,21.5,4071045557,3,,4071045565,212,12.4,4071045561,140,21.7,4071045567,213,4.8,,,,,,,dm0ktjgadvf89t9zsqybufnxl,J. Fitzwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515077041,5,49,1,0,8,besu5lkqmra07drq1czpr0tk4,1,17.7,16.4,2023-03-04T15:04:02.413Z,2023-03-04T15:04:12Z,,,,,,,,,,,,,,,,,,,,,,,,,z1apq9hkjp8l8jhpegacpwid,N. Devlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515076969,4,1,1,0,8,besu5lkqmra07drq1czpr0tk4,0,20.8,22.4,2023-03-04T15:04:02.700Z,2023-03-04T15:04:09Z,4071045675,212,19.7,4071045671,140,35.4,4071045673,141,40.7,4071045667,157,,4071045677,213,0.7,4071045679,1,,4071045669,56,Back,,,,z1apq9hkjp8l8jhpegacpwid,N. Devlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515077171,7,49,1,0,9,c9ky1957qli8v2lylfga7io8b,1,63.1,68.7,2023-03-04T15:04:03.852Z,2023-03-04T15:04:13Z,,,,,,,,,,,,,,,,,,,,,,,,,87aix2c3m5x08nsurhjql51p1,J. Jeggo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
