id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/18/value,qualifier/19/value,assist,qualifier/16/value
2481348087,1,34,16,0,0,c9ky1957qli8v2lylfga7io8b,1,0,0,2022-11-04T18:32:18.840Z,2022-11-04T19:52:25Z,3893499663,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3893499661,130,12,3893499655,30,"bu7u0edo60hpre8wkhgw79gwl, cs5ejx87ge8am8ir8w0lj4wk5, 5f1erzxtvzncvf1wtqnv3fgmh, e98evrjmtbjwjrmvlhu1hn36d, cx021j1n37kzienjdgd9qndka, 87dk4hxfl302jn9iu3vr9pckp, 89df7o58mynvgjs0xlq4zh71l, afowz5wysshf6f5mj5iz1t5h, 3je3s65vdag4qctd9q0ku8z8q, fx0i4f70a096eya9f6irwdt5, cxxhe0dwp3wi35c28spse4l7u, 9eglkkpww5oem5vdrmf8q2bu2, atx6lc3lltktph9wnqv5oihg5, dj5ho4am5u4ew23hchm4g549h, 7io59zk29vhvyueadmkotzeqy, cd8joybckap9rrjor75n64dt5, dnnv0ts8b4ov8id729wyoeuax, 47wddacm2cmbifzhdkr79mk7p, 82m1eir9istcl9x5srqdrtca2, cugnsf9b6g823srxuux5jnofe",3893499665,194,bu7u0edo60hpre8wkhgw79gwl,3893499657,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3893499667,197,15960,3893499669,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3893499659,59,"1, 12, 3, 4, 33, 5, 7, 11, 99, 18, 6, 10, 16, 19, 20, 21, 23, 24, 25, 32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481348185,1,34,16,0,0,841zp0njrq63yv4fvw6lgf60q,1,0,0,2022-11-04T18:32:33.235Z,2022-11-04T19:38:53Z,3893500175,194,53y4n4h9zi3d1l1f9jb9ytxhx,3893500165,30,"26hokry025pgjx5bn7ljlkatx, 16x7shxmsfll6pytg8b8v0dbe, su2h9bv6nhltjjkbz5s7lrdh, 53y4n4h9zi3d1l1f9jb9ytxhx, 6o62deaqwdcrllc91hz09cct1, 8byxqwq7ktyxn5rfbj4p0m0o9, cxykkqaoe67ndqpwoq1t15ca2, c4kxfrbrfedilykhbyak3e579, 8cpd4je0ku8wjumqeh3ruv10p, bkehljspqbj6tz0peqjivkvai, 6ne71gfjoez9m0tk8qozd8e3u, 6xvw6n5wq8bcgg01i87rbfsgl, 4e49434kkv98sjq1byj8rnkh6, 1naidcngjv592t1hgd78yy8oa, 5frjqqf0jvbqw8ag00pktw8yy, 7ie1bwuj4e18xy9bl6mszwt1, 9imvdvv7wnaknh1bc4ocun78q, eh244gs179rv5hxz3oisx8d90, el8iinhsb8c12kgvng4idutat, dnv51o5kbp3627cjdl5yxks7p",3893500171,130,19,3893500173,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3893500167,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3893500169,59,"24, 25, 22, 5, 2, 4, 8, 16, 9, 11, 20, 1, 3, 7, 10, 15, 23, 28, 33, 99",3893500179,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3893500177,197,7011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481381621,2,32,1,0,0,841zp0njrq63yv4fvw6lgf60q,1,0,0,2022-11-04T19:30:45.277Z,2022-11-05T01:07:45Z,3893674673,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481381627,2,32,1,0,0,c9ky1957qli8v2lylfga7io8b,1,0,0,2022-11-04T19:30:45.277Z,2022-11-04T19:30:47Z,3893674697,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481381659,3,1,1,0,0,841zp0njrq63yv4fvw6lgf60q,1,50,50,2022-11-04T19:30:45.325Z,2022-11-05T05:25:56Z,3893674847,140,37.2,3893674845,56,Back,3893674849,141,47.2,3894307219,178,,3893674855,279,S,3893674851,212,13.6,3893674853,213,3.3,,,,8cpd4je0ku8wjumqeh3ruv10p,B. Miovski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481381671,4,1,1,0,2,841zp0njrq63yv4fvw6lgf60q,1,34.5,52.8,2022-11-04T19:30:47.628Z,2022-11-05T05:26:00Z,3893674931,213,1.9,3893674921,141,79.1,3893674915,56,Back,3893674927,212,18.8,3893674917,140,29.0,3894307359,178,,,,,,,,cxykkqaoe67ndqpwoq1t15ca2,C. Barron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481381699,5,1,1,0,4,841zp0njrq63yv4fvw6lgf60q,1,29.5,79,2022-11-04T19:30:50.078Z,2022-11-05T05:26:04Z,3894307495,178,,3893675105,213,4.3,3893675101,141,46.9,3893675099,140,19.4,3893675097,56,Back,3893675103,212,24.3,,,,,,,8byxqwq7ktyxn5rfbj4p0m0o9,L. Scales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481381729,6,1,1,0,8,841zp0njrq63yv4fvw6lgf60q,1,17.2,42.7,2022-11-04T19:30:53.350Z,2022-11-05T05:26:07Z,3893675251,56,Back,3893675253,140,23.1,3893675255,141,18.2,3893675257,212,17.8,3894307577,178,,3893675259,213,5.1,,,,,,,53y4n4h9zi3d1l1f9jb9ytxhx,A. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481381769,7,1,1,0,10,841zp0njrq63yv4fvw6lgf60q,1,24.3,15.9,2022-11-04T19:30:55.734Z,2022-11-05T05:26:12Z,3893675479,141,32.2,3893675475,56,Back,3893675481,212,12.7,3893675477,140,18.4,3893675483,213,2.1,3894307759,178,,,,,,,,6o62deaqwdcrllc91hz09cct1,R. McCrorie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481381819,8,1,1,0,12,841zp0njrq63yv4fvw6lgf60q,1,20,36.7,2022-11-04T19:30:58.016Z,2022-11-05T05:26:21Z,3893675737,56,Back,3894308077,178,,3893675743,141,66.1,3893675741,140,21.3,3893675745,212,20.0,3893675749,213,1.5,,,,,,,53y4n4h9zi3d1l1f9jb9ytxhx,A. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
