id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2448365727,1,34,16,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2022-08-20T12:51:11.750Z,2022-08-20T13:47:22Z,3718338915,130,9,3718338909,30,"cgu73urupkapqq9bnl17s8tt5, z1apq9hkjp8l8jhpegacpwid, db1hineo65ck1zyg8kjtl5iad, cwdqe0rv5dcshhfhke86j9z2t, dm0ktjgadvf89t9zsqybufnxl, 9ykuo0c905u48vd44wxgb6jth, ddnwckj55fg870otjg9w9xyad, 73grc910ff9auyze63pgtoet, 48hhfwdy6qw1cjd1el8n9t591, 91z7xt6xuwgzt0jyg5owh6yfp, 960mhrs3usnisl5jv0xzok3x1, 7hzc2m8h1ufacyazzxp1ove1h, 8gh8ocvon1ht6yxxdxaisfa39, e3wuwgyb0acsca2fw0l7fq7rp, f104wb7oezb00w1lmyebcow6h, 479uurcrsfgf497b1ir46is45, 30rdwhst7nkhr03fixpqyibit, 8d9kq8ab5olsc1w1swicqemay, 1swg0twoet2to70z38wo78b1l, 6xxz0du2vvp6farrdvs02e8k5",3718338913,59,"1, 2, 11, 18, 5, 6, 24, 33, 19, 22, 8, 3, 7, 10, 12, 14, 20, 25, 29, 31",3718338911,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3718338921,197,2000,3718338917,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3718338923,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3718338919,194,z1apq9hkjp8l8jhpegacpwid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448372633,1,34,16,0,0,759fhii7hsnldanli06j5jmf6,1,0,0,2022-08-20T13:08:27.931Z,2022-08-20T14:29:56Z,3718371975,130,4,3718371981,197,1981,3718371979,194,5j7ekg9k304y36twun3me2w2d,3718371977,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3718371983,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3718371969,30,"4gxuw581mvfnr6qr3aobbjyt, blmo7wrka5yrcckuu9owlwx5h, 5j7ekg9k304y36twun3me2w2d, 5z0g3l4s56p11t3wgrpjhko9h, 201zg5m6q6zjj43w8jlf5cgrt, 8qv2da4sxpuw4h44jm4dz2j85, cl8lua6yep85vpl25pdi0wfzd, kmyde3h3kx3tyx5b4m2oglt6, aiacgvdwjvt1te2ndnbk95lg5, dkk86y8pa3svtz43c0m55qn6x, 6axbj3uylrbf0l29vj3vdmd3p, 6yr5rwfdnz02psz22acr43z6d, 4vnpdi15nazck2sywdgkve2cq, 4y27uf869xrujogawxtl9q0a1, 1vgtiwnof0l89l62t6e1thgx5, cb01n06n2ihlil5hf6q7u04tm, a7p8w57m9ehh3wryxgd1oldzo, eghu03zhii5vbr655sub8xmmt, 3sk52j2sm7jvmytofzefc5boq, 1qvgid3btojtw6dg35bnl2ei",3718371971,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3718371973,59,"1, 16, 2, 27, 15, 4, 8, 18, 9, 29, 7, 13, 17, 5, 6, 11, 22, 23, 26, 28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448403209,2,32,1,0,0,759fhii7hsnldanli06j5jmf6,1,0,0,2022-08-20T14:01:32.229Z,2022-08-21T08:34:29Z,3718516273,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448403217,2,32,1,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2022-08-20T14:01:32.229Z,2022-08-20T14:01:32Z,3718516307,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448403327,3,1,1,0,0,759fhii7hsnldanli06j5jmf6,1,50,50,2022-08-20T14:01:32.263Z,2022-08-21T08:55:28Z,3718516845,213,3.1,3718516841,141,51.5,3718516839,140,36.1,3722354985,178,,3718516843,212,14.6,3718516837,56,Back,3718516847,279,S,,,,6axbj3uylrbf0l29vj3vdmd3p,B. Spittal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448403435,4,1,1,0,2,759fhii7hsnldanli06j5jmf6,0,36.1,51.5,2022-08-20T14:01:34.484Z,2022-08-21T08:55:35Z,3718517325,1,,3718517315,56,Right,3722355147,178,,3718517323,213,5.3,3718517319,141,6.2,3718517317,140,57.6,3718517321,212,38.2,3718517313,155,,5z0g3l4s56p11t3wgrpjhko9h,S. Goss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448403423,3,44,1,0,5,besu5lkqmra07drq1czpr0tk4,1,37,90.8,2022-08-20T14:01:37.545Z,2022-08-21T09:40:20Z,3718517457,233,5,3718517257,56,Back,3718517261,285,,,,,,,,,,,,,,,,,db1hineo65ck1zyg8kjtl5iad,C. Montaño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448403439,5,44,1,0,5,759fhii7hsnldanli06j5jmf6,0,63,9.2,2022-08-20T14:01:37.546Z,2022-08-21T08:55:39Z,3718517361,56,Right,3718517519,233,3,3718517363,286,,,,,,,,,,,,,,,,,aiacgvdwjvt1te2ndnbk95lg5,K. van Veen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448403511,4,1,1,0,5,besu5lkqmra07drq1czpr0tk4,1,31.5,87.7,2022-08-20T14:01:37.601Z,2022-08-21T09:40:21Z,3718517701,141,90.9,3718517697,56,Back,3718517699,140,30.1,3718517703,212,2.6,3718517695,3,,3722357447,388,,3718517705,213,2.2,,,,db1hineo65ck1zyg8kjtl5iad,C. Montaño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448403519,5,1,1,0,7,besu5lkqmra07drq1czpr0tk4,0,30.1,90.9,2022-08-20T14:01:39.516Z,2022-08-21T08:57:18Z,3718517725,141,91.2,3722357631,178,,3718517729,212,4.3,3718517733,213,0.0,3718517721,56,Back,3718517723,140,34.2,3718517719,3,,,,,ddnwckj55fg870otjg9w9xyad,S. Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
