id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2472892167,1,34,16,0,0,1hcbcuu846pa3iw6qskiws1cu,1,0,0,2022-10-16T13:03:19.463Z,2022-10-16T14:24:53Z,3848843947,130,18,3848843953,197,9339,3848843941,30,"9edzwm5tgsaud77tbc16our4l, ucsmsk8k5wn69tdpz70ytyad, bbgkxdtxxoinxftd09k5lth3p, a6gle2qqy7154nh3pqso7upqt, emglo360rdevds650u33d2odl, 9fk3a8f7bhmecbubtfuqs9jvt, 5jnu1yubvgdh6k9v9x277kjx1, dldx0lpfwxc7eb0bc092m48a1, en7rrg1epwhzy47dd1zcp9wb9, 578r1t1b7ork624lq5q4k55ux, 53ipmesg7cuaty2uzqm1a2xn9, 2dnrfdd702umzunv6rukg0jx1, awaksdyk1jcvvmlq85x7gcout, 6a7br2t45mam4765clafr0lp1, 7kyujdy1mcqzlevv3f0l0oul1, bgzc9ozb1qel3aw808tip6bu2, bodxakk6i1a3zl5c0tsxw7mcp, a4sdovrrwe7o6j29uisbqrzhm, smqgq7vrbjhdxxapm7jgdhjo",3848843951,194,9edzwm5tgsaud77tbc16our4l,3848843943,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",3848843955,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848843945,59,"1, 17, 16, 3, 21, 19, 77, 8, 18, 29, 9, 28, 5, 7, 13, 20, 22, 27, 39",3848843949,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472892257,1,34,16,0,0,841zp0njrq63yv4fvw6lgf60q,1,0,0,2022-10-16T13:03:23.652Z,2022-10-16T14:17:49Z,3848844393,194,53y4n4h9zi3d1l1f9jb9ytxhx,3848844367,30,"26hokry025pgjx5bn7ljlkatx, 16x7shxmsfll6pytg8b8v0dbe, 4e49434kkv98sjq1byj8rnkh6, 8byxqwq7ktyxn5rfbj4p0m0o9, 53y4n4h9zi3d1l1f9jb9ytxhx, 6o62deaqwdcrllc91hz09cct1, cxykkqaoe67ndqpwoq1t15ca2, 6ne71gfjoez9m0tk8qozd8e3u, bkehljspqbj6tz0peqjivkvai, 8cpd4je0ku8wjumqeh3ruv10p, c4kxfrbrfedilykhbyak3e579, 6xvw6n5wq8bcgg01i87rbfsgl, 1naidcngjv592t1hgd78yy8oa, 5frjqqf0jvbqw8ag00pktw8yy, 7ie1bwuj4e18xy9bl6mszwt1, 9imvdvv7wnaknh1bc4ocun78q, eh244gs179rv5hxz3oisx8d90, el8iinhsb8c12kgvng4idutat, dnv51o5kbp3627cjdl5yxks7p, cgcc0n4i0k8jc9tk8vwzgltsk",3848844373,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3848844399,197,7011,3848844405,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848844377,59,"24, 25, 3, 4, 5, 2, 8, 20, 11, 9, 16, 1, 7, 10, 15, 23, 28, 33, 99, 36",3848844385,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848844381,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472957717,2,32,1,0,0,841zp0njrq63yv4fvw6lgf60q,1,0,0,2022-10-16T14:01:40.497Z,2022-10-16T19:45:59Z,3849184115,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472957709,2,32,1,0,0,1hcbcuu846pa3iw6qskiws1cu,1,0,0,2022-10-16T14:01:40.497Z,2022-10-16T14:01:40Z,3849184071,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472957757,3,1,1,0,0,1hcbcuu846pa3iw6qskiws1cu,1,50,50,2022-10-16T14:01:40.667Z,2022-10-16T19:58:04Z,3849184271,213,2.9,3849184267,141,59.7,3849184273,279,S,3849184263,56,Back,3850767475,178,,3849184265,140,28.6,3849184269,212,23.4,,,,en7rrg1epwhzy47dd1zcp9wb9,B. McKay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472957813,4,1,1,0,2,1hcbcuu846pa3iw6qskiws1cu,0,32.5,60.5,2022-10-16T14:01:43.187Z,2022-10-16T19:58:08Z,3849184565,1,,3850767525,178,,3849184555,56,Right,3849184559,141,18.0,3849184563,213,5.5,3849184553,155,,3849184561,212,41.9,3849184557,140,61.4,9fk3a8f7bhmecbubtfuqs9jvt,A. Cochrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472957819,3,44,1,0,5,841zp0njrq63yv4fvw6lgf60q,1,40,81.4,2022-10-16T14:01:46.026Z,2022-10-17T10:29:06Z,3849184581,285,,3849184605,233,5,3849184579,56,Back,,,,,,,,,,,,,,,,8byxqwq7ktyxn5rfbj4p0m0o9,L. Scales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472957815,5,44,1,0,5,1hcbcuu846pa3iw6qskiws1cu,0,60,18.6,2022-10-16T14:01:46.027Z,2022-10-16T19:58:12Z,3849184569,56,Right,3849184611,233,3,3849184571,286,,,,,,,,,,,,,,,,,578r1t1b7ork624lq5q4k55ux,S. Humphrys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472957829,4,1,1,0,5,841zp0njrq63yv4fvw6lgf60q,0,41.5,80.9,2022-10-16T14:01:46.058Z,2022-10-17T10:29:06Z,3849184633,3,,3850767663,388,,3849184635,56,Left,3849184639,141,87.4,3849184637,140,58.8,3849184643,213,0.2,3849184641,212,18.7,,,,8byxqwq7ktyxn5rfbj4p0m0o9,L. Scales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472957851,6,1,1,0,8,1hcbcuu846pa3iw6qskiws1cu,0,38,5.8,2022-10-16T14:01:49.444Z,2022-10-16T19:58:25Z,3849184737,1,,3849184727,56,Right,3849184731,141,0.0,3849184729,140,50.8,3849184725,157,,3849184733,212,14.4,3850767885,178,,3849184735,213,5.9,emglo360rdevds650u33d2odl,T. Sibbick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
