id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,keyPass,qualifier/9/value,qualifier/11/value,qualifier/15/value
2534394029,1,34,16,0,0,dvnjvad3p09dugr79gktlrtll,1,0,0,2023-04-16T09:50:03.136Z,2023-04-16T11:24:49Z,4194380589,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4194380597,194,cx59kxpqiabi3c5vl9mxvlyhh,4194380593,130,8,4194380587,30,"8grd4q334w1ud9vbb6vrli6z9, epwfc94g7m7ed1nbt9wbgo6ei, 9fd3uggpu2opd1cuiwskjbhm1, cx59kxpqiabi3c5vl9mxvlyhh, cksi669gcnskpytzh70a43it, 3g3x2ws0npu7aa51h4nx7nazu, 8ydeghsg8bdyovqjnr56hz8x5, v6ddixs4xh5qjb67smsht23t, 96vt6e4xjci5gll0ogsnlfg89, cm7l7qimy4iysm1khmpc7u961, 4x7o9h6ea8ldt9sxgz87vwycp, axicg3mdtrur97rjz423pl8t1, 9hoygyx51dhic09hlnhlsjend, 9qe7czo24c9hz308iuzgx9nxm, 75fze9pkbgv3baqwnyqnzxbe, 9v2ru33bml5fpvpcbjhrahjv9, 34mgsb7k4po6ftbu01tqvam8k, cwmej1d313luxo30tav8ws3jd, 9z5mgvlru0x1bl4lhwe1irw15, 483132c0u6c5ky3uty1yobpjo",4194380595,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4194380601,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4194380591,59,"1, 2, 3, 42, 4, 18, 9, 24, 8, 33, 38, 13, 14, 19, 25, 29, 53, 56, 57, 69",4194380599,197,805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534399837,1,34,16,0,0,enzoyc121va61wtmjf4cm7p3d,1,0,0,2023-04-16T10:07:29.139Z,2023-04-16T11:05:07Z,4194408515,194,2c89yb9spduwcxl7lrhckru1h,4194408507,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4194408511,130,2,4194408509,59,"20, 2, 24, 34, 5, 19, 11, 22, 23, 26, 15, 1, 3, 4, 10, 16, 17, 21, 25, 29",4194408519,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4194408513,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4194408505,30,"91m838lynz6db94q8ufcqk91x, 9coe01drgpmlz3ee9qfond815, bt4n55baiq4m30oyc0v833omi, 2707xag1w0czgk17kz84632ms, 2c89yb9spduwcxl7lrhckru1h, 4rsnyz3019rgfjdil1zs024t1, 9z0xcc7yot7royqle0nn6fdn9, 5h9myriisqh4v99oka6gwey8l, dzs6o86mv89839vlz2qswhuj9, 71xg650qcs8yibhrumgvdejth, 6uvj9qt3kex5sx729zbe1rlyh, 1fkrvnzbrb9s0qojjhc8edpm1, aqt5c6bvjkbaw56lq7t69kjjd, 2spu2yn887lywqw2vrg3evhlh, 6ta1shg2pfj5cchdod1xdtvbp, 9hnkwvq81pd0bkovc17lqhf4l, atf7aycphllb4i8h9jnld4bmd, 3svpmpx5tb4ekuewkh79l2up5, 2ytdtlvxm0ba22gsmk6vu4vhm, 8p1pe1wpwy9o3p2n9imr2k5ck",4194408517,197,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534434161,2,32,1,0,0,dvnjvad3p09dugr79gktlrtll,1,0,0,2023-04-16T11:00:59.517Z,2023-04-16T11:01:01Z,4194576281,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534434153,2,32,1,0,0,enzoyc121va61wtmjf4cm7p3d,1,0,0,2023-04-16T11:00:59.517Z,2023-04-16T17:25:26Z,4194576255,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534434213,3,1,1,0,0,enzoyc121va61wtmjf4cm7p3d,1,49.9,50,2023-04-16T11:00:59.596Z,2023-04-16T17:33:40Z,4194576559,279,S,4194576553,141,53.0,4196474723,178,,4194576557,213,3.0,4194576555,212,15.4,4194576551,140,35.4,4194576549,56,Back,,,,6uvj9qt3kex5sx729zbe1rlyh,F. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534434287,4,1,1,0,1,enzoyc121va61wtmjf4cm7p3d,0,35.4,53,2023-04-16T11:01:01.419Z,2023-04-16T17:33:44Z,4194576797,56,Right,4194576805,213,5.6,4194576801,141,7.4,4194576799,140,74.7,4194576807,1,,4194576803,212,51.6,4196475033,178,,4194576795,155,,5h9myriisqh4v99oka6gwey8l,L. Donnelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534434271,3,44,1,0,5,dvnjvad3p09dugr79gktlrtll,1,25.9,91.9,2023-04-16T11:01:04.656Z,2023-04-16T18:08:26Z,4194576761,285,,4194576853,233,5,4194576759,56,Back,,,,,,,,,,,,,,,,3g3x2ws0npu7aa51h4nx7nazu,Y. Kobayashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534434295,5,44,1,0,5,enzoyc121va61wtmjf4cm7p3d,0,74.1,8.1,2023-04-16T11:01:04.657Z,2023-04-16T17:33:49Z,4194576839,56,Right,4194576841,286,,4194576857,233,3,,,,,,,,,,,,,,,,71xg650qcs8yibhrumgvdejth,C. Doidge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534434301,4,1,1,0,5,dvnjvad3p09dugr79gktlrtll,0,26.5,91.2,2023-04-16T11:01:04.721Z,2023-04-16T18:08:26Z,4194576875,141,94.5,4194576871,56,Back,4194576879,213,0.3,4196475885,388,,4194576873,140,33.2,4194576869,3,,4194576877,212,7.4,,,,3g3x2ws0npu7aa51h4nx7nazu,Y. Kobayashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534434323,6,61,1,0,7,enzoyc121va61wtmjf4cm7p3d,1,72.3,6.4,2023-04-16T11:01:06.813Z,2023-04-16T17:34:12Z,4194576997,56,Right,4196477245,388,,,,,,,,,,,,,,,,,,,,2707xag1w0czgk17kz84632ms,D. Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
