id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2515029971,1,34,16,0,0,1hcbcuu846pa3iw6qskiws1cu,1,0,0,2023-03-04T14:05:07.091Z,2023-03-04T14:15:53Z,4070810063,30,"2dnrfdd702umzunv6rukg0jx1, ey5m0gz111sobrykgcrpt45at, 9fk3a8f7bhmecbubtfuqs9jvt, a6gle2qqy7154nh3pqso7upqt, 699t2ytlqawiya0n1ytwk0f6x, 9ea8t509bssf2bhp1n5xxvrl6, 6a7br2t45mam4765clafr0lp1, 5jnu1yubvgdh6k9v9x277kjx1, 4ixfdbtira0k9hyhaj4fov651, 53ipmesg7cuaty2uzqm1a2xn9, en7rrg1epwhzy47dd1zcp9wb9, 111qxn4nmcj81nfg5grdp165m, 1v62lh9e2cpqsaww3ggw5togk, dldx0lpfwxc7eb0bc092m48a1, 9voc3iwmlxkuuln6h03j0fqzu, 7kyujdy1mcqzlevv3f0l0oul1, 894vnlr3zfyyadmhx9n3y6fl6, bbgkxdtxxoinxftd09k5lth3p, ucsmsk8k5wn69tdpz70ytyad, emglo360rdevds650u33d2odl",4070810079,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4070810075,194,53ipmesg7cuaty2uzqm1a2xn9,4070810071,130,13,4070810067,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4070810077,197,9221,4070810069,59,"28, 2, 19, 3, 15, 72, 7, 77, 30, 9, 18, 88, 61, 8, 12, 13, 14, 16, 17, 21",4070810073,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515035007,1,34,16,0,0,ez46dadmx0virt38cgeq2n6pf,1,0,0,2023-03-04T14:12:17.182Z,2023-03-04T14:48:47Z,4070837029,197,1983,4070837025,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4070837021,59,"1, 14, 19, 2, 6, 5, 18, 22, 26, 7, 23, 3, 10, 16, 17, 20, 25, 29, 32",4070837031,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4070837017,30,"3vt38r8n9081i3a4dj89lx905, 2ezi9zjj3pmt475woji11gi51, 56b1gs6obdcpx4j3c02bi4bqi, 1yqdq8dtuvh9wmn8cgyv3t8tl, tywvq45nw3cobufa7zkhsq8l, 9wjmsi05ex83iw3iy5bgkdrvu, 4l1wyg8j3u42b87477y3zm54a, 7xxqn9xu5izixdi9spsjf1t5h, 1tbuc25mv5qc48uawml7aqu3t, 27ldss0bvyuhn929cd0j8u47p, a0cvnq9q83z3x0e1p938uu5ed, 7f0r99zrqykjuoz0bqlintbzd, 27exg4oaa7sym40hi0szdc05x, 744enw7o0c1i9a1b0qjihgjqh, 2r6suw717hgzqsp8ogvwdfk6h, kpkpalx1dxjph7895pb7ene1, 72lspkwr1lpqqq8o2twxq1bzd, cyg7icft0ojp9wdbyq9nlkwyd, 9ylnnrbmxkm7pez00f9a0e4gk",4070837027,194,tywvq45nw3cobufa7zkhsq8l,4070837019,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",4070837023,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515072377,2,32,1,0,0,ez46dadmx0virt38cgeq2n6pf,1,0,0,2023-03-04T15:01:58.640Z,2023-03-04T15:01:59Z,4071022965,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515072329,2,32,1,0,0,1hcbcuu846pa3iw6qskiws1cu,1,0,0,2023-03-04T15:01:58.640Z,2023-03-04T23:41:06Z,4071022779,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515072517,3,1,1,0,0,ez46dadmx0virt38cgeq2n6pf,1,49.7,50.4,2023-03-04T15:01:58.793Z,2023-03-05T02:50:13Z,4071023601,140,32.9,4071023609,279,S,4071023605,212,19.0,4071023607,213,2.8,4071023599,56,Back,4074165955,178,,4071023603,141,60.8,,,,27ldss0bvyuhn929cd0j8u47p,S. May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515072655,4,1,1,0,2,ez46dadmx0virt38cgeq2n6pf,0,32.9,60.8,2023-03-04T15:02:01.205Z,2023-03-05T02:50:18Z,4071024289,213,5.9,4071024285,141,25.8,4071024281,56,Center,4074166107,178,,4071024291,1,,4071024287,212,70.8,4071024279,157,,4071024283,140,96.4,1yqdq8dtuvh9wmn8cgyv3t8tl,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515072687,3,52,1,0,11,1hcbcuu846pa3iw6qskiws1cu,1,2.8,75.3,2023-03-04T15:02:09.720Z,2023-03-05T02:50:27Z,4073385327,376,,4074166435,178,,,,,,,,,,,,,,,,,,,,2dnrfdd702umzunv6rukg0jx1,Z. Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515073085,4,1,1,0,13,1hcbcuu846pa3iw6qskiws1cu,1,6.3,62.4,2023-03-04T15:02:12.394Z,2023-03-05T02:50:29Z,4071026191,140,15.9,4071026187,56,Back,4071026203,1,,4071026199,212,33.4,4071026195,141,15.5,4071026185,123,,4074166537,178,,4071026201,213,5.0,2dnrfdd702umzunv6rukg0jx1,Z. Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515073125,5,1,1,0,18,1hcbcuu846pa3iw6qskiws1cu,0,10.8,4.3,2023-03-04T15:02:17.550Z,2023-03-05T02:50:35Z,4071026413,1,,4071026401,56,Back,4071026405,141,17.0,4071026409,213,0.3,4074166777,178,,4071026403,140,42.0,4071026407,212,33.9,,,,9ea8t509bssf2bhp1n5xxvrl6,J. Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515073149,5,49,1,0,20,ez46dadmx0virt38cgeq2n6pf,1,58.8,89.6,2023-03-04T15:02:18.808Z,2023-03-05T02:50:45Z,,,,,,,,,,,,,,,,,,,,,,,,,7xxqn9xu5izixdi9spsjf1t5h,M. Hallberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
