id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,assist,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/11/value,qualifier/16/value,qualifier/15/value
2530198465,1,34,16,0,0,759fhii7hsnldanli06j5jmf6,1,0,0,2023-04-08T13:02:12.084Z,2023-04-08T14:02:42Z,4172044581,59,"1, 22, 24, 52, 66, 16, 27, 18, 7, 9, 21, 2, 4, 5, 8, 13, 15, 17, 20, 53",4172044589,197,1981,4172044577,30,"4gxuw581mvfnr6qr3aobbjyt, a7p8w57m9ehh3wryxgd1oldzo, e7dz8u1uz579dl68v1p40fq7e, e4qmdsl4c7q79p01pggtwfpw5, bk1tvg8t79kbsmnf2i39or6c5, blmo7wrka5yrcckuu9owlwx5h, 5z0g3l4s56p11t3wgrpjhko9h, kmyde3h3kx3tyx5b4m2oglt6, 6axbj3uylrbf0l29vj3vdmd3p, aiacgvdwjvt1te2ndnbk95lg5, 6fu85g3j2uvd7hxdoxk0p7ys5, 5j7ekg9k304y36twun3me2w2d, 8qv2da4sxpuw4h44jm4dz2j85, 4y27uf869xrujogawxtl9q0a1, cl8lua6yep85vpl25pdi0wfzd, 6yr5rwfdnz02psz22acr43z6d, 878xi84rsiw5uj1doiy894lwp, 4vnpdi15nazck2sywdgkve2cq, bmyfnz8nkem6q0oa2q0h3ioa2, 5tm8klhjq7d3u6u5sppnaducp",4172044583,130,18,4172044585,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4172044579,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4172044591,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4172044587,194,4gxuw581mvfnr6qr3aobbjyt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530200111,1,34,16,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2023-04-08T13:05:15.635Z,2023-04-08T14:21:23Z,4172053747,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",4172053759,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4172053745,30,"cgu73urupkapqq9bnl17s8tt5, elmr3dbzcn0od1mflq6mc02ui, 1swg0twoet2to70z38wo78b1l, 7jn2vr9iq2cg2ui6oaww1i6i2, dm0ktjgadvf89t9zsqybufnxl, z1apq9hkjp8l8jhpegacpwid, 1mbcl4xzln2fyj0o3aapdhdrd, 73grc910ff9auyze63pgtoet, djyjh9vs99rm6pfm2ofhwfd91, 48hhfwdy6qw1cjd1el8n9t591, cwdqe0rv5dcshhfhke86j9z2t, 8gh8ocvon1ht6yxxdxaisfa39, 960mhrs3usnisl5jv0xzok3x1, b0fuw7r17cq41awaoydw9bjl5, f104wb7oezb00w1lmyebcow6h, 9mgoxb4nlse8gjbmcs0nh0dex, 91z7xt6xuwgzt0jyg5owh6yfp, ddnwckj55fg870otjg9w9xyad, ejo44v1xeqrf9wsc1q3td4ul1",4172053751,130,10,4172053757,197,2000,4172053755,194,z1apq9hkjp8l8jhpegacpwid,4172053749,59,"1, 16, 29, 23, 5, 2, 17, 33, 28, 19, 18, 7, 8, 9, 12, 15, 22, 24, 32",4172053753,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240079,2,32,1,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2023-04-08T14:00:40.897Z,2023-04-08T14:00:43Z,4172254593,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240041,2,32,1,0,0,759fhii7hsnldanli06j5jmf6,1,0,0,2023-04-08T14:00:40.897Z,2023-04-08T16:55:08Z,4172254443,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240103,3,1,1,0,0,759fhii7hsnldanli06j5jmf6,1,50,50,2023-04-08T14:00:40.997Z,2023-04-08T14:00:53Z,4172254709,213,3.1,4172254705,141,50.3,4172254701,56,Back,4172254703,140,36.1,4172254713,279,S,4172254707,212,14.6,,,,,,,5z0g3l4s56p11t3wgrpjhko9h,S. Goss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240119,4,1,1,0,4,759fhii7hsnldanli06j5jmf6,0,37.6,50.1,2023-04-08T14:00:45.309Z,2023-04-08T14:00:53Z,4172254799,212,41.4,4172254791,155,,4172254801,213,0.5,4172254795,140,71.7,4172254793,56,Left,4172254803,1,,4172254797,141,80.6,,,,bk1tvg8t79kbsmnf2i39or6c5,C. Butcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240141,3,44,1,0,6,besu5lkqmra07drq1czpr0tk4,1,29.2,21.2,2023-04-08T14:00:47.588Z,2023-04-08T14:00:57Z,4172254881,285,,4172254879,56,Back,4172254933,233,5,,,,,,,,,,,,,,,,dm0ktjgadvf89t9zsqybufnxl,J. Fitzwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240147,5,44,1,0,6,759fhii7hsnldanli06j5jmf6,0,70.8,78.8,2023-04-08T14:00:47.589Z,2023-04-08T14:00:53Z,4172254903,56,Center,4172254981,233,3,4172254985,286,,,,,,,,,,,,,,,,,6fu85g3j2uvd7hxdoxk0p7ys5,M. Mandron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240171,4,1,1,0,7,besu5lkqmra07drq1czpr0tk4,0,30.1,23,2023-04-08T14:00:48.220Z,2023-04-08T14:00:54Z,4172255021,141,0.0,4172255023,212,21.1,4172255015,3,,4172255019,140,42.3,4172255025,213,5.4,4172255017,56,Back,,,,,,,dm0ktjgadvf89t9zsqybufnxl,J. Fitzwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240173,5,5,1,0,8,besu5lkqmra07drq1czpr0tk4,0,39.5,-1.8,2023-04-08T14:00:49.381Z,2023-04-08T14:00:54Z,4172255027,56,Back,4172255331,233,6,4172255029,347,,,,,,,,,,,,,,,,,7jn2vr9iq2cg2ui6oaww1i6i2,L. de Lucas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
