id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/8/value,qualifier/13/value,qualifier/14/value,qualifier/11/value,qualifier/12/value,qualifier/17/value,qualifier/16/value,assist
2501306385,1,34,16,0,0,muo4d1nfi1vgyvz5n07tjmoo,1,0,0,2023-01-28T14:12:37.975Z,2023-01-28T14:12:38Z,3998528079,194,3g3cjokfq1lnmycnv4t2gjaol,3998528075,130,12,3998528073,59,"1, 23, 3, 18, 13, 22, 11, 6, 10, 21, 16, 5, 7, 8, 24, 25, 27, 30, 31, 32",3998528081,197,2005,3998528069,30,"b3rry494s23b8elnqn3b5s5x, 3jyid2g273zr668fxeeplegnp, 8fsd4fp4wx5o8oqmwdf9ppl91, ewlrnu90xe2127a1erxlz29qt, 9d2p89e7bftxqhk80hy9ldeqd, elt8lu5do3h4jcl9ujgaqlm1h, ctqn305re0qsih8mh5nufg89h, 3g3cjokfq1lnmycnv4t2gjaol, 29zpgzbse1373d9bhj3l2ee39, 4g4zufvyime7qp4ks4badls0k, cz9jf3ozld7o0hns2xmn54b56, tj1jt0o03ionrc0h7279x2zu, 3n02ng7medocg9rmg70pw2j1l, 9stfaq0p7jw8269ms8ijc4a8l, 2p1887g4xd36ac2trpyf42wru, ek22ylba15mmsqdzeqlhm0bv8, dtxvjsp1yrr3njbg7b3l5fo4p, 6nm4j9c81rfkxyl9vfxvbscno, 9n6jx9s4eip7mgken67i9oyc5, 6550eub0qoudw8d846theawpg",3998528077,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3998528083,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3998528071,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501307029,1,34,16,0,0,759fhii7hsnldanli06j5jmf6,1,0,0,2023-01-28T14:13:25.574Z,2023-01-28T15:04:01Z,3998531647,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3998531639,30,"4gxuw581mvfnr6qr3aobbjyt, a7p8w57m9ehh3wryxgd1oldzo, blmo7wrka5yrcckuu9owlwx5h, cl8lua6yep85vpl25pdi0wfzd, bmyfnz8nkem6q0oa2q0h3ioa2, 8qv2da4sxpuw4h44jm4dz2j85, 6axbj3uylrbf0l29vj3vdmd3p, 5z0g3l4s56p11t3wgrpjhko9h, aiacgvdwjvt1te2ndnbk95lg5, dkk86y8pa3svtz43c0m55qn6x, 4vnpdi15nazck2sywdgkve2cq, 5j7ekg9k304y36twun3me2w2d, eeh8lecxw27imfsy3954q04tm, 6yr5rwfdnz02psz22acr43z6d, 201zg5m6q6zjj43w8jlf5cgrt, kmyde3h3kx3tyx5b4m2oglt6, 3sk52j2sm7jvmytofzefc5boq, 6h5u727te4pztk9scyybe7fv8, d2b02lofzdrlxuxfi66cn9h5g",3998531651,197,1982,3998531641,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",3998531653,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3998531643,59,"1, 22, 16, 8, 20, 4, 7, 27, 9, 29, 17, 2, 12, 13, 15, 18, 26, 34, 47",3998531645,130,4,3998531649,194,4gxuw581mvfnr6qr3aobbjyt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501351077,2,32,1,0,0,muo4d1nfi1vgyvz5n07tjmoo,1,0,0,2023-01-28T15:01:19.965Z,2023-01-29T03:48:08Z,3998756723,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501351091,2,32,1,0,0,759fhii7hsnldanli06j5jmf6,1,0,0,2023-01-28T15:01:19.965Z,2023-01-28T15:01:22Z,3998756779,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501351141,3,1,1,0,0,759fhii7hsnldanli06j5jmf6,1,50.1,49.7,2023-01-28T15:01:20.057Z,2023-01-29T03:52:28Z,3998757045,212,15.3,4001258167,178,,3998757043,141,50.3,3998757049,279,S,3998757041,140,35.5,3998757047,213,3.1,3998757039,56,Back,,,,4vnpdi15nazck2sywdgkve2cq,S. McKinstry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501351235,4,1,1,0,1,759fhii7hsnldanli06j5jmf6,1,33.3,50.9,2023-01-28T15:01:21.754Z,2023-01-29T03:52:32Z,3998757527,56,Back,4001258275,178,,3998757531,141,12.8,3998757535,213,4.5,3998757533,212,26.4,3998757529,140,28.5,,,,,,,5z0g3l4s56p11t3wgrpjhko9h,S. Goss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501351311,5,1,1,0,4,759fhii7hsnldanli06j5jmf6,0,31.3,12.5,2023-01-28T15:01:24.690Z,2023-01-29T03:52:38Z,4001258403,178,,3998757865,155,,3998757869,140,75.2,3998757877,1,,3998757871,141,17.4,3998757867,56,Right,3998757875,213,0.1,3998757873,212,46.2,a7p8w57m9ehh3wryxgd1oldzo,M. Johnston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501351277,3,44,1,0,7,muo4d1nfi1vgyvz5n07tjmoo,1,25.4,85.3,2023-01-28T15:01:27.406Z,2023-01-29T11:33:20Z,3998757999,233,6,3998757721,285,,3998757719,56,Back,,,,,,,,,,,,,,,,ewlrnu90xe2127a1erxlz29qt,C. Dunne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501351325,6,44,1,0,7,759fhii7hsnldanli06j5jmf6,0,74.6,14.7,2023-01-28T15:01:27.407Z,2023-01-29T03:52:43Z,3998758019,233,3,3998757933,56,Right,3998757935,286,,,,,,,,,,,,,,,,,dkk86y8pa3svtz43c0m55qn6x,C. Shields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501351321,4,1,1,0,7,muo4d1nfi1vgyvz5n07tjmoo,1,26.1,88,2023-01-28T15:01:27.464Z,2023-01-29T11:33:21Z,3998757923,141,91.5,4001258571,388,,3998757917,56,Back,3998757921,140,36.4,3998757925,212,11.1,3998757913,3,,3998757927,213,0.2,,,,ewlrnu90xe2127a1erxlz29qt,C. Dunne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
