id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/15/value,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,assist,qualifier/17/value
2526432417,1,34,16,0,0,c9ky1957qli8v2lylfga7io8b,1,0,0,2023-04-01T12:59:11.210Z,2023-04-01T14:12:40Z,4152003491,59,"1, 12, 16, 4, 25, 26, 14, 8, 32, 15, 13, 2, 3, 10, 11, 17, 18, 22, 31, 99",4152003489,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4152003501,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4152003499,197,1993,4152003493,130,18,4152003497,194,bu7u0edo60hpre8wkhgw79gwl,4152003495,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4152003487,30,"bu7u0edo60hpre8wkhgw79gwl, cs5ejx87ge8am8ir8w0lj4wk5, atx6lc3lltktph9wnqv5oihg5, e98evrjmtbjwjrmvlhu1hn36d, 82m1eir9istcl9x5srqdrtca2, 1xofhzib5lyqx285j8x36xg8a, 87aix2c3m5x08nsurhjql51p1, 6qp481f9ke8vcrvu9gnsbq4lx, cugnsf9b6g823srxuux5jnofe, 4w3ipvncxgip8rxi2sf0l971l, 9ki0zmbky1zluxnz63008ozmy, 2i835ww5po0e5y9txkdajsnsa, 5f1erzxtvzncvf1wtqnv3fgmh, 9eglkkpww5oem5vdrmf8q2bu2, afowz5wysshf6f5mj5iz1t5h, 1ol8b62vocx8kr8p4egifu3md, fx0i4f70a096eya9f6irwdt5, 3jppvkr0tv7r8lwraqvc7wtlh, ba98uem1wm5f638awk1k5caok, 3je3s65vdag4qctd9q0ku8z8q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526435545,1,34,16,0,0,759fhii7hsnldanli06j5jmf6,1,0,0,2023-04-01T13:04:42.908Z,2023-04-01T14:01:39Z,4152020087,30,"4gxuw581mvfnr6qr3aobbjyt, a7p8w57m9ehh3wryxgd1oldzo, e7dz8u1uz579dl68v1p40fq7e, e4qmdsl4c7q79p01pggtwfpw5, bk1tvg8t79kbsmnf2i39or6c5, blmo7wrka5yrcckuu9owlwx5h, 5z0g3l4s56p11t3wgrpjhko9h, kmyde3h3kx3tyx5b4m2oglt6, 6axbj3uylrbf0l29vj3vdmd3p, 6fu85g3j2uvd7hxdoxk0p7ys5, aiacgvdwjvt1te2ndnbk95lg5, 5tm8klhjq7d3u6u5sppnaducp, 5j7ekg9k304y36twun3me2w2d, 8qv2da4sxpuw4h44jm4dz2j85, 4y27uf869xrujogawxtl9q0a1, 6yr5rwfdnz02psz22acr43z6d, 878xi84rsiw5uj1doiy894lwp, 4vnpdi15nazck2sywdgkve2cq, bmyfnz8nkem6q0oa2q0h3ioa2, 9785y6kolfs8e6yxbl7o4xzis",4152020105,197,1981,4152020097,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4152020093,130,18,4152020109,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4152020101,194,4gxuw581mvfnr6qr3aobbjyt,4152020091,59,"1, 22, 24, 52, 66, 16, 27, 18, 7, 21, 9, 53, 2, 4, 5, 13, 15, 17, 20, 38",4152020089,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526486151,2,32,1,0,0,c9ky1957qli8v2lylfga7io8b,1,0,0,2023-04-01T14:01:26.499Z,2023-04-01T21:39:00Z,4152279823,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526486173,2,32,1,0,0,759fhii7hsnldanli06j5jmf6,1,0,0,2023-04-01T14:01:26.499Z,2023-04-01T14:01:29Z,4152279923,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526486249,3,1,1,0,0,c9ky1957qli8v2lylfga7io8b,1,50.1,49.9,2023-04-01T14:01:26.529Z,2023-04-02T04:50:10Z,4152280251,141,47.3,4152280253,212,15.1,4152280249,140,35.8,4152280247,56,Back,4152280257,279,S,4152280255,213,3.3,4156121743,178,,,,,cugnsf9b6g823srxuux5jnofe,J. Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526486341,4,1,1,0,1,c9ky1957qli8v2lylfga7io8b,0,41.2,49.9,2023-04-01T14:01:28.162Z,2023-04-02T04:50:14Z,4152280633,140,71.5,4152280639,212,42.7,4152280643,213,0.7,4152280623,155,,4156121835,178,,4152280645,1,,4152280627,56,Left,4152280637,141,91.7,87aix2c3m5x08nsurhjql51p1,J. Jeggo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526486349,3,44,1,0,4,759fhii7hsnldanli06j5jmf6,1,30,8.8,2023-04-01T14:01:31.302Z,2023-04-02T14:13:10Z,4152280671,56,Back,4152280673,285,,4152280773,233,5,,,,,,,,,,,,,,,,blmo7wrka5yrcckuu9owlwx5h,P. McGinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526486353,5,44,1,0,4,c9ky1957qli8v2lylfga7io8b,0,70,91.2,2023-04-01T14:01:31.303Z,2023-04-02T04:50:21Z,4152280865,233,3,4152280699,286,,4152280697,56,Left,,,,,,,,,,,,,,,,9ki0zmbky1zluxnz63008ozmy,M. Hoppe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526486363,4,1,1,0,4,759fhii7hsnldanli06j5jmf6,0,31.6,9.5,2023-04-01T14:01:31.340Z,2023-04-02T14:13:10Z,4152280751,212,11.2,4152280741,140,41.3,4152280729,3,,4156122013,388,,4152280753,213,0.4,4152280747,141,16.2,4152280735,56,Back,,,,blmo7wrka5yrcckuu9owlwx5h,P. McGinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526486429,6,1,1,0,6,c9ky1957qli8v2lylfga7io8b,1,59.5,87.4,2023-04-01T14:01:32.571Z,2023-04-02T04:50:29Z,4152281075,56,Left,4152281077,140,56.2,4152281081,212,6.8,4152281083,213,2.1,4156122081,388,,4152281079,141,96.0,,,,,,,cugnsf9b6g823srxuux5jnofe,J. Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
