id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/15/value,qualifier/19/id,qualifier/19/qualifierId,assist
2493742709,1,34,16,0,0,4qdzzur2cuuridyb0jso8mksi,1,0,0,2022-12-28T18:50:30.369Z,2022-12-28T19:44:27Z,3958780575,30,"btdn91fhcdkiq2u93gqw32n6d, a5fpw5f7bvu01i8drfir8ugut, 629dgygro5n41ce8ulov5wwl, 6n8gmwjc9frk90mzpnf9xlkyy, 2cic9rl1m8i7ut6ed7p0h1905, 9o2dyl3cbm2ni3874doydh49h, 2t4k430xmiekwb5khdwtg14h5, aqgrddi0lgqphjeksr0rkd0ph, 4sskvw16m8gh8al8vy0ephuc5, 7v2udgcj3xk2douxfmge6lp7t, en7kanawhbmhl0736htwdnt9l, 7qd78ivuyspmb0fno5vdetat, epwyjoowg7wfojxxldoum9yhh, day3njm5hkudffvdvccpopbyt, eqx6gmp1f5ocxeosc97rcqqui, c99yg0ykkr6o17ykicw27e68k, 1q4eo8ovtzffi9nz1kms98161, 74w7u994c832ya17u9g7nkh04, 7yq6f41dcfzqz40hblj3j9905, aapofyop1alkvydfgckce9vkk",3958780583,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3958780589,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3958780577,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3958780579,59,"1, 2, 3, 6, 4, 12, 19, 14, 9, 23, 15, 7, 10, 13, 17, 20, 22, 28, 32, 44",3958780587,197,1975,3958780581,130,17,3958780585,194,9o2dyl3cbm2ni3874doydh49h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493743271,1,34,16,0,0,87coxipr6ls77tnlba3eselx0,1,0,0,2022-12-28T18:54:41.524Z,2022-12-28T20:06:20Z,3958783677,130,8,3958783671,30,"4lp29rlldfr9f8jx6e6qqfgt1, dl2j6mynj9b09ehi3ebi2fc2d, 1hoyso1oinr2bza4lxgkzdiax, 9ciad1fw48orv5aph9o83f6ne, cgonvdrm0gwjzrsz5fho4cwr9, 3ka60g1o4fct4t2dc7394sr8p, 2n1na0cyvk19401cuwsokmaga, a0d1koufzrtx0jcsw09ibtbyt, 6aonl21cpvfg8ma7i00q9ho0l, 1q9c3t3umg0yh0qop886eghxx, djjolbwunzmlob0chwp8x21g5, bxgp3jpqcyk794ty0zk0o9jv9, 43mi8uliaor1b9mejf33if1sl, djn7515ev4uzfcvizndtrvzkl, auan97c17t3ze3zdvnfovtomh, d2dqd11a9koizwjaq93n4npt6, 7q6h161f7gcqnpy07x80hbpck, 3jxifism5urj3049zcojb8us5, bpbwue9gbmi9dd3wf7klkgdm1, 89b8lqf476f0slerw345892i1",3958783675,59,"1, 2, 16, 14, 15, 6, 7, 22, 26, 8, 10, 4, 5, 11, 12, 17, 18, 19, 24, 31",3958783683,197,1991,3958783673,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3958783685,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3958783679,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3958783681,194,cgonvdrm0gwjzrsz5fho4cwr9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493752463,2,32,1,0,0,87coxipr6ls77tnlba3eselx0,1,0,0,2022-12-28T19:47:30.484Z,2022-12-28T19:47:30Z,3958827625,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493752471,2,32,1,0,0,4qdzzur2cuuridyb0jso8mksi,1,0,0,2022-12-28T19:47:30.484Z,2022-12-28T23:46:55Z,3958827659,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493752477,3,1,1,0,0,87coxipr6ls77tnlba3eselx0,1,49.9,49.9,2022-12-28T19:47:30.512Z,2022-12-29T00:00:37Z,3958827687,56,Back,3958827693,212,13.5,3958827695,213,2.5,3958827691,141,61.7,3959086171,178,,3958827697,279,S,3958827689,140,39.6,,,,djjolbwunzmlob0chwp8x21g5,Y. Dhanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493752489,4,1,1,0,1,87coxipr6ls77tnlba3eselx0,0,41.7,60.2,2022-12-28T19:47:32.341Z,2022-12-29T00:00:43Z,3959086179,178,,3958827769,140,75.0,3958827773,212,54.4,3958827763,155,,3958827765,196,,3958827775,213,5.4,3958827771,141,0.0,3958827767,56,Right,9ciad1fw48orv5aph9o83f6ne,V. Loturi,3958827777,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493752549,3,5,1,0,5,4qdzzur2cuuridyb0jso8mksi,1,23.1,101.2,2022-12-28T19:47:36.319Z,2022-12-29T00:00:45Z,3958828095,347,,3958828119,233,5,3958828093,56,Back,,,,,,,,,,,,,,,,629dgygro5n41ce8ulov5wwl,S. McMann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493752491,5,5,1,0,5,87coxipr6ls77tnlba3eselx0,0,76.9,-1.2,2022-12-28T19:47:36.319Z,2022-12-29T00:00:46Z,3958827781,347,,3958827779,56,Right,3958828123,233,3,,,,,,,,,,,,,,,,9ciad1fw48orv5aph9o83f6ne,V. Loturi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493752561,4,1,1,0,19,4qdzzur2cuuridyb0jso8mksi,0,25.9,100,2022-12-28T19:47:49.700Z,2022-12-29T00:00:50Z,3958828189,212,24.6,3958828191,213,6.1,3958828183,56,Back,3958828185,140,48.7,3958828193,1,,3958828187,141,93.0,3958828181,107,,,,,6n8gmwjc9frk90mzpnf9xlkyy,R. Graham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493752571,6,1,1,0,20,87coxipr6ls77tnlba3eselx0,0,48.7,11.1,2022-12-28T19:47:51.425Z,2022-12-29T03:02:52Z,3958828231,141,0.0,3959152681,388,,3958828229,140,69.0,3958828235,213,5.9,3958828233,212,22.7,3958828227,56,Right,3958828225,3,,,,,dl2j6mynj9b09ehi3ebi2fc2d,C. Randall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
