id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/11/value,qualifier/13/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2501944877,1,34,16,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2023-01-29T12:36:48.069Z,2023-01-29T13:33:01Z,4001898453,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4001898463,197,1999,4001898459,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4001898457,130,4,4001898461,194,z1apq9hkjp8l8jhpegacpwid,4001898451,30,"cgu73urupkapqq9bnl17s8tt5, z1apq9hkjp8l8jhpegacpwid, 1swg0twoet2to70z38wo78b1l, ddnwckj55fg870otjg9w9xyad, dm0ktjgadvf89t9zsqybufnxl, 9mgoxb4nlse8gjbmcs0nh0dex, 73grc910ff9auyze63pgtoet, 960mhrs3usnisl5jv0xzok3x1, b0fuw7r17cq41awaoydw9bjl5, elmr3dbzcn0od1mflq6mc02ui, 1mbcl4xzln2fyj0o3aapdhdrd, 7hzc2m8h1ufacyazzxp1ove1h, 9ykuo0c905u48vd44wxgb6jth, 8gh8ocvon1ht6yxxdxaisfa39, db1hineo65ck1zyg8kjtl5iad, cwdqe0rv5dcshhfhke86j9z2t, 91z7xt6xuwgzt0jyg5owh6yfp, 7jn2vr9iq2cg2ui6oaww1i6i2, djyjh9vs99rm6pfm2ofhwfd91, ejo44v1xeqrf9wsc1q3td4ul1",4001898465,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4001898455,59,"1, 2, 29, 24, 5, 15, 33, 8, 9, 16, 17, 3, 6, 7, 11, 18, 22, 23, 28, 32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501947463,1,34,16,0,0,1hcbcuu846pa3iw6qskiws1cu,1,0,0,2023-01-29T12:40:22.418Z,2023-01-29T13:37:48Z,4001911727,197,9221,4001911723,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4001911719,59,"28, 12, 19, 3, 15, 21, 8, 14, 88, 9, 29, 61, 7, 13, 17, 18, 20, 30, 77",4001911725,194,53ipmesg7cuaty2uzqm1a2xn9,4001911721,130,17,4001911715,30,"2dnrfdd702umzunv6rukg0jx1, 9voc3iwmlxkuuln6h03j0fqzu, 9fk3a8f7bhmecbubtfuqs9jvt, a6gle2qqy7154nh3pqso7upqt, 699t2ytlqawiya0n1ytwk0f6x, emglo360rdevds650u33d2odl, dldx0lpfwxc7eb0bc092m48a1, 894vnlr3zfyyadmhx9n3y6fl6, 111qxn4nmcj81nfg5grdp165m, 53ipmesg7cuaty2uzqm1a2xn9, 578r1t1b7ork624lq5q4k55ux, 1v62lh9e2cpqsaww3ggw5togk, 6a7br2t45mam4765clafr0lp1, 7kyujdy1mcqzlevv3f0l0oul1, ucsmsk8k5wn69tdpz70ytyad, en7rrg1epwhzy47dd1zcp9wb9, bgzc9ozb1qel3aw808tip6bu2, 4ixfdbtira0k9hyhaj4fov651, 5jnu1yubvgdh6k9v9x277kjx1",4001911729,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4001911717,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501985811,2,32,1,0,0,1hcbcuu846pa3iw6qskiws1cu,1,0,0,2023-01-29T13:31:04.422Z,2023-01-29T13:31:04Z,4002093851,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501985817,2,32,1,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2023-01-29T13:31:04.422Z,2023-01-29T22:14:44Z,4002093891,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501985835,3,1,1,0,0,besu5lkqmra07drq1czpr0tk4,1,50.1,50.3,2023-01-29T13:31:04.433Z,2023-01-29T23:25:52Z,4002093955,140,35.6,4002093961,213,3.4,4002093957,141,43.5,4002093953,56,Back,4002093963,279,S,4003809291,178,,4002093959,212,15.9,,,,960mhrs3usnisl5jv0xzok3x1,S. Pittman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501985919,4,1,1,0,3,besu5lkqmra07drq1czpr0tk4,0,33.3,45.7,2023-01-29T13:31:07.752Z,2023-01-29T23:25:56Z,4002094439,212,51.5,4002094441,213,5.9,4002094443,1,,4002094437,141,15.8,4003809461,178,,4002094433,56,Right,4002094435,140,78.4,4002094431,155,,9mgoxb4nlse8gjbmcs0nh0dex,M. Boyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501985925,3,1,1,0,6,1hcbcuu846pa3iw6qskiws1cu,0,26.8,82.1,2023-01-29T13:31:11.251Z,2023-01-29T23:26:00Z,4002094469,56,Back,4002094477,213,6.3,4002094473,141,81.8,4002094467,3,,4002094475,212,13.1,4002094471,140,39.3,4003809539,388,,,,,a6gle2qqy7154nh3pqso7upqt,S. Kingsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501985951,5,1,1,0,8,besu5lkqmra07drq1czpr0tk4,0,58.4,8.6,2023-01-29T13:31:12.850Z,2023-01-30T11:13:51Z,4002094613,56,Right,4002094621,141,0.0,4004208901,178,,4002094617,140,78.1,4002094609,3,,4002094623,212,21.9,4002094627,213,5.9,,,,dm0ktjgadvf89t9zsqybufnxl,J. Fitzwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501986107,4,5,1,0,11,1hcbcuu846pa3iw6qskiws1cu,1,24.6,101.6,2023-01-29T13:31:15.433Z,2023-01-29T23:26:41Z,4002095355,56,Back,4002095357,347,,4002095373,233,6,,,,,,,,,,,,,,,,a6gle2qqy7154nh3pqso7upqt,S. Kingsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501985959,6,5,1,0,11,besu5lkqmra07drq1czpr0tk4,0,75.4,-1.6,2023-01-29T13:31:15.433Z,2023-01-29T23:26:41Z,4002095395,233,4,4002094649,347,,4002094647,56,Right,,,,,,,,,,,,,,,,9mgoxb4nlse8gjbmcs0nh0dex,M. Boyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
