id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value
2537014195,1,34,16,0,0,4qdzzur2cuuridyb0jso8mksi,1,0,0,2023-04-22T13:09:33.085Z,2023-04-22T13:09:33Z,4208236479,197,1975,4208236475,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4208236477,194,4sskvw16m8gh8al8vy0ephuc5,4208236473,130,7,4208236471,59,"1, 22, 3, 14, 27, 4, 7, 23, 9, 18, 16, 6, 10, 12, 20, 25, 28, 31, 39, 44",4208236469,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4208236467,30,"btdn91fhcdkiq2u93gqw32n6d, 1q4eo8ovtzffi9nz1kms98161, 629dgygro5n41ce8ulov5wwl, aqgrddi0lgqphjeksr0rkd0ph, 3wgjzispcz53as7jxh8lh0y96, 2cic9rl1m8i7ut6ed7p0h1905, 7qd78ivuyspmb0fno5vdetat, 7v2udgcj3xk2douxfmge6lp7t, 4sskvw16m8gh8al8vy0ephuc5, 1cfh2cg8i2f4cqd7fraos96fp, 319dgvwkm8di2r8oovefbxck5, 6n8gmwjc9frk90mzpnf9xlkyy, epwyjoowg7wfojxxldoum9yhh, 9o2dyl3cbm2ni3874doydh49h, c99yg0ykkr6o17ykicw27e68k, 86vsscrn4hhdlwlot6sj8pqfo, 74w7u994c832ya17u9g7nkh04, 4sjmv52glqhssplqouu2z8gkp, en1fxquyiysad7et2aeu0fpck, aapofyop1alkvydfgckce9vkk",4208236481,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537016101,1,34,16,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2023-04-22T13:11:24.334Z,2023-04-22T14:04:57Z,4208246621,197,2000,4208246611,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4208246623,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4208246613,59,"1, 2, 11, 18, 5, 15, 16, 22, 9, 17, 19, 4, 7, 8, 12, 23, 24, 28, 29, 32",4208246617,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4208246615,130,8,4208246619,194,z1apq9hkjp8l8jhpegacpwid,4208246609,30,"cgu73urupkapqq9bnl17s8tt5, z1apq9hkjp8l8jhpegacpwid, db1hineo65ck1zyg8kjtl5iad, cwdqe0rv5dcshhfhke86j9z2t, dm0ktjgadvf89t9zsqybufnxl, 9mgoxb4nlse8gjbmcs0nh0dex, elmr3dbzcn0od1mflq6mc02ui, 91z7xt6xuwgzt0jyg5owh6yfp, b0fuw7r17cq41awaoydw9bjl5, 1mbcl4xzln2fyj0o3aapdhdrd, 48hhfwdy6qw1cjd1el8n9t591, 5sh1i9vslc69k5xvf79by4fdh, 8gh8ocvon1ht6yxxdxaisfa39, 960mhrs3usnisl5jv0xzok3x1, f104wb7oezb00w1lmyebcow6h, 7jn2vr9iq2cg2ui6oaww1i6i2, ddnwckj55fg870otjg9w9xyad, djyjh9vs99rm6pfm2ofhwfd91, 1swg0twoet2to70z38wo78b1l, ejo44v1xeqrf9wsc1q3td4ul1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537056849,2,32,1,0,0,4qdzzur2cuuridyb0jso8mksi,1,0,0,2023-04-22T14:01:30.127Z,2023-04-22T18:23:29Z,4208453831,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537056823,2,32,1,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2023-04-22T14:01:30.127Z,2023-04-22T14:01:30Z,4208453705,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537056923,3,1,1,0,0,besu5lkqmra07drq1czpr0tk4,1,49.6,49.4,2023-04-22T14:01:30.139Z,2023-04-22T18:30:17Z,4208454167,213,2.8,4208454169,279,S,4208454165,212,22.2,4208454159,141,60.5,4208454157,140,29.7,4208454155,56,Back,4210332481,178,,,,,1mbcl4xzln2fyj0o3aapdhdrd,S. Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537056953,4,1,1,0,3,besu5lkqmra07drq1czpr0tk4,0,30.2,60.5,2023-04-22T14:01:33.155Z,2023-04-22T18:30:21Z,4208454327,213,5.7,4208454325,212,11.7,4208454319,56,Back,4210333081,178,,4208454317,155,,4208454323,141,51.0,4208454321,140,39.5,,,,9mgoxb4nlse8gjbmcs0nh0dex,M. Boyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537056981,3,61,1,0,3,4qdzzur2cuuridyb0jso8mksi,1,61.8,56.4,2023-04-22T14:01:33.415Z,2023-04-22T18:30:28Z,4210333579,388,,4210333575,21,,4208454467,56,Center,,,,,,,,,,,,,,,,4sskvw16m8gh8al8vy0ephuc5,S. Fletcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537057051,4,5,1,0,6,4qdzzur2cuuridyb0jso8mksi,0,46.8,101.6,2023-04-22T14:01:36.479Z,2023-04-22T18:30:34Z,4208455813,233,5,4208454763,347,,4208454761,56,Back,,,,,,,,,,,,,,,,4sskvw16m8gh8al8vy0ephuc5,S. Fletcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537057261,5,5,1,0,6,besu5lkqmra07drq1czpr0tk4,1,53.2,-1.6,2023-04-22T14:01:36.479Z,2023-04-22T18:30:33Z,4208455725,347,,4208455723,56,Right,4208455785,233,4,,,,,,,,,,,,,,,,9mgoxb4nlse8gjbmcs0nh0dex,M. Boyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537057313,6,1,1,0,14,besu5lkqmra07drq1czpr0tk4,1,49.4,0,2023-04-22T14:01:44.992Z,2023-04-22T18:30:42Z,4208455943,141,24.7,4208455941,140,56.2,4208455939,56,Center,4208455935,107,,4208455947,213,1.2,4208455945,212,19.5,,,,,,,z1apq9hkjp8l8jhpegacpwid,N. Devlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
