id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist
2527289993,1,34,16,0,0,dvnjvad3p09dugr79gktlrtll,1,0,0,2023-04-02T10:04:01.792Z,2023-04-02T10:58:26Z,4156605691,59,"1, 2, 3, 42, 20, 4, 33, 24, 8, 17, 38, 9, 14, 18, 19, 25, 29, 53, 57, 69",4156605687,30,"8grd4q334w1ud9vbb6vrli6z9, epwfc94g7m7ed1nbt9wbgo6ei, 9fd3uggpu2opd1cuiwskjbhm1, cx59kxpqiabi3c5vl9mxvlyhh, c4dvhy1z0op9iwj9aqdgzh0q1, cksi669gcnskpytzh70a43it, cm7l7qimy4iysm1khmpc7u961, v6ddixs4xh5qjb67smsht23t, 96vt6e4xjci5gll0ogsnlfg89, a1q1se1i8ih65e94xswacghk9, 4x7o9h6ea8ldt9sxgz87vwycp, 8ydeghsg8bdyovqjnr56hz8x5, 9hoygyx51dhic09hlnhlsjend, 3g3x2ws0npu7aa51h4nx7nazu, 9qe7czo24c9hz308iuzgx9nxm, 75fze9pkbgv3baqwnyqnzxbe, 9v2ru33bml5fpvpcbjhrahjv9, 34mgsb7k4po6ftbu01tqvam8k, 9z5mgvlru0x1bl4lhwe1irw15, 483132c0u6c5ky3uty1yobpjo",4156605699,197,805,4156605697,194,cx59kxpqiabi3c5vl9mxvlyhh,4156605701,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4156605689,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4156605693,130,4,4156605695,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527290377,1,34,16,0,0,87coxipr6ls77tnlba3eselx0,1,0,0,2023-04-02T10:04:50.840Z,2023-04-02T11:23:31Z,4156607583,59,"1, 2, 16, 14, 30, 6, 4, 42, 26, 27, 29, 7, 8, 11, 15, 17, 19, 21, 25, 49",4156607579,30,"4lp29rlldfr9f8jx6e6qqfgt1, dl2j6mynj9b09ehi3ebi2fc2d, 1hoyso1oinr2bza4lxgkzdiax, 9ciad1fw48orv5aph9o83f6ne, atzpueujhh1u79b8ijhufob9w, 3ka60g1o4fct4t2dc7394sr8p, bxgp3jpqcyk794ty0zk0o9jv9, cxxhe0dwp3wi35c28spse4l7u, 6aonl21cpvfg8ma7i00q9ho0l, 2r9hayi0ybenx2bj3hrhzbb9x, 156hlg4mne48ct15fm5qtpjo5, 2n1na0cyvk19401cuwsokmaga, 1q9c3t3umg0yh0qop886eghxx, djn7515ev4uzfcvizndtrvzkl, cgonvdrm0gwjzrsz5fho4cwr9, f48c8vds4wpfu9wl7is4y3sgl, 3jxifism5urj3049zcojb8us5, 1xcvcrq88be0efbkwgi7pirjd, alzbf0uxns1669kbn41xmxiad, 1wk872a75kcbsb3wsvu10iz2s",4156607593,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4156607585,130,6,4156607589,194,3ka60g1o4fct4t2dc7394sr8p,4156607581,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4156607587,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4156607591,197,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527332865,2,32,1,0,0,dvnjvad3p09dugr79gktlrtll,1,0,0,2023-04-02T11:01:32.059Z,2023-04-02T11:01:32Z,4156823181,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527332875,2,32,1,0,0,87coxipr6ls77tnlba3eselx0,1,0,0,2023-04-02T11:01:32.059Z,2023-04-02T16:05:32Z,4156823253,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527332917,3,1,1,0,0,dvnjvad3p09dugr79gktlrtll,1,50,50,2023-04-02T11:01:32.108Z,2023-04-02T16:21:32Z,4156823503,56,Back,4156823517,279,S,4156823505,140,37.4,4156823515,213,2.8,4156823509,212,14.0,4158667349,178,,4156823507,141,56.6,,,,cm7l7qimy4iysm1khmpc7u961,M. O'Riley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527333009,4,1,1,0,1,dvnjvad3p09dugr79gktlrtll,1,37.4,56.6,2023-04-02T11:01:33.845Z,2023-04-02T16:21:36Z,4156824023,56,Back,4156824031,213,1.3,4158667635,178,,4156824025,140,44.5,4156824029,212,23.8,4156824027,141,89.9,,,,,,,v6ddixs4xh5qjb67smsht23t,T. Iwata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527726625,743,83,1,0,6,87coxipr6ls77tnlba3eselx0,1,43.7,13.1,2023-04-02T11:01:39.016Z,2023-04-02T17:08:08Z,4158870113,399,226191,,,,,,,,,,,,,,,,,,,,,,bxgp3jpqcyk794ty0zk0o9jv9,D. Cancola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527333045,5,1,1,0,8,dvnjvad3p09dugr79gktlrtll,1,56.2,89.1,2023-04-02T11:01:40.937Z,2023-04-02T16:21:40Z,4156824207,141,97.2,4156824213,213,1.9,4158668031,178,,4156824211,212,5.8,4156824205,140,54.5,4156824203,56,Left,,,,,,,9fd3uggpu2opd1cuiwskjbhm1,G. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527333079,6,1,1,0,10,dvnjvad3p09dugr79gktlrtll,1,53.5,97.7,2023-04-02T11:01:42.340Z,2023-04-02T16:21:46Z,4156824421,141,95.1,4158668219,178,,4156824423,212,20.4,4156824419,140,34.1,4156824425,213,3.2,4156824417,56,Back,,,,,,,cx59kxpqiabi3c5vl9mxvlyhh,C. McGregor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527333235,7,1,1,0,12,dvnjvad3p09dugr79gktlrtll,1,34.1,95.1,2023-04-02T11:01:44.970Z,2023-04-02T16:21:48Z,4156825247,140,26.1,4156825249,141,49.7,4156825253,213,4.4,4156825245,56,Back,4158668717,178,,4156825251,212,32.0,,,,,,,cksi669gcnskpytzh70a43it,C. Starfelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
