id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,keyPass,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/8/value,qualifier/14/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist
2515319363,1,34,16,0,0,841zp0njrq63yv4fvw6lgf60q,1,0,0,2023-03-04T17:08:46.991Z,2023-03-04T17:39:14Z,4072329921,197,16761,4072329915,130,4,4072329923,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4072329917,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4072329919,194,e8wxyqahq47qd1sfh2qniqac5,4072329913,59,"19, 2, 3, 20, 27, 18, 16, 6, 9, 23, 11, 10, 1, 4, 14, 15, 17, 22, 33, 36",4072329909,30,"ddfwtazsntda1pah2l454py3t, 6o62deaqwdcrllc91hz09cct1, 4e49434kkv98sjq1byj8rnkh6, 6ne71gfjoez9m0tk8qozd8e3u, b9bkrtx5x0g403la5n3h17mxh, bos0z54lr710ov1ppq0rahje2, c4kxfrbrfedilykhbyak3e579, e8wxyqahq47qd1sfh2qniqac5, 8cpd4je0ku8wjumqeh3ruv10p, 9imvdvv7wnaknh1bc4ocun78q, bkehljspqbj6tz0peqjivkvai, 2ws74z0vjuq4vdt4575cgjbsa, 6xvw6n5wq8bcgg01i87rbfsgl, 8byxqwq7ktyxn5rfbj4p0m0o9, eh7p84iu66n1ehlisgttnhv1m, 7ie1bwuj4e18xy9bl6mszwt1, 1doiom8yk2hn6sn6orlcfypjp, su2h9bv6nhltjjkbz5s7lrdh, el8iinhsb8c12kgvng4idutat, cgcc0n4i0k8jc9tk8vwzgltsk",4072329911,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515321583,1,34,16,0,0,4qdzzur2cuuridyb0jso8mksi,1,0,0,2023-03-04T17:11:57.373Z,2023-03-04T18:08:53Z,4072341989,30,"btdn91fhcdkiq2u93gqw32n6d, 1q4eo8ovtzffi9nz1kms98161, 319dgvwkm8di2r8oovefbxck5, 629dgygro5n41ce8ulov5wwl, 2cic9rl1m8i7ut6ed7p0h1905, 9o2dyl3cbm2ni3874doydh49h, aqgrddi0lgqphjeksr0rkd0ph, 2t4k430xmiekwb5khdwtg14h5, 4sskvw16m8gh8al8vy0ephuc5, 7v2udgcj3xk2douxfmge6lp7t, 1cfh2cg8i2f4cqd7fraos96fp, 3wgjzispcz53as7jxh8lh0y96, a5fpw5f7bvu01i8drfir8ugut, 6n8gmwjc9frk90mzpnf9xlkyy, 7qd78ivuyspmb0fno5vdetat, epwyjoowg7wfojxxldoum9yhh, c99yg0ykkr6o17ykicw27e68k, 86vsscrn4hhdlwlot6sj8pqfo, 4sjmv52glqhssplqouu2z8gkp, aapofyop1alkvydfgckce9vkk",4072341991,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4072342003,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4072341993,59,"1, 22, 16, 3, 4, 12, 14, 19, 9, 23, 18, 27, 2, 6, 7, 10, 20, 25, 31, 44",4072342001,197,1975,4072341997,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4072341999,194,9o2dyl3cbm2ni3874doydh49h,4072341995,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515357559,2,32,1,0,0,841zp0njrq63yv4fvw6lgf60q,1,0,0,2023-03-04T18:00:40.936Z,2023-03-04T18:00:43Z,4072525885,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515357549,2,32,1,0,0,4qdzzur2cuuridyb0jso8mksi,1,0,0,2023-03-04T18:00:40.936Z,2023-03-05T07:36:05Z,4072525829,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515357595,3,1,1,0,0,4qdzzur2cuuridyb0jso8mksi,1,49.9,49.9,2023-03-04T18:00:40.972Z,2023-03-05T13:50:25Z,4072526025,213,3.3,4075425127,178,,4072526027,279,S,4072526021,141,44.3,4072526019,140,29.0,4072526017,56,Back,4072526023,212,22.3,,,,2t4k430xmiekwb5khdwtg14h5,D. Levitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515357701,4,1,1,0,2,4qdzzur2cuuridyb0jso8mksi,0,29,44.2,2023-03-04T18:00:43.859Z,2023-03-05T13:50:33Z,4072526513,140,83.5,4072526509,155,,4075425709,178,,4072526511,56,Right,4072526521,1,,4072526515,141,0.0,4072526517,212,65.2,4072526519,213,5.8,9o2dyl3cbm2ni3874doydh49h,R. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515357947,3,5,1,0,9,841zp0njrq63yv4fvw6lgf60q,1,17.3,102,2023-03-04T18:00:50.796Z,2023-03-05T13:50:45Z,4072527761,56,Back,4072527763,347,,4072527797,233,5,,,,,,,,,,,,,,,,bos0z54lr710ov1ppq0rahje2,M. Pollock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515357703,5,5,1,0,9,4qdzzur2cuuridyb0jso8mksi,0,82.7,-2,2023-03-04T18:00:50.796Z,2023-03-05T13:50:45Z,4072526525,56,Right,4072526527,347,,4072527807,233,3,,,,,,,,,,,,,,,,9o2dyl3cbm2ni3874doydh49h,R. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515357989,4,1,1,0,24,841zp0njrq63yv4fvw6lgf60q,0,18.1,100,2023-03-04T18:01:05.121Z,2023-03-05T13:50:53Z,4072527937,56,Back,4072527939,140,35.3,4072527943,212,18.4,4072527935,107,,4072527941,141,96.8,4072527945,213,6.1,,,,,,,4e49434kkv98sjq1byj8rnkh6,J. MacKenzie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515358019,6,1,1,0,25,4qdzzur2cuuridyb0jso8mksi,0,59.8,7.9,2023-03-04T18:01:06.841Z,2023-03-05T13:50:59Z,4072528111,140,69.2,4072528109,56,Right,4072528113,141,0.0,4072528107,3,,4075427531,178,,4072528117,213,5.7,4072528115,212,11.8,,,,2cic9rl1m8i7ut6ed7p0h1905,C. Mulgrew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
