id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,keyPass,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/13/value,assist,qualifier/15/value,qualifier/16/value,qualifier/18/value
2442469675,1,34,16,0,0,ez46dadmx0virt38cgeq2n6pf,1,0,0,2022-08-06T13:14:45.978Z,2022-08-06T14:17:54Z,3686966005,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3686965999,130,17,3686965997,59,"1, 14, 19, 4, 5, 13, 22, 18, 17, 23, 29, 2, 6, 11, 12, 7, 16, 21, 25, 27",3686965993,30,"3vt38r8n9081i3a4dj89lx905, 2ezi9zjj3pmt475woji11gi51, 56b1gs6obdcpx4j3c02bi4bqi, cxjlus7adz4r6y0j3x5v2y0gl, 9wjmsi05ex83iw3iy5bgkdrvu, 4gxhbsq4ocdqnrj3yrro2jf11, 7xxqn9xu5izixdi9spsjf1t5h, 4l1wyg8j3u42b87477y3zm54a, 2r6suw717hgzqsp8ogvwdfk6h, a0cvnq9q83z3x0e1p938uu5ed, cyg7icft0ojp9wdbyq9nlkwyd, 1yqdq8dtuvh9wmn8cgyv3t8tl, tywvq45nw3cobufa7zkhsq8l, e5jvpbvdxhuq0m80bpqwv015h, 7bpoyv7zrd3ffl4j4e520jdud, 27ldss0bvyuhn929cd0j8u47p, 2rcg4teem594t3w6tcn2rb84p, c4g43ghalkakgcgv1jzaum11x, 72lspkwr1lpqqq8o2twxq1bzd, dc1kk0l9t57lspx5qzzbscm0a",3686965995,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3686966001,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3686966003,194,7xxqn9xu5izixdi9spsjf1t5h,3687268087,197,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442481083,1,34,16,0,0,759fhii7hsnldanli06j5jmf6,1,0,0,2022-08-06T13:37:29.168Z,2022-08-06T14:11:21Z,3687083329,197,1981,3687025285,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3687025287,194,4gxuw581mvfnr6qr3aobbjyt,3687025283,130,2,3687025277,30,"4gxuw581mvfnr6qr3aobbjyt, blmo7wrka5yrcckuu9owlwx5h, 5j7ekg9k304y36twun3me2w2d, 1vgtiwnof0l89l62t6e1thgx5, 4y27uf869xrujogawxtl9q0a1, 201zg5m6q6zjj43w8jlf5cgrt, 6axbj3uylrbf0l29vj3vdmd3p, eghu03zhii5vbr655sub8xmmt, dkk86y8pa3svtz43c0m55qn6x, aiacgvdwjvt1te2ndnbk95lg5, 5z0g3l4s56p11t3wgrpjhko9h, bk53m1u0wkpp3bw306dqh5s0k, cb01n06n2ihlil5hf6q7u04tm, 5pdlz19qx7g6609ns8htwqv9x, bpjmwp030jnapyjfii8nyqdhx, kmyde3h3kx3tyx5b4m2oglt6, 3sk52j2sm7jvmytofzefc5boq, 1qvgid3btojtw6dg35bnl2ei, cfjerpzkgle5dquubfp5o5ul0, aggnskq9dwjc7vi0t4n2y6k9g",3687025279,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3687025281,59,"1, 16, 2, 6, 5, 15, 7, 23, 29, 9, 27, 33, 11, 12, 14, 18, 26, 28, 36, 49",3687025289,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442494663,2,32,1,0,0,ez46dadmx0virt38cgeq2n6pf,1,0,0,2022-08-06T14:00:32.923Z,2022-08-06T14:00:36Z,3687087347,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442494613,2,32,1,0,0,759fhii7hsnldanli06j5jmf6,1,0,0,2022-08-06T14:00:32.923Z,2022-08-07T01:55:21Z,3687087115,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442494699,3,1,1,0,0,ez46dadmx0virt38cgeq2n6pf,1,49.2,50.1,2022-08-06T14:00:32.943Z,2022-08-06T19:45:10Z,3687087497,56,Back,3687087499,140,41.0,3687087507,279,S,3689050333,178,,3687087503,212,9.7,3687087505,213,2.7,3687087501,141,56.7,,,,cyg7icft0ojp9wdbyq9nlkwyd,J. Murphy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442494721,4,1,1,0,1,ez46dadmx0virt38cgeq2n6pf,0,41.1,57,2022-08-06T14:00:34.666Z,2022-08-06T19:45:17Z,3687087593,141,16.2,3687087597,213,5.6,3687087599,1,,3687087589,56,Right,3687087587,155,,3687087595,212,43.5,3689050909,178,,3687087591,140,73.0,cxjlus7adz4r6y0j3x5v2y0gl,A. Considine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442494749,3,1,1,0,4,759fhii7hsnldanli06j5jmf6,0,24.2,86.6,2022-08-06T14:00:37.717Z,2022-08-06T19:46:59Z,3687087749,212,18.9,3687087741,140,42.2,3687087751,213,0.0,3687087737,56,Back,3687087733,3,,3689051543,388,,3687087745,141,87.0,,,,201zg5m6q6zjj43w8jlf5cgrt,S. Johansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442494753,5,1,1,0,7,ez46dadmx0virt38cgeq2n6pf,0,55.7,9.5,2022-08-06T14:00:40.011Z,2022-08-06T19:47:14Z,3687087757,56,Right,3687087761,140,64.1,3687087755,3,,3689059667,388,,3687087763,141,18.8,3687087767,212,10.9,3687087771,213,0.6,,,,7xxqn9xu5izixdi9spsjf1t5h,M. Hallberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442494829,4,1,1,0,8,759fhii7hsnldanli06j5jmf6,1,34.1,63.7,2022-08-06T14:00:41.285Z,2022-08-06T19:47:24Z,3687088091,140,42.0,3687088095,212,10.2,3687088087,3,,3689060457,388,,3687088089,56,Back,3687088093,141,54.9,3687088097,213,5.7,,,,1vgtiwnof0l89l62t6e1thgx5,B. Maguire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442494855,5,1,1,0,10,759fhii7hsnldanli06j5jmf6,0,42,54.9,2022-08-06T14:00:43.536Z,2022-08-06T19:47:36Z,3687088197,140,54.0,3687088193,56,Center,3689061171,388,,3687088209,213,6.0,3687088191,3,,3687088203,141,49.0,3687088207,212,13.2,,,,eghu03zhii5vbr655sub8xmmt,J. Morris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
