id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,assist,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value
2460983265,1,34,16,0,0,enzoyc121va61wtmjf4cm7p3d,1,0,0,2022-09-17T13:04:23.845Z,2022-09-17T14:25:27Z,3785451947,194,2spu2yn887lywqw2vrg3evhlh,3785451943,130,17,3785451937,30,"1fkrvnzbrb9s0qojjhc8edpm1, 2ytdtlvxm0ba22gsmk6vu4vhm, 1wmfn9bky6owvj3jc4iftsxnu, aqt5c6bvjkbaw56lq7t69kjjd, 9coe01drgpmlz3ee9qfond815, 4rsnyz3019rgfjdil1zs024t1, ek2ub5dvlisn73a45n3gwj2s5, 2spu2yn887lywqw2vrg3evhlh, 71xg650qcs8yibhrumgvdejth, 9z0xcc7yot7royqle0nn6fdn9, 8q0nnrx7ru205zepoqv7lm579, 1pt1yc4fl9oxxsaoeq1cm3xzp, n4ml5xifvll22bpq68ld4auh, 6ta1shg2pfj5cchdod1xdtvbp, 6uvj9qt3kex5sx729zbe1rlyh, atf7aycphllb4i8h9jnld4bmd, 91m838lynz6db94q8ufcqk91x, 3svpmpx5tb4ekuewkh79l2up5, b3s3d69kycsfhgk4fslp7s1d5, bl8p4bg9mwh2ugsxgg4x0pzo5",3785451951,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3785451941,59,"1, 25, 33, 3, 2, 19, 31, 4, 26, 11, 7, 6, 9, 10, 15, 17, 20, 21, 27, 28",3785451939,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3785451949,197,1978,3785451945,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460985151,1,34,16,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2022-09-17T13:06:32.542Z,2022-09-17T14:11:16Z,3785462131,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3785462127,194,z1apq9hkjp8l8jhpegacpwid,3785462117,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3785462113,30,"cgu73urupkapqq9bnl17s8tt5, z1apq9hkjp8l8jhpegacpwid, db1hineo65ck1zyg8kjtl5iad, 960mhrs3usnisl5jv0xzok3x1, 9ykuo0c905u48vd44wxgb6jth, ddnwckj55fg870otjg9w9xyad, 8gh8ocvon1ht6yxxdxaisfa39, cwdqe0rv5dcshhfhke86j9z2t, djyjh9vs99rm6pfm2ofhwfd91, 73grc910ff9auyze63pgtoet, 48hhfwdy6qw1cjd1el8n9t591, 7hzc2m8h1ufacyazzxp1ove1h, dm0ktjgadvf89t9zsqybufnxl, b0fuw7r17cq41awaoydw9bjl5, e3wuwgyb0acsca2fw0l7fq7rp, 1mbcl4xzln2fyj0o3aapdhdrd, 91z7xt6xuwgzt0jyg5owh6yfp, 8d9kq8ab5olsc1w1swicqemay, 1swg0twoet2to70z38wo78b1l, ejo44v1xeqrf9wsc1q3td4ul1",3785462123,130,8,3785462119,59,"1, 2, 11, 8, 6, 24, 7, 18, 28, 33, 19, 3, 5, 9, 10, 17, 22, 25, 29, 32",3785462129,197,1999,3785462125,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461038569,2,32,1,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2022-09-17T14:02:31.051Z,2022-09-17T20:23:06Z,3785738767,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461037933,2,43,1,0,0,enzoyc121va61wtmjf4cm7p3d,1,0,0,2022-09-17T14:02:31.051Z,2022-09-17T14:02:42Z,3785735579,127,Left to Right,3785737373,144,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461038561,3,32,1,0,0,enzoyc121va61wtmjf4cm7p3d,1,0,0,2022-09-17T14:02:31.051Z,2022-09-17T14:02:52Z,3785738739,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461038587,4,1,1,0,0,enzoyc121va61wtmjf4cm7p3d,1,49.9,49.9,2022-09-17T14:02:31.300Z,2022-09-17T21:32:52Z,3785738875,56,Back,3785738879,141,51.1,3788222829,178,,3785738885,279,S,3785738883,213,3.1,3785738877,140,36.8,3785738881,212,13.8,,,,9z0xcc7yot7royqle0nn6fdn9,D. Armstrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461038731,5,1,1,0,1,enzoyc121va61wtmjf4cm7p3d,0,42.5,51,2022-09-17T14:02:32.771Z,2022-09-17T21:32:59Z,3788222943,178,,3785739597,1,,3785739593,212,44.6,3785739581,155,,3785739591,141,100.0,3785739585,56,Left,3785739589,140,69.2,3785739595,213,0.9,2spu2yn887lywqw2vrg3evhlh,A. Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461038965,3,5,1,0,5,besu5lkqmra07drq1czpr0tk4,1,28.6,-2,2022-09-17T14:02:36.381Z,2022-09-17T21:33:08Z,3785740687,347,,3785740807,233,6,3785740685,56,Back,,,,,,,,,,,,,,,,djyjh9vs99rm6pfm2ofhwfd91,K. Guthrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461038741,6,5,1,0,5,enzoyc121va61wtmjf4cm7p3d,0,71.4,102,2022-09-17T14:02:36.381Z,2022-09-17T21:33:08Z,3785739629,347,,3785740843,233,3,3785739627,56,Left,,,,,,,,,,,,,,,,2spu2yn887lywqw2vrg3evhlh,A. Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461039045,4,1,1,0,11,besu5lkqmra07drq1czpr0tk4,1,29,0,2022-09-17T14:02:42.827Z,2022-09-17T21:33:13Z,3785741133,140,42.4,3785741137,212,14.6,3785741131,56,Back,3785741129,107,,3785741139,213,0.3,3785741135,141,3.5,,,,,,,z1apq9hkjp8l8jhpegacpwid,N. Devlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
