id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2502072653,1,34,16,0,0,dvnjvad3p09dugr79gktlrtll,1,0,0,2023-01-29T15:01:18.917Z,2023-01-29T15:01:19Z,4002529507,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002529495,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4002529497,59,"1, 2, 3, 42, 20, 4, 13, 41, 8, 11, 17, 9, 14, 18, 19, 24, 29, 33, 38, 49",4002529501,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002529505,197,805,4002529499,130,4,4002529493,30,"8grd4q334w1ud9vbb6vrli6z9, epwfc94g7m7ed1nbt9wbgo6ei, 9fd3uggpu2opd1cuiwskjbhm1, cx59kxpqiabi3c5vl9mxvlyhh, c4dvhy1z0op9iwj9aqdgzh0q1, cksi669gcnskpytzh70a43it, axicg3mdtrur97rjz423pl8t1, ed81nbya8j93qvelqdk79ustm, 96vt6e4xjci5gll0ogsnlfg89, czazwj4nt23bydpdi67i0wga2, a1q1se1i8ih65e94xswacghk9, 8ydeghsg8bdyovqjnr56hz8x5, 9hoygyx51dhic09hlnhlsjend, 3g3x2ws0npu7aa51h4nx7nazu, 9qe7czo24c9hz308iuzgx9nxm, v6ddixs4xh5qjb67smsht23t, 9v2ru33bml5fpvpcbjhrahjv9, cm7l7qimy4iysm1khmpc7u961, 4x7o9h6ea8ldt9sxgz87vwycp, 26olsdd9erf8rahc8xfqz01xx",4002529503,194,cx59kxpqiabi3c5vl9mxvlyhh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502076465,1,34,16,0,0,4qdzzur2cuuridyb0jso8mksi,1,0,0,2023-01-29T15:05:46.311Z,2023-01-29T16:06:46Z,4002550197,30,"btdn91fhcdkiq2u93gqw32n6d, 1q4eo8ovtzffi9nz1kms98161, 319dgvwkm8di2r8oovefbxck5, 629dgygro5n41ce8ulov5wwl, 9o2dyl3cbm2ni3874doydh49h, a5fpw5f7bvu01i8drfir8ugut, 7v2udgcj3xk2douxfmge6lp7t, aqgrddi0lgqphjeksr0rkd0ph, en7kanawhbmhl0736htwdnt9l, 4sskvw16m8gh8al8vy0ephuc5, 2t4k430xmiekwb5khdwtg14h5, 2cic9rl1m8i7ut6ed7p0h1905, 6n8gmwjc9frk90mzpnf9xlkyy, 7qd78ivuyspmb0fno5vdetat, 8vjnf1tezikfb9dfnv4waxuxh, epwyjoowg7wfojxxldoum9yhh, 1cfh2cg8i2f4cqd7fraos96fp, 74w7u994c832ya17u9g7nkh04, 4sjmv52glqhssplqouu2z8gkp, aapofyop1alkvydfgckce9vkk",4002550211,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002550203,130,10,4002550209,197,1975,4002550207,194,9o2dyl3cbm2ni3874doydh49h,4002550199,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4002550201,59,"1, 22, 16, 3, 12, 2, 23, 14, 15, 9, 19, 4, 6, 7, 8, 10, 18, 28, 31, 44",4002550205,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502124401,2,32,1,0,0,dvnjvad3p09dugr79gktlrtll,1,0,0,2023-01-29T16:00:57.828Z,2023-01-29T16:00:59Z,4002805785,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502124405,2,32,1,0,0,4qdzzur2cuuridyb0jso8mksi,1,0,0,2023-01-29T16:00:57.828Z,2023-01-29T21:08:53Z,4002805791,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502124429,3,1,1,0,0,4qdzzur2cuuridyb0jso8mksi,1,50,50,2023-01-29T16:00:58.038Z,2023-01-29T21:14:45Z,4003634613,178,,4002805931,140,34.1,4002805935,212,16.7,4002805937,213,3.1,4002805929,56,Back,4002805939,279,S,4002805933,141,50.0,,,,2t4k430xmiekwb5khdwtg14h5,D. Levitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502124441,4,1,1,0,2,4qdzzur2cuuridyb0jso8mksi,1,36.2,50.3,2023-01-29T16:01:00.745Z,2023-01-29T21:14:48Z,4002806017,1,,4002806009,140,78.5,4002806015,213,5.8,4002806011,141,16.5,4002806007,56,Right,4003634681,178,,4002806005,155,,4002806013,212,50.0,629dgygro5n41ce8ulov5wwl,S. McMann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502124443,5,44,1,0,5,4qdzzur2cuuridyb0jso8mksi,1,74.2,15,2023-01-29T16:01:03.342Z,2023-01-29T21:59:22Z,4002806035,286,,4002806033,56,Right,4002806085,233,3,,,,,,,,,,,,,,,,4sskvw16m8gh8al8vy0ephuc5,S. Fletcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502124437,3,44,1,0,5,dvnjvad3p09dugr79gktlrtll,0,25.8,85,2023-01-29T16:01:03.343Z,2023-01-29T21:14:51Z,4002805989,285,,4002805987,56,Back,4002806129,233,5,,,,,,,,,,,,,,,,9fd3uggpu2opd1cuiwskjbhm1,G. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502124463,6,1,1,0,5,4qdzzur2cuuridyb0jso8mksi,0,79.7,16.8,2023-01-29T16:01:03.487Z,2023-01-29T21:59:22Z,4002806163,141,34.8,4003634823,388,,4002806159,56,Center,4002806157,3,,4002806167,213,1.3,4002806161,140,83.2,4002806165,212,12.8,,,,4sskvw16m8gh8al8vy0ephuc5,S. Fletcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502124451,4,49,1,0,7,dvnjvad3p09dugr79gktlrtll,1,17.5,65.4,2023-01-29T16:01:05.733Z,2023-01-29T21:14:59Z,,,,,,,,,,,,,,,,,,,,,,,,,cksi669gcnskpytzh70a43it,C. Starfelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
