id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/8/value,qualifier/11/value,keyPass,qualifier/12/value,qualifier/14/value,qualifier/13/value,assist,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value
2443541879,1,34,16,0,0,alyavx3ad35bp1xuwmqk7sgev,1,0,0,2022-08-07T19:00:13.753Z,2022-08-07T19:34:56Z,3692663973,130,8,3692663969,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",3692663983,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3692783901,197,2933,3692663967,30,"1tkq6knbo350vy0o8aieijmxh, 9m66crpktao9g80wc8zi9y5ex, cmxmyld8l4gjy03zxskyxf5gq, 3r7hk2j6ubc60if92cm6jbsyy, z6po5y26nap863d68tcekhqt, 2nod7tpovdjb85efh2sogijth, 361pxz5e33ydl2c3t63a9kzc9, 3845lzar855rp3zp4stgmgul1, 1bpopqr7cuikh6s6sk4ij31ed, 2b4soa2ddbbmdwm0ur760jh05, duv5kjxwj07cwmfz8x200qyqy, 4x9vmtldr4xz9v58z7hgv00oa, c9lykzcr3q7hr50ui74iqastm, k5zoj6nv60whksh42eztymsp, 1rdadi8uuu161wj8o7gbcn8wl, 5jsb62u7jx2vtblnbtxvttq3u, 530nhsyjmbwcpb8536pgwbld5, et4mglw8d0mwweghd2hmzz9jo, awu6zsiy6l8e3p1athc733jkl",3692663981,194,2b4soa2ddbbmdwm0ur760jh05,3692663977,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3692663971,59,"1, 77, 5, 6, 19, 3, 73, 8, 23, 10, 11, 9, 12, 25, 21, 28, 44, 70, 95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443542667,1,34,16,0,0,8gvg1ranyf93hprfkwx3ofl2y,1,0,0,2022-08-07T19:01:36.132Z,2022-08-07T20:14:20Z,3692668685,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3692668679,130,4,3692668675,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3692668677,59,"14, 2, 5, 22, 13, 3, 70, 10, 17, 7, 11, 6, 20, 23, 25, 30, 33, 38, 63, 80",3692668681,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3692668683,194,2accix9saahg900cja5e9iw9h,3692668673,30,"2accix9saahg900cja5e9iw9h, d30uqfrs7mqb6jnj99qgyr28k, ay10c4r23f0tlyuqytje0ack4, 2lur2ts61wwrsvih1lb1jee50, bot4jd6s4g69w5wvtn9qlevx0, 6ram2zlda1gvj947zzmab68r9, 9dc4qkvh0vk5kwymibji00kp, 7bizatqq8lesywgb68x9cizmd, 7jqin4ptb8of32u4e646mxwtm, 53sq02gs09i7chjvx2zfwdaz9, 1ziaf8ivlizetjhinr9ua6uax, lp63o37czdwete0smmu62k89, 4tyjzyixiz32zfs37qs4u6ve2, bz64q1gkwqtlc749oqqqzm5wq, 3yolt0tc40fjqupa2ea4epka1, 3hzwwygv4u0vn68g4z3taqj1l, evwzikhqpwulci3y20ckeoc15, 20qxviornp26t0t8oq8xuyi5m, e2nsy4zv5hw9x13mp604tr8ix, 1qcf5gb8wf8f4tu94xh96yqy",3692783855,197,4663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443566921,2,32,1,0,0,alyavx3ad35bp1xuwmqk7sgev,1,0,0,2022-08-07T19:33:06.170Z,2022-08-09T20:30:00Z,3692800855,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443566911,3,32,1,0,0,8gvg1ranyf93hprfkwx3ofl2y,1,0,0,2022-08-07T19:33:06.170Z,2022-08-07T19:33:06Z,3692800831,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443566969,4,1,1,0,0,8gvg1ranyf93hprfkwx3ofl2y,1,50.2,49.9,2022-08-07T19:33:06.513Z,2022-08-10T07:52:35Z,3696658345,178,,3692801083,212,27.5,3692801081,141,67.6,3692801087,279,S,3692801077,56,Back,3692801085,213,2.7,3692801079,140,26.7,,,,9dc4qkvh0vk5kwymibji00kp,André Almeida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443567019,5,1,1,0,3,8gvg1ranyf93hprfkwx3ofl2y,0,27.4,69.1,2022-08-07T19:33:09.462Z,2022-08-10T07:52:57Z,3692801341,155,,3692801347,141,52.2,3692801353,1,,3692801349,212,51.8,3692801345,140,75.5,3696658457,178,,3692801351,213,6.1,3692801343,56,Center,6ram2zlda1gvj947zzmab68r9,M. Villanueva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443567045,3,1,1,0,6,alyavx3ad35bp1xuwmqk7sgev,0,25.4,52.5,2022-08-07T19:33:12.379Z,2022-08-10T07:53:11Z,3692801489,213,1.0,3692801483,140,32.5,3692801485,141,68.2,3692801479,3,,3692801481,56,Back,3692801487,212,13.0,3696658647,388,,,,,z6po5y26nap863d68tcekhqt,S. Vitória,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443567083,6,50,1,0,7,8gvg1ranyf93hprfkwx3ofl2y,1,70.8,36.8,2022-08-07T19:33:13.459Z,2022-08-10T07:53:46Z,3692801715,233,4,3692801651,56,Center,3692801653,286,,,,,,,,,,,,,,,,,53sq02gs09i7chjvx2zfwdaz9,Rúben Lameiras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443567079,4,7,1,0,7,alyavx3ad35bp1xuwmqk7sgev,0,29.2,63.2,2022-08-07T19:33:14.164Z,2022-08-10T07:54:12Z,3692801643,285,,3696659217,178,,3692801691,233,6,3692801641,56,Back,3695342923,385,,,,,,,,,,,2b4soa2ddbbmdwm0ur760jh05,João Teixeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443567103,7,61,1,0,9,8gvg1ranyf93hprfkwx3ofl2y,1,72.7,41.5,2022-08-07T19:33:15.363Z,2022-08-10T07:54:26Z,3692801757,56,Center,3696659311,178,,,,,,,,,,,,,,,,,,,,53sq02gs09i7chjvx2zfwdaz9,Rúben Lameiras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
