id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist
2482489381,1,34,16,0,0,cgvbluoerzbzcr7aaxge3wkcv,1,0,0,2022-11-06T14:41:26.552Z,2022-11-06T15:34:37Z,3899454727,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3899454735,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3899454719,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3899454731,194,9sfjkb99h1b1obdmedrecag9h,3899741257,197,377,3899454721,59,"18, 20, 93, 4, 33, 23, 15, 6, 22, 19, 8, 1, 9, 10, 13, 17, 21, 24, 42, 77",3899454723,130,12,3899454717,30,"ckog922pr9vqy2ry4m7o5ag2d, degqtleco9n5tlt0yz3q5t9ii, 2rw2a005v9ehuopm1hf87uvah, 8uxdtdynfnmlx0ro5iounze1, 75znincjirp1z8bcw9nhztxat, 110maz3wmyhfk670un6ieloet, c38u6t2mr5f441tcuxlwpulpm, e6ztipndwfp33c6j7yebsyx91, 79mo2l821d5zq6dyrg9qkpf4l, 433k61rvy0ay7lcsyxd918r8p, 9sfjkb99h1b1obdmedrecag9h, 5881z0950eh6003uukdwkuql0, 55r9zkckjjq4txriw3jhguwnp, 4agmh5fbf826bjrxtg3mw5at, cvqqwbdd3dttekkcooh7i80h6, 1g46yyjzlu0vqpk3w51scv1ed, 9kvoxdbnb5kt2dzy7kr0s7v11, dy434rgboexxvq6tgr8gwef9x, 803s6ja43m4i9jhl97jd37s2x, djqbki8jap3rp8l0izzly9tzo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482491279,1,34,16,0,0,3b4nxgvmwzstmoq6borytkwx1,1,0,0,2022-11-06T14:42:42.167Z,2022-11-06T15:28:57Z,3899465167,194,ekjpc2tvdk5jtiamtufdqkr85,3899465165,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3899465159,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3899465169,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3899465157,30,"ekjpc2tvdk5jtiamtufdqkr85, 4a4kjygjq5el2ylh7k660lul0, 4ax49niuix9tiqdv05y3vbdn9, 7aak50ydu8nrfxd9qndeygnpw, 3weuuu2vlyod9x7gnk2v9r1ed, 3ebyf23azgbktpf7dgwlphkvd, 47wasen155qbiu6pmyp3dowr9, 90ojk78yhwtwbnz0k5w1ow6hh, rm1d0hp2iwsne1hbfgq0oa21, 57pi7l4h7g2jydmkc5vl6vkr9, 96tuk7bpr043jh2obpegcgd4a, 6n9p8xqhlgz0qfi39rojaxst0, 5za437wrlqizff74n6uqodpzp, aissbbcnwyr06fhgfamxo9j2t, 3batawbh7y4sjkeo4hn34svzd, 6s3dyzmxof6gtc9whatcgiz56, 6a34imgccsbw4zysasuziuad, ap2l08x0nj8xqvvrfp796rmj9, c406oul95r3jvmbebcge5oz4l, eyllkbdemtx2seh48r9l3czbp",3899465161,59,"1, 79, 19, 70, 23, 2, 24, 18, 11, 21, 13, 4, 7, 8, 9, 10, 12, 20, 26, 42",3899465163,130,13,3899742405,197,17460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482548371,2,32,1,0,0,3b4nxgvmwzstmoq6borytkwx1,1,0,0,2022-11-06T15:31:41.308Z,2022-11-06T15:31:42Z,3899774035,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482548361,2,32,1,0,0,cgvbluoerzbzcr7aaxge3wkcv,1,0,0,2022-11-06T15:31:41.308Z,2022-11-08T18:18:16Z,3899773973,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482548415,3,1,1,0,0,cgvbluoerzbzcr7aaxge3wkcv,1,50.3,49.7,2022-11-06T15:31:41.344Z,2022-11-08T18:28:43Z,3899774241,56,Back,3899774243,140,40.2,3899774249,213,2.6,3899774251,279,S,3903803021,178,,3899774247,212,12.2,3899774245,141,58.7,,,,433k61rvy0ay7lcsyxd918r8p,A. Yakubu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482548461,4,1,1,0,2,cgvbluoerzbzcr7aaxge3wkcv,1,41.6,58.5,2022-11-06T15:31:43.355Z,2022-11-08T18:28:48Z,3899774483,213,4.2,3899774481,212,29.0,3899774479,141,21.9,3903803133,178,,3899774477,140,27.5,3899774475,56,Back,,,,,,,e6ztipndwfp33c6j7yebsyx91,Guga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482548485,5,1,1,0,5,cgvbluoerzbzcr7aaxge3wkcv,1,27.5,21.9,2022-11-06T15:31:46.666Z,2022-11-08T18:28:51Z,3899774639,56,Back,3899774647,213,1.8,3899774645,212,18.6,3899774641,140,24.0,3899774643,141,48.7,3903803185,178,,,,,,,,110maz3wmyhfk670un6ieloet,Josué Sá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482548619,6,1,1,0,7,cgvbluoerzbzcr7aaxge3wkcv,1,23.5,48.7,2022-11-06T15:31:48.739Z,2022-11-08T18:28:56Z,3903803271,178,,3899775399,141,73.6,3899775403,213,1.2,3899775395,56,Back,3899775397,140,30.6,3899775401,212,18.5,,,,,,,75znincjirp1z8bcw9nhztxat,Aderllan Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482548691,7,1,1,0,12,cgvbluoerzbzcr7aaxge3wkcv,1,31.7,69.1,2022-11-06T15:31:54.222Z,2022-11-08T18:29:15Z,3899775849,212,13.7,3899775851,213,4.5,3899775845,140,29.0,3899775847,141,49.4,3903803471,178,,3899775841,56,Back,,,,,,,8uxdtdynfnmlx0ro5iounze1,Patrick William,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482548827,8,1,1,0,17,cgvbluoerzbzcr7aaxge3wkcv,1,28.6,46.6,2022-11-06T15:31:58.368Z,2022-11-08T18:29:17Z,3899776571,213,1.3,3899776567,212,20.6,3899776559,140,33.5,3899776555,56,Back,3899776563,141,75.9,3903803507,178,,,,,,,,75znincjirp1z8bcw9nhztxat,Aderllan Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482548885,9,1,1,0,22,cgvbluoerzbzcr7aaxge3wkcv,1,42.9,76.6,2022-11-06T15:32:03.343Z,2022-11-08T18:29:20Z,3903803533,178,,3899776863,140,57.1,3899776869,212,19.8,3899776855,56,Left,3899776871,213,0.7,3899776867,141,95.7,,,,,,,8uxdtdynfnmlx0ro5iounze1,Patrick William,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482548995,10,1,1,0,24,cgvbluoerzbzcr7aaxge3wkcv,1,54.5,95.3,2022-11-06T15:32:05.687Z,2022-11-08T18:29:24Z,3903803575,178,,3899777333,141,76.7,3899777341,213,3.6,3899777331,140,31.8,3899777329,56,Back,3899777337,212,27.0,,,,,,,2rw2a005v9ehuopm1hf87uvah,Paulo Vitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482549145,11,1,1,0,31,cgvbluoerzbzcr7aaxge3wkcv,1,32.6,74.4,2022-11-06T15:32:13.141Z,2022-11-08T18:29:27Z,3903803601,178,,3899778273,56,Back,3899778281,213,0.8,3899778279,212,18.0,3899778277,141,93.5,3899778275,140,44.5,,,,,,,8uxdtdynfnmlx0ro5iounze1,Patrick William,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482549189,12,1,1,0,34,cgvbluoerzbzcr7aaxge3wkcv,1,43.9,92.1,2022-11-06T15:32:15.621Z,2022-11-08T18:29:30Z,3899778577,141,84.7,3899778575,140,30.2,3903803639,178,,3899778581,212,15.2,3899778573,56,Back,3899778583,213,3.5,,,,,,,e6ztipndwfp33c6j7yebsyx91,Guga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
