id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/8/value,assist,qualifier/9/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/17/value
2533182821,1,34,16,0,0,8gvg1ranyf93hprfkwx3ofl2y,1,0,0,2023-04-14T18:50:40.124Z,2023-04-14T19:17:22Z,4187941531,194,7bizatqq8lesywgb68x9cizmd,4187941521,30,"e2nsy4zv5hw9x13mp604tr8ix, d30uqfrs7mqb6jnj99qgyr28k, 9avbe1i215rk0o2j16iq0u2nd, 2cs8bo4l70gbkudh3gqazb105, 5desb812yn2icc8d2lew7lu22, 3x1y10rgm8bbu3zgef74b05ck, 7bizatqq8lesywgb68x9cizmd, 1qcf5gb8wf8f4tu94xh96yqy, 35csuq89nc1zgpc4j2mdav6jt, 53sq02gs09i7chjvx2zfwdaz9, 1ziaf8ivlizetjhinr9ua6uax, ay10c4r23f0tlyuqytje0ack4, 2456sb5oj15equsuu5npj43my, 4tyjzyixiz32zfs37qs4u6ve2, bz64q1gkwqtlc749oqqqzm5wq, 3yolt0tc40fjqupa2ea4epka1, evwzikhqpwulci3y20ckeoc15, 5v0u2ywgoy4gqlp1ylcn8e238, 1899balq50r7vbqqf8qwjlxpl, bgcphqeckm71jpbnzjivrnug9",4187941525,59,"63, 2, 72, 21, 83, 24, 10, 80, 9, 7, 11, 5, 8, 20, 23, 25, 33, 56, 90, 98",4187941527,130,4,4187941533,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4187941523,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4188075381,197,18984,4187941529,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533183289,1,34,16,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,0,0,2023-04-14T18:51:17.119Z,2023-04-14T19:19:05Z,4187943941,59,"31, 6, 74, 97, 15, 13, 23, 28, 29, 7, 10, 1, 2, 5, 8, 12, 20, 32, 70, 77",4187943945,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4187943939,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4187943937,30,"6ddxujeb3873j5evwiz8n4wt0, ck3l6a262hves3v6nywarx9pm, d98j4asio4xrxcwmfg1ak95yi, 1u9sn1cu0pq16mina2q6d6dwp, 1zteujk5u3rpr028priato4bt, 17e9rercxaanx9ltwmoph9n56, 9g834yhraytmjoxb15098ey95, e0k7beubxdswouhw13td0nlk9, 5fcx7aiflhvguztjw8mp53b9x, dh4byuuh5mlyp147iq8cyunkl, arpoe2kjx9pbacgpuv17yl33d, 9hqhder3adhjjovepuv4yst79, zj7p9urhzbk3naybai223js9, bxfalki1fmd687uj0b8e0m0np, 6jkfecnicg5ilzy44x7ld7u1h, 48li2iey0m9b8h8cvs6py2iy2, 76w964mdux2s3max2nlih6az8, 6vvg5on86k2ldhs4pn2kua0vd, 4owddsmmbkkv0vbcj0fz0hlud, bvlwv6fwawqnv446zj516y4no",4188063283,197,6595,4187943947,194,1zteujk5u3rpr028priato4bt,4187943943,130,8,4187943949,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533208349,2,32,1,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,0,0,2023-04-14T19:17:44.164Z,2023-04-15T00:45:57Z,4188077853,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533208333,2,32,1,0,0,8gvg1ranyf93hprfkwx3ofl2y,1,0,0,2023-04-14T19:17:44.164Z,2023-04-14T21:19:12Z,4188077769,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533208437,3,1,1,0,0,8gvg1ranyf93hprfkwx3ofl2y,1,49.9,49.9,2023-04-14T19:17:44.264Z,2023-04-15T00:48:28Z,4188078299,141,53.1,4188078297,140,34.8,4188078305,213,3.0,4188078301,212,16.0,4188688045,189,,4188078295,56,Back,4188078307,279,S,,,,2cs8bo4l70gbkudh3gqazb105,André André,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533208547,4,1,1,0,3,8gvg1ranyf93hprfkwx3ofl2y,0,35.1,48.7,2023-04-14T19:17:47.600Z,2023-04-14T20:12:32Z,4188078873,141,26.7,4188078867,155,,4188078879,1,,4188078871,140,92.7,4188078877,213,6.0,4188078869,56,Center,4188078875,212,62.3,,,,1qcf5gb8wf8f4tu94xh96yqy,Dani Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533208557,3,52,1,0,7,5c0sf1eaipcxvdw9o22of2jdp,1,4.3,71.2,2023-04-14T19:17:51.696Z,2023-04-15T00:48:46Z,4188688363,377,,,,,,,,,,,,,,,,,,,,,,,6ddxujeb3873j5evwiz8n4wt0,Luíz Júnior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533208767,4,1,1,0,9,5c0sf1eaipcxvdw9o22of2jdp,1,7.4,63.1,2023-04-14T19:17:53.422Z,2023-04-14T19:18:00Z,4188080047,140,9.1,4188080041,123,,4188080045,56,Back,4188080053,213,4.8,4188080049,141,35.8,4188080051,212,18.6,,,,,,,6ddxujeb3873j5evwiz8n4wt0,Luíz Júnior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533208847,5,1,1,0,16,5c0sf1eaipcxvdw9o22of2jdp,1,22.2,30.1,2023-04-14T19:18:00.574Z,2023-04-14T19:18:04Z,4188080525,212,15.3,4188080519,140,25.7,4188080521,141,51.9,4188080529,213,1.3,4188080515,56,Back,,,,,,,,,,1zteujk5u3rpr028priato4bt,Riccieli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533208891,6,1,1,0,20,5c0sf1eaipcxvdw9o22of2jdp,1,27.9,56.1,2023-04-14T19:18:04.638Z,2023-04-14T19:18:06Z,4188080749,141,43.0,4188080751,212,9.0,4188080745,56,Back,4188080753,213,4.9,4188080747,140,29.1,,,,,,,,,,1u9sn1cu0pq16mina2q6d6dwp,S. Colombatto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533208957,7,1,1,0,22,5c0sf1eaipcxvdw9o22of2jdp,1,29.3,44.8,2023-04-14T19:18:06.478Z,2023-04-14T19:18:09Z,4188081083,213,1.8,4188081081,212,22.7,4188081071,140,24.8,4188081077,141,77.5,4188081063,56,Back,,,,,,,,,,e0k7beubxdswouhw13td0nlk9,Z. Youssouf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
