id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/11/value,qualifier/14/value,qualifier/15/value,qualifier/9/value,qualifier/10/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2497736829,1,34,16,0,0,dich5v7sw466smbqap0d9rbyj,1,0,0,2023-01-15T14:46:51.270Z,2023-01-15T15:27:38Z,3979842115,59,"12, 28, 6, 5, 13, 3, 2, 23, 15, 10, 11, 25, 18, 8, 9, 14, 17, 20, 44, 92",3979842123,197,1822,3979842121,194,8zt0zlypar7m1eqj4zu8ul695,3979842119,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979842117,130,8,3979842125,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979842113,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3979842111,30,"25n2vrjnz5qsm5pigyn3ps8vd, djb8j3hb7mnnghg9jmd15w0r9, ds66cc3zwxbyl5zfzag5422g9, 7nrjutc015x9nupdcl4hj3l5h, 8zt0zlypar7m1eqj4zu8ul695, 1ni0afs55daxlb5ocaqb2o8vd, 9l70xwbhc0xr57iifzyxzot7t, 1doj252anzqdzn5fknqr5i31l, bzt6oj1d4d2x3qez55hlvzpwp, 3w3z6g8x70ii3pltaxyxbycwl, dh3ddfghtgeb2iu2608y96i5m, avrafbh1kctz4io6h1fthedih, eswp4t4r8ktirsnkodz26gyui, c0pat4dqmsc4teand5ampsdlh, 4effb0zguv2lqtv2vl9lqb696, 1nqpxso2a9qw8w8g6u4sb60ut, 1swp008ttj3pd57fz5uw8mctm, 79ir6aubulzanvonfbgngk5hx, 43mnaysq76cz587wxk8w3job9, 3mp7wghcalu9g3wxbqb9eqga",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497736887,1,34,16,0,0,alyavx3ad35bp1xuwmqk7sgev,1,0,0,2023-01-15T14:46:54.784Z,2023-01-15T15:38:00Z,3979842447,197,2933,3979842449,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979842445,194,2b4soa2ddbbmdwm0ur760jh05,3979842437,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",3979842441,130,8,3979842439,59,"1, 2, 5, 10, 19, 3, 7, 40, 20, 21, 17, 12, 16, 26, 30, 44, 47, 70, 73",3979842435,30,"1tkq6knbo350vy0o8aieijmxh, 59ly8uun0sl324s7rtlmp6ac, cmxmyld8l4gjy03zxskyxf5gq, 2b4soa2ddbbmdwm0ur760jh05, z6po5y26nap863d68tcekhqt, 2nod7tpovdjb85efh2sogijth, bfy36wqp37utkkbl13k7s99m1, brdhlpiyg3nk936bqe50bqx1x, 7r96u3b7t46s0kg5t5qew3tnt, 1rdadi8uuu161wj8o7gbcn8wl, 47z2phkn1i9z8p32zqlu53j6x, c9lykzcr3q7hr50ui74iqastm, 1w926qtyntprx5ommoaa5nhed, 8hyaww1d0p9871u8o8zk8f9at, avugx69mdi4p8c25p9fetmq22, 530nhsyjmbwcpb8536pgwbld5, 63u6t8h9cls93p7oglb8l242c, et4mglw8d0mwweghd2hmzz9jo, 361pxz5e33ydl2c3t63a9kzc9",3979842443,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497772147,2,32,1,0,0,alyavx3ad35bp1xuwmqk7sgev,1,0,0,2023-01-15T15:33:00.568Z,2023-01-17T23:27:29Z,3980036495,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497772137,2,32,1,0,0,dich5v7sw466smbqap0d9rbyj,1,0,0,2023-01-15T15:33:00.568Z,2023-01-15T15:33:02Z,3980036433,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497772161,3,1,1,0,0,dich5v7sw466smbqap0d9rbyj,1,49.6,49.5,2023-01-15T15:33:00.600Z,2023-01-18T02:56:13Z,3980036563,279,S,3980036561,213,3.0,3982621219,178,,3980036553,56,Back,3980036559,212,15.8,3980036557,141,53.4,3980036555,140,34.8,,,,9l70xwbhc0xr57iifzyxzot7t,M. Sylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497772285,4,1,1,0,4,dich5v7sw466smbqap0d9rbyj,0,31.3,57.8,2023-01-15T15:33:04.682Z,2023-01-18T02:56:17Z,3980037271,1,,3982621227,178,,3980037259,155,,3980037265,141,0.0,3980037269,213,5.5,3980037267,212,56.2,3980037263,140,68.7,3980037261,56,Right,1ni0afs55daxlb5ocaqb2o8vd,J. Opoku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497772437,3,5,1,0,9,alyavx3ad35bp1xuwmqk7sgev,1,26.2,101.2,2023-01-15T15:33:10.295Z,2023-01-18T03:10:20Z,3980038069,347,,3980038067,56,Back,3980038071,233,5,,,,,,,,,,,,,,,,cmxmyld8l4gjy03zxskyxf5gq,Bruno Langa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497772289,5,5,1,0,9,dich5v7sw466smbqap0d9rbyj,0,73.8,-1.2,2023-01-15T15:33:10.295Z,2023-01-18T03:10:19Z,3980037293,56,Right,3980038077,233,3,3980037295,347,,,,,,,,,,,,,,,,,1ni0afs55daxlb5ocaqb2o8vd,J. Opoku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497772493,4,1,1,0,20,alyavx3ad35bp1xuwmqk7sgev,0,23.6,100,2023-01-15T15:33:21.218Z,2023-01-18T03:10:23Z,3980038353,1,,3980038347,141,83.5,3980038349,212,38.0,3980038345,140,57.8,3980038351,213,5.9,3980038341,107,,3980038343,56,Left,,,,cmxmyld8l4gjy03zxskyxf5gq,Bruno Langa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497772549,5,43,1,0,21,alyavx3ad35bp1xuwmqk7sgev,1,0,0,2023-01-15T15:33:21.692Z,2023-01-17T10:09:31Z,3982035543,144,61,3980038611,56,Back,,,,,,,,,,,,,,,,,,,7r96u3b7t46s0kg5t5qew3tnt,Juninho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
