id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,keyPass,qualifier/10/value,qualifier/12/value,qualifier/9/value,qualifier/13/value,qualifier/11/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2454469939,1,34,16,0,0,9ldqu49smv1xg2va0n2cy28zl,1,0,0,2022-09-02T17:02:04.667Z,2022-09-02T18:01:28Z,3750828929,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3750828923,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3750828933,197,368,3750828931,194,x32fbvwwxkda9ruezw67b3dh,3750828925,59,"99, 2, 3, 61, 66, 30, 7, 13, 88, 27, 20, 6, 8, 17, 22, 23, 33, 39, 55, 77",3750828927,130,8,3750828935,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3750828921,30,"7jtc6yk5xu4cm1an97wrgozbp, 7qwzed85qna21zisvvatrjlxx, 12f4mz064elnxecq2srl7r6j9, 5t952swvuoed4pdwgbi4yjhex, 2p86mzr8qnu9iy01fusvovf56, x32fbvwwxkda9ruezw67b3dh, 7pi4j76iy3cfh0bfkxf9x8ell, 1zxwich342p8fholev7ddkwh6, 9v4l7ic3ve6d22c0gs9p1oe3u, 37ao6cj3w5pd5v5ap79fqlxw5, fvuj5umkjxxb1btu6004xjh1, 9j0v9bomstpbku7nnmqp8n7c9, 4dh4ws8ehn6uywozt6ygczs2d, e81dfbtza1g8v3lozf39x3f85, yzee990gbkpl00qdgr6h3r2t, 18mddnpa54ygoaefaj0c5obf9, bxcpii8qeyw2duignml45sc15, 8uj1pf52hctbd2uxjz4s4tnxm, ey0bk9dlqjwsc1aserql73aei, b2f67gkfb59hda2vka59e7qol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454471213,1,34,16,0,0,7fn0aazbc8nx0u040aulozds1,1,0,0,2022-09-02T17:04:26.389Z,2022-09-02T18:01:33Z,3750968099,197,3241,3750835503,59,"97, 82, 24, 8, 3, 5, 19, 20, 9, 10, 79, 4, 6, 13, 14, 17, 22, 23, 29, 70",3750835509,194,chy52wzncc8ulmer9z2rebit,3750835511,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3750835507,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3750835501,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3750835505,130,4,3750835499,30,"9uc54rlxmahbfppv97zi81yhh, 8bcfmmsjnman2nsp2t9rsrvxm, chy52wzncc8ulmer9z2rebit, de1nmkgahbsrky75itebiitp1, 2amti8wga8jpons4mizksjd1x, 8f8lbg182g5jwnqbj1zgjbljp, eblsjvbkd7vws1qpx7td1eacp, 575pl0igxsevhmf6nfmjwwyxh, 2u7fm04v2xzqso4rubkrvjcru, hrr3761wvgn1ayhsrrz4rf11, bljvhirrui29i12tysjdtmnd, 10mmhviatbpx75fslh68s25lh, 3ynj76lod24r597rmhshxczpx, 4wces11j8ejvbpz1zqd94b7fu, 7m2za4jynw9fdc2ax1455ibpx, 2gek3shxyc91h8bth9q8opyei, 9xk50bv3qlja26r1ecary1y3t, 9pi6sf9sdni4dn6db7rej0r85, 77e2c0nv7hbmmo2uppdx4i7zd, adsrfhfo35n0tctahgcyqugru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454497199,2,32,1,0,0,9ldqu49smv1xg2va0n2cy28zl,1,0,0,2022-09-02T18:01:13.256Z,2022-09-19T09:05:28Z,3750972995,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454497187,2,32,1,0,0,7fn0aazbc8nx0u040aulozds1,1,0,0,2022-09-02T18:01:13.256Z,2022-09-02T18:01:13Z,3750972933,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454497237,3,1,1,0,0,7fn0aazbc8nx0u040aulozds1,1,49.9,50.1,2022-09-02T18:01:13.300Z,2022-09-20T07:23:50Z,3750973139,141,54.6,3794413725,178,,3750973143,213,2.8,3750973141,212,8.7,3750973135,56,Back,3750973145,279,S,3750973137,140,42.1,,,,575pl0igxsevhmf6nfmjwwyxh,Samú,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454497261,4,1,1,0,2,7fn0aazbc8nx0u040aulozds1,1,42.1,54.6,2022-09-02T18:01:15.817Z,2022-09-20T07:24:02Z,3750973279,140,29.2,3750973283,212,30.4,3750973281,141,14.6,3750973277,56,Back,3794413891,178,,3750973285,213,4.3,,,,,,,de1nmkgahbsrky75itebiitp1,Raphael Guzzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454497289,5,1,1,0,7,7fn0aazbc8nx0u040aulozds1,0,29,10.1,2022-09-02T18:01:20.510Z,2022-09-20T07:24:08Z,3794413971,178,,3750973461,140,77.8,3750973467,213,6.1,3750973465,212,51.8,3750973459,56,Right,3750973457,155,,3750973469,1,,3750973463,141,0.0,2amti8wga8jpons4mizksjd1x,Bruno Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454497323,3,5,1,0,10,9ldqu49smv1xg2va0n2cy28zl,1,25.6,101.4,2022-09-02T18:01:23.694Z,2022-09-20T07:24:16Z,3750973629,347,,3750973627,56,Back,3750973721,233,6,,,,,,,,,,,,,,,,x32fbvwwxkda9ruezw67b3dh,N. Otamendi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454497291,6,5,1,0,10,7fn0aazbc8nx0u040aulozds1,0,74.4,-1.4,2022-09-02T18:01:23.694Z,2022-09-20T07:24:17Z,3750973473,347,,3750973759,233,3,3750973471,56,Right,,,,,,,,,,,,,,,,2amti8wga8jpons4mizksjd1x,Bruno Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454497415,4,1,1,0,19,9ldqu49smv1xg2va0n2cy28zl,1,18.2,100,2022-09-02T18:01:32.350Z,2022-09-20T07:24:23Z,3750974085,140,15.6,3750974087,141,81.5,3750974081,107,,3750974587,189,,3750974083,56,Back,3750974089,212,13.6,3750974091,213,4.5,,,,12f4mz064elnxecq2srl7r6j9,Álex Grimaldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
