id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value
2519200423,1,34,16,0,0,cgvbluoerzbzcr7aaxge3wkcv,1,0,0,2023-03-12T14:26:22.204Z,2023-03-12T15:33:36Z,4092891969,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4092892825,197,377,4092891967,30,"ckog922pr9vqy2ry4m7o5ag2d, degqtleco9n5tlt0yz3q5t9ii, djqbki8jap3rp8l0izzly9tzo, 110maz3wmyhfk670un6ieloet, 75znincjirp1z8bcw9nhztxat, 803s6ja43m4i9jhl97jd37s2x, 912y0yoa524suow0wvpbtwq1h, e6ztipndwfp33c6j7yebsyx91, 6fvujizi2c81rxbbble21p32t, 9kvoxdbnb5kt2dzy7kr0s7v11, 79mo2l821d5zq6dyrg9qkpf4l, 5881z0950eh6003uukdwkuql0, 8uxdtdynfnmlx0ro5iounze1, 9sfjkb99h1b1obdmedrecag9h, 55r9zkckjjq4txriw3jhguwnp, 4agmh5fbf826bjrxtg3mw5at, c38u6t2mr5f441tcuxlwpulpm, 1g46yyjzlu0vqpk3w51scv1ed, 8lahho5viagd48ufvp582453p, 2rw2a005v9ehuopm1hf87uvah",4092891971,59,"18, 20, 77, 23, 33, 42, 30, 6, 95, 21, 22, 1, 4, 8, 9, 10, 15, 17, 16, 93",4092891975,130,13,4092891983,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4092891979,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4092891981,194,e6ztipndwfp33c6j7yebsyx91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519204587,1,34,16,0,0,bwt8yfk8rkcwiwyr0mopd7wqd,1,0,0,2023-03-12T14:29:34.649Z,2023-03-12T14:29:34Z,4092914385,130,8,4092914387,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4092914389,194,1ldbn0jnfzcvj7edwlq1z4q8l,4092914383,59,"42, 15, 19, 25, 72, 26, 77, 21, 9, 10, 20, 2, 4, 7, 8, 11, 12, 14, 17, 55",4092914393,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4092914391,197,388,4092914381,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4092914379,30,"664x98r3mbynnh19u1cx984q, 4aubucuhe6ic3osisrw73xe51, asoisrxtnm0zynx35ueum4v6d, 3ipb4zd3vz7dpnkyeiw22tal1, as0t8xi6k6nl4l06g23u3jcru, 1ldbn0jnfzcvj7edwlq1z4q8l, ebaganzllbxfacvobgmsu1045, c01muomxuk015zrf9n21ztq7d, 1zf9egrh7cjofd7td62oc5tk9, rzxtat0t3okt8tikf5mvdxm2, 8qxoj7nyhu2prjl3bjfqi2ui1, 5drwrn9zmqeyo7h5zhy28mb8q, 8jncnpkifnmg84s5qysuk4y96, 1f57m5jalwzn2xwr3xqtjiy8l, 6nrvjozwk5or2v7dxkqbf9j9x, c3byjg1gw75b6wz0wz0bjwij9, 2983qoliizrxvsi9sb9c5wwoa, cdrgzx1ujljsitv7hl0je3alm, 5awvo9xetmgwxmqfisawqz90q, 10jwipbmvqza53ja0lwof9be1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519269587,2,32,1,0,0,cgvbluoerzbzcr7aaxge3wkcv,1,0,0,2023-03-12T15:30:38.676Z,2023-03-14T21:38:15Z,4093260889,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519269617,2,32,1,0,0,bwt8yfk8rkcwiwyr0mopd7wqd,1,0,0,2023-03-12T15:30:38.676Z,2023-03-12T15:30:40Z,4093261137,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519269631,3,1,1,0,0,cgvbluoerzbzcr7aaxge3wkcv,1,49.9,49.7,2023-03-12T15:30:38.752Z,2023-03-15T04:47:37Z,4093261225,279,S,4093261217,140,49.1,4093261221,212,1.7,4098743711,178,,4093261219,141,47.6,4093261215,56,Back,4093261223,213,4.2,,,,6fvujizi2c81rxbbble21p32t,André Pereira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520127225,797,1,1,0,0,cgvbluoerzbzcr7aaxge3wkcv,1,49.6,49.3,2023-03-12T15:30:39.646Z,2023-03-15T04:47:55Z,4097834271,213,2.5,4097834265,140,43.6,4097834269,212,8.0,4097834267,141,56.5,4098743895,178,,4097834263,56,Back,,,,,,,912y0yoa524suow0wvpbtwq1h,A. Samaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519269665,4,1,1,0,2,cgvbluoerzbzcr7aaxge3wkcv,1,38.6,61.7,2023-03-12T15:30:41.144Z,2023-03-15T04:47:58Z,4098743929,178,,4093261463,56,Back,4093261465,140,29.6,4093261471,213,4.3,4093261467,141,26.2,4093261469,212,25.9,,,,,,,e6ztipndwfp33c6j7yebsyx91,Guga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519269697,5,1,1,0,4,cgvbluoerzbzcr7aaxge3wkcv,1,29.6,26.2,2023-03-12T15:30:43.524Z,2023-03-15T04:48:00Z,4093261635,212,9.9,4093261637,213,0.5,4093261633,141,33.7,4098743949,178,,4093261629,56,Back,4093261631,140,37.7,,,,,,,803s6ja43m4i9jhl97jd37s2x,R. Pantalon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519269763,6,1,1,0,5,cgvbluoerzbzcr7aaxge3wkcv,1,37.7,33.7,2023-03-12T15:30:44.340Z,2023-03-15T04:48:03Z,4093262021,1,,4093262017,212,36.3,4093262019,213,2.0,4093262015,141,81.2,4098743987,178,,4093262011,56,Back,4093262013,140,22.0,,,,912y0yoa524suow0wvpbtwq1h,A. Samaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519269857,7,1,1,0,10,cgvbluoerzbzcr7aaxge3wkcv,1,21.9,74.8,2023-03-12T15:30:49.474Z,2023-03-15T04:48:06Z,4093262521,56,Back,4093262523,140,19.4,4098744001,178,,4093262527,212,17.3,4093262529,213,4.6,4093262525,141,49.6,,,,,,,110maz3wmyhfk670un6ieloet,Josué Sá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
