id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2455898673,1,34,16,0,0,cmbqc74mshg77ra7mywec2a6b,1,0,0,2022-09-04T16:01:37.064Z,2022-09-04T17:04:04Z,3758393371,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3758393365,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3758393373,194,5zbaigi2kpo930z50irfq11p1,3758393367,59,"99, 95, 3, 16, 43, 4, 49, 80, 39, 20, 37, 32, 1, 7, 8, 9, 10, 17, 21, 35",3758629091,197,13168,3758393363,30,"90v8e01hdffgqom4pwhjl0mvp, 4bsxzg78o3q9ot7bdngx9k5at, e7daok5mn6xq7q5sfi5r13105, 5zbaigi2kpo930z50irfq11p1, 7tih9jkxsbmeycu610gshs0h6, aw1gqkqpznn5ku7ca9hy2skix, 2r6ma23qtyq2l18m21eksjp7u, d7k81mlt4vh9lex8fd10tigh5, 4flr4t07s463ioooy31ov8fs9, 5k74ofoqel095frhszvdmxbhm, 17zcm8ikgfdl5o4c7o5yhulpm, fkx4v1ux771bqn2g9bn3340k, 8lksmpg3qh7q3m54gwwrj7xlh, 36zf6j90b94qls6y50c1xgi51, 61g2iu3hmixel62zp2yp29tqt, 35y61220qzlyedki00vfmioyx, 13p5v8uisuijamyc9jd6uu784, 9yzlho51tjytlzkdb6y20ozc9, caczqvr2l880frsd32nbjorxm, 649anpduq5pwrqbek73wr8n6y",3758393375,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3758393369,130,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455907981,1,34,16,0,0,7kfx3xpj2c2wxinsyi16i9gaz,1,0,0,2022-09-04T16:11:26.712Z,2022-09-04T17:02:22Z,3758444083,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3758629299,197,5642,3758444089,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3758444081,30,"3y7h2e79gvzrqor9gg854dl91, 8q4m06v3yfsq2iza942ezaxud, 57xeumfhz5h30yn1168rgljah, 8jcuunhako2i9ynmp8v3w2eax, 5i5qgzbovli6pspg01ohrfdre, 8czsihbd6817k4uzvwenqvxex, 3bysj69bufnbqx70q6ufzat49, 922dtb3ppvsgvzysfjwg86jmx, 4rfcpo4l9f8x1m0rlnwloefl6, 8inrz9rna2z5lirsorindh0b9, bojn9itaxqzymbjj6et0o0onp, a00q0qj479gzj5hymx4ix5lp0, 1c8ki3i0dz0axlnd0vauzw9d6, 757f9x11lzcug3d6sn39d85wp, cqfw0fsbxyjb7mduk2hk27e1h, 1m8chbktzw7yd9ly3ibcy4nl6, 8qn1z72et0w6bqw9mstopb7px, 17govndl49nve5d5h74bs5i0a, 68o93orxpx4ehs4dsa57521g5, epid1ty8o3zakec8nixogdg16",3758444085,59,"1, 2, 7, 94, 66, 4, 23, 16, 9, 95, 8, 3, 6, 11, 12, 17, 21, 34, 45, 80",3758444091,194,8inrz9rna2z5lirsorindh0b9,3758444093,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3758444087,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455943837,2,32,1,0,0,cmbqc74mshg77ra7mywec2a6b,1,0,0,2022-09-04T17:00:34.961Z,2022-09-06T18:44:19Z,3758641721,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455943959,2,32,1,0,0,7kfx3xpj2c2wxinsyi16i9gaz,1,0,0,2022-09-04T17:00:34.961Z,2022-09-04T17:00:45Z,3758642449,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455943877,3,1,1,0,0,cmbqc74mshg77ra7mywec2a6b,1,50,50,2022-09-04T17:00:35.041Z,2022-09-07T08:33:44Z,3763693013,178,,3758641953,212,11.0,3758641951,141,45.4,3758641947,56,Back,3758641949,140,40.0,3758641957,279,S,3758641955,213,3.4,,,,4flr4t07s463ioooy31ov8fs9,Matheus Babi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455943905,4,1,1,0,1,cmbqc74mshg77ra7mywec2a6b,1,40.3,45.2,2022-09-04T17:00:36.560Z,2022-09-07T08:33:52Z,3758642101,213,1.0,3758642095,140,58.5,3762235607,1,,3758642097,141,90.1,3763693129,178,,3758642093,56,Left,3758642091,155,,3758642099,212,36.0,d7k81mlt4vh9lex8fd10tigh5,Victor Bobsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455943919,5,44,1,0,3,cmbqc74mshg77ra7mywec2a6b,1,56.4,87.7,2022-09-04T17:00:38.711Z,2022-09-07T09:37:26Z,3758642173,56,Left,3758873351,233,389,3758642175,286,,,,,,,,,,,,,,,,,5zbaigi2kpo930z50irfq11p1,Paulo Henrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455984773,389,44,1,0,3,7kfx3xpj2c2wxinsyi16i9gaz,0,43.6,12.3,2022-09-04T17:00:38.712Z,2022-09-07T08:34:03Z,3758873329,56,Back,3758873331,285,,3758873359,233,5,,,,,,,,,,,,,,,,3bysj69bufnbqx70q6ufzat49,Bruno Xadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455943927,6,1,1,0,3,cmbqc74mshg77ra7mywec2a6b,0,55.7,84.5,2022-09-04T17:00:38.810Z,2022-09-07T09:37:26Z,3758642215,56,Left,3758642221,212,4.3,3763693457,388,,3758642217,140,58.7,3758642223,213,5.5,3758642213,3,,3758642219,141,80.2,,,,5zbaigi2kpo930z50irfq11p1,Paulo Henrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455984797,390,61,1,0,3,7kfx3xpj2c2wxinsyi16i9gaz,1,43,3.4,2022-09-04T17:00:38.880Z,2022-09-07T08:34:46Z,3758873481,56,Back,3763693731,178,,3763693729,15,,,,,,,,,,,,,,,,,3bysj69bufnbqx70q6ufzat49,Bruno Xadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
