id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2507037681,1,34,16,0,0,bwt8yfk8rkcwiwyr0mopd7wqd,1,0,0,2023-02-12T14:36:27.792Z,2023-02-12T15:34:16Z,4028789419,197,388,4028562513,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4028562515,59,"1, 15, 19, 8, 72, 26, 77, 25, 9, 10, 30, 11, 14, 2, 4, 7, 13, 17, 20, 42",4028562517,130,4,4028562511,30,"30bhky4x90yqfyzhsawfz6pcl, 4aubucuhe6ic3osisrw73xe51, asoisrxtnm0zynx35ueum4v6d, 6nrvjozwk5or2v7dxkqbf9j9x, as0t8xi6k6nl4l06g23u3jcru, 1ldbn0jnfzcvj7edwlq1z4q8l, ebaganzllbxfacvobgmsu1045, 3ipb4zd3vz7dpnkyeiw22tal1, 1zf9egrh7cjofd7td62oc5tk9, rzxtat0t3okt8tikf5mvdxm2, es6pjawg9rq2io8hjxf0rqaxh, c3byjg1gw75b6wz0wz0bjwij9, cdrgzx1ujljsitv7hl0je3alm, 5drwrn9zmqeyo7h5zhy28mb8q, 8jncnpkifnmg84s5qysuk4y96, 1f57m5jalwzn2xwr3xqtjiy8l, 4cbaoo2irqtme9goxuz6s3ey2, 5awvo9xetmgwxmqfisawqz90q, 8qxoj7nyhu2prjl3bjfqi2ui1, 664x98r3mbynnh19u1cx984q",4028562519,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4028562523,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4028562521,194,1ldbn0jnfzcvj7edwlq1z4q8l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507039823,1,34,16,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,0,0,2023-02-12T14:38:43.968Z,2023-02-12T15:33:53Z,4028574163,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4028574173,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4028574169,194,1zteujk5u3rpr028priato4bt,4028574151,30,"6ddxujeb3873j5evwiz8n4wt0, ck3l6a262hves3v6nywarx9pm, d98j4asio4xrxcwmfg1ak95yi, 1u9sn1cu0pq16mina2q6d6dwp, 1zteujk5u3rpr028priato4bt, 4ofpb9y2fqqr3d5cdfbl05c6h, dh4byuuh5mlyp147iq8cyunkl, e0k7beubxdswouhw13td0nlk9, 5fcx7aiflhvguztjw8mp53b9x, arpoe2kjx9pbacgpuv17yl33d, 9g834yhraytmjoxb15098ey95, 9hqhder3adhjjovepuv4yst79, bxfalki1fmd687uj0b8e0m0np, 6jkfecnicg5ilzy44x7ld7u1h, 9wek84cn7z0ou46623nlo876y, 76w964mdux2s3max2nlih6az8, 1whf50hjb4jhz9119qvtdov6d, 6vvg5on86k2ldhs4pn2kua0vd, 4owddsmmbkkv0vbcj0fz0hlud, bvlwv6fwawqnv446zj516y4no",4028824761,197,6595,4028574157,130,8,4028574155,59,"31, 6, 74, 97, 15, 4, 7, 28, 29, 10, 23, 1, 5, 8, 9, 20, 25, 32, 70, 77",4028574153,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507084573,2,32,1,0,0,bwt8yfk8rkcwiwyr0mopd7wqd,1,0,0,2023-02-12T15:31:36.108Z,2023-02-12T15:31:38Z,4028811879,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507084569,2,32,1,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,0,0,2023-02-12T15:31:36.108Z,2023-02-15T00:38:38Z,4028811853,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507084623,3,1,1,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,51.1,50.9,2023-02-12T15:31:36.137Z,2023-02-15T11:57:40Z,4028812181,213,3.0,4028812177,141,54.8,4028812175,140,37.6,4028812183,279,S,4028812173,56,Back,4028812179,212,14.4,4033576859,178,,,,,5fcx7aiflhvguztjw8mp53b9x,J. Cádiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507084649,4,1,1,0,2,5c0sf1eaipcxvdw9o22of2jdp,1,38.7,57.9,2023-02-12T15:31:38.144Z,2023-02-15T11:57:47Z,4033577449,178,,4028812339,213,2.1,4028812333,140,32.9,4028812335,141,73.0,4028812337,212,11.9,4028812331,56,Back,,,,,,,1u9sn1cu0pq16mina2q6d6dwp,S. Colombatto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507084681,5,1,1,0,4,5c0sf1eaipcxvdw9o22of2jdp,1,33,72.8,2023-02-12T15:31:40.754Z,2023-02-15T11:57:52Z,4033577629,178,,4028812539,213,4.5,4028812537,212,19.2,4028812531,56,Back,4028812535,141,45.2,4028812533,140,29.1,,,,,,,4ofpb9y2fqqr3d5cdfbl05c6h,E. Mihaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507084717,6,1,1,0,7,5c0sf1eaipcxvdw9o22of2jdp,1,27.1,49.1,2023-02-12T15:31:43.506Z,2023-02-15T11:57:56Z,4033577743,178,,4028812749,213,1.6,4028812745,141,80.0,4028812743,140,26.4,4028812741,56,Back,4028812747,212,21.0,,,,,,,1zteujk5u3rpr028priato4bt,Riccieli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507084767,7,1,1,0,10,5c0sf1eaipcxvdw9o22of2jdp,1,25.6,79.7,2023-02-12T15:31:46.613Z,2023-02-15T11:57:59Z,4028812983,141,53.0,4028812985,212,28.9,4028812981,140,4.2,4028812987,213,3.8,4028812979,56,Back,4033577891,178,,,,,,,,4ofpb9y2fqqr3d5cdfbl05c6h,E. Mihaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507084799,8,1,1,0,13,5c0sf1eaipcxvdw9o22of2jdp,1,6,50.4,2023-02-12T15:31:49.625Z,2023-02-15T11:58:03Z,4028813193,56,Back,4028813195,140,13.5,4028813197,141,32.1,4028813199,212,14.7,4033578031,178,,4028813203,213,5.3,,,,,,,6ddxujeb3873j5evwiz8n4wt0,Luíz Júnior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507084821,9,1,1,0,16,5c0sf1eaipcxvdw9o22of2jdp,1,10.3,23.9,2023-02-12T15:31:52.326Z,2023-02-15T11:58:06Z,4033578095,178,,4028813379,141,5.0,4028813381,212,20.4,4028813377,140,25.4,4028813375,56,Back,4028813383,213,5.6,,,,,,,ck3l6a262hves3v6nywarx9pm,Alexandre Penetra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507084925,10,1,1,0,18,5c0sf1eaipcxvdw9o22of2jdp,1,25.6,7,2023-02-12T15:31:55.107Z,2023-02-15T11:58:10Z,4028814087,141,12.8,4028814093,212,4.7,4028814085,140,23.1,4028814083,56,Back,4028814097,213,2.2,4033578227,178,,,,,,,,9g834yhraytmjoxb15098ey95,A. Dobre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507084955,11,3,1,0,23,5c0sf1eaipcxvdw9o22of2jdp,0,25.6,4.8,2023-02-12T15:31:59.656Z,2023-02-15T11:58:25Z,4033578727,178,,4032061777,464,,4028814231,56,Back,4028814319,233,3,4028814233,285,,,,,,,,,,,e0k7beubxdswouhw13td0nlk9,Z. Youssouf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507084931,3,7,1,0,23,bwt8yfk8rkcwiwyr0mopd7wqd,1,74.4,95.2,2023-02-12T15:31:59.766Z,2023-02-15T11:58:31Z,4033578881,178,,4028814137,56,Left,4028814291,233,11,4028814139,286,,4032061913,383,,,,,,,,,,,es6pjawg9rq2io8hjxf0rqaxh,A. Alipourghara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507084949,4,49,1,0,25,bwt8yfk8rkcwiwyr0mopd7wqd,1,83.4,92,2023-02-12T15:32:01.240Z,2023-02-15T11:58:36Z,,,,,,,,,,,,,,,,,,,,,,,,,es6pjawg9rq2io8hjxf0rqaxh,A. Alipourghara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
