id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId
2497461683,1,34,16,0,0,26t6lvlpql4w5wu1ih73qpy36,1,0,0,2023-01-14T19:33:07.573Z,2023-01-14T20:32:39Z,3978392395,130,2,3978392389,30,"5nlzolv5bg03eiopba58rs251, 1wtikted5kmtz3bpu17enlvc9, c8s3kzk7jpdpp5ctzqkzh9vit, 8gkc9l566rjg7nifxwsq5vdud, 8t404ou7dw8vprk9h7jjuqjt, 51rs6ozeux61yyjfk9ci86311, 5kcytruttikppbpkeg9rhd4gl, 5r7q0eg6pmoq0safxa9tnm5l, cnriqwh17pqgz7p2gt74uar6c, e5xv1rmy69kwuxjxin653ojqh, 5l9ilx0kwbny81lykqksoz9w5, 2apqk2zobhs8ypnaw0bzkch9m, 33qmom9yrc1ft1cte9qju1djp, c3pxiexbciif7uu845ivx5hhx, 23d0t7gqlra3jkskn18bh752i, 43xutn1unln5o3gwx3cl4lo0l, csvbc0k1f54418nn8pjhg8ull, 4ocmdia4dhnz2jdxr3n8sf8r8, 1l93qv71yu7ohs9ida8cx2zqi, 5bo84b7398nyv87ztwd8wxh3p",3978392401,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3978481093,197,372,3978392393,59,"1, 2, 6, 8, 3, 15, 45, 19, 99, 9, 21, 7, 10, 12, 14, 23, 26, 71, 24, 88",3978392391,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3978392397,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3978392399,194,5l9ilx0kwbny81lykqksoz9w5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497462385,1,34,16,0,0,3b4nxgvmwzstmoq6borytkwx1,1,0,0,2023-01-14T19:35:34.312Z,2023-01-14T21:09:00Z,3978396083,194,ekjpc2tvdk5jtiamtufdqkr85,3978396075,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3978396073,30,"ekjpc2tvdk5jtiamtufdqkr85, 4a4kjygjq5el2ylh7k660lul0, 7aak50ydu8nrfxd9qndeygnpw, 47wasen155qbiu6pmyp3dowr9, 3weuuu2vlyod9x7gnk2v9r1ed, c406oul95r3jvmbebcge5oz4l, aissbbcnwyr06fhgfamxo9j2t, eyllkbdemtx2seh48r9l3czbp, rm1d0hp2iwsne1hbfgq0oa21, 6w3iuh0f11tbwr037i7qb031m, 4ax49niuix9tiqdv05y3vbdn9, 6n9p8xqhlgz0qfi39rojaxst0, 5za437wrlqizff74n6uqodpzp, 3batawbh7y4sjkeo4hn34svzd, 6a34imgccsbw4zysasuziuad, 96tuk7bpr043jh2obpegcgd4a, 1a1cur7ima2n6hxas3fqlplhw, 57pi7l4h7g2jydmkc5vl6vkr9, 6ylhhspjzxqrbqj4yq35hwkr8, 5bpx24iyhlarqkmg09pm27lgq",3978485595,197,1519,3978396077,59,"1, 79, 70, 24, 23, 26, 8, 42, 11, 6, 19, 4, 7, 9, 12, 13, 16, 21, 59, 77",3978396087,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3978396079,130,7,3978396081,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497482499,2,32,1,0,0,3b4nxgvmwzstmoq6borytkwx1,1,0,0,2023-01-14T20:31:46.549Z,2023-01-14T20:31:49Z,3978493633,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497482495,2,32,1,0,0,26t6lvlpql4w5wu1ih73qpy36,1,0,0,2023-01-14T20:31:46.549Z,2023-01-16T10:37:02Z,3978493625,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497482521,3,1,1,0,0,26t6lvlpql4w5wu1ih73qpy36,1,49.9,50,2023-01-14T20:31:46.564Z,2023-01-16T13:27:34Z,3978493793,141,54.2,3978493789,56,Back,3981294345,178,,3978493795,212,12.0,3978493799,279,S,3978493797,213,2.9,3978493791,140,38.8,,,,cnriqwh17pqgz7p2gt74uar6c,Vítinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497482533,4,1,1,0,2,26t6lvlpql4w5wu1ih73qpy36,1,38.8,54.2,2023-01-14T20:31:48.597Z,2023-01-16T13:27:48Z,3978493855,212,35.0,3978493853,141,2.9,3981294505,178,,3978493857,213,4.8,3978493849,56,Back,3978493851,140,42.0,3978493859,1,,,,,5r7q0eg6pmoq0safxa9tnm5l,U. Račić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497482551,5,1,1,0,4,26t6lvlpql4w5wu1ih73qpy36,1,42.4,4.2,2023-01-14T20:31:51.219Z,2023-01-16T13:27:57Z,3978493965,141,12.8,3978493963,140,41.3,3978493967,212,6.0,3978493961,56,Back,3981294625,178,,3978493969,213,1.8,,,,,,,1wtikted5kmtz3bpu17enlvc9,Víctor Gómez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497483257,32,1,1,0,6,26t6lvlpql4w5wu1ih73qpy36,1,40.9,10.4,2023-01-14T20:31:52.995Z,2023-01-16T13:28:02Z,3978498705,56,Back,3978498711,212,18.0,3978498713,213,2.5,3978498707,140,27.5,3981294699,178,,3978498709,141,26.8,,,,,,,5kcytruttikppbpkeg9rhd4gl,Iuri Medeiros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497482581,6,1,1,0,9,26t6lvlpql4w5wu1ih73qpy36,1,30.4,37.3,2023-01-14T20:31:56.155Z,2023-01-16T13:28:06Z,3981294811,178,,3978494139,213,1.7,3978494131,56,Back,3978494137,212,22.6,3978494133,140,28.5,3978494135,141,70.4,,,,,,,8t404ou7dw8vprk9h7jjuqjt,Vítor Tormena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497482605,7,1,1,0,12,26t6lvlpql4w5wu1ih73qpy36,1,28.4,67.1,2023-01-14T20:31:58.952Z,2023-01-16T13:28:10Z,3978494251,56,Back,3978494257,212,29.1,3981294899,178,,3978494259,213,5.2,3978494255,141,28.4,3978494253,140,40.2,,,,,,,51rs6ozeux61yyjfk9ci86311,Paulo Oliveira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
