id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/10/value,qualifier/13/value,qualifier/14/value,assist,qualifier/17/value
2493779845,9,61,1,0,14,dich5v7sw466smbqap0d9rbyj,0,43.3,18.3,2022-12-28T21:16:24.015Z,2022-12-30T13:33:34Z,3960564187,388,,3958983295,56,Back,,,,,,,,,,,,,,,,,,,3w3z6g8x70ii3pltaxyxbycwl,A. Ruiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493779823,3,49,1,0,15,66bsnl0zjb7l5akwo00h0y5me,1,47.6,81.6,2022-12-28T21:16:25.407Z,2022-12-30T13:33:40Z,,,,,,,,,,,,,,,,,,,,,,,,,av5ng2yhu8q1lqacekmxci0ut,Wendell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493779837,4,1,1,0,15,66bsnl0zjb7l5akwo00h0y5me,1,47.6,81.6,2022-12-28T21:16:25.446Z,2022-12-30T13:33:45Z,3958983239,56,Center,3958983247,213,5.6,3960564337,178,,3958983245,212,26.9,3958983243,141,57.9,3958983241,140,68.1,,,,,,,av5ng2yhu8q1lqacekmxci0ut,Wendell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493779855,5,1,1,0,17,66bsnl0zjb7l5akwo00h0y5me,1,68.1,57.9,2022-12-28T21:16:27.716Z,2022-12-30T13:34:06Z,3958983331,140,83.0,3960564447,178,,3958983335,212,17.1,3958983333,141,68.0,3958983809,210,15,3958983337,213,0.4,3958983329,56,Center,,,,97vuoqg0x9nx56dmd9u5e12hh,M. Taremi,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493779859,6,15,1,0,20,66bsnl0zjb7l5akwo00h0y5me,1,86.3,65.3,2022-12-28T21:16:30.522Z,2022-12-30T13:34:06Z,3958983355,64,,3958983827,103,10.8,3958983353,22,,3958983831,147,54.2,3958983817,80,,3958983825,102,47.0,3958983357,56,Center,3958983829,146,96.7,8ut3v3ezaj8th41g2kqhhhd9m,Gabriel Veron,,3958983847,233,10,3958983577,20,3960564603,178,3958983821,55,5,3958983819,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493779873,10,10,1,0,21,dich5v7sw466smbqap0d9rbyj,1,3.8,46,2022-12-28T21:16:31.170Z,2022-12-30T13:34:10Z,3958983859,233,6,3959370287,377,,3958983613,179,,3958983421,182,,3958983423,56,Back,3958983611,174,,,,,,,,25n2vrjnz5qsm5pigyn3ps8vd,I. De Arruabarrena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493779879,7,16,1,0,23,66bsnl0zjb7l5akwo00h0y5me,1,90.2,43.5,2022-12-28T21:16:33.745Z,2022-12-30T13:34:26Z,3958985163,458,,3958985157,102,46.5,3958984061,374,2022-12-28 21:16:31.767,3958985173,281,8ut3v3ezaj8th41g2kqhhhd9m,3959370297,395,2.2,3958985155,81,,3959370295,114,,3958985171,280,ATTEMPT_SAVED,8y0e1y90ih393h7zv7srfot79,Otávio,,3958985389,214,,3958985159,103,3958985161,328,3960564897,178,,3959370299,396,21.5,52.5,3958983483,22,3958985165,136,3958985175,282,201,3958985167,230,95.2,3958984051,20,3958983487,56,Center,3958984065,375,00:21.941,3958985169,231,49.8,3958983485,17,,,,,
2493780249,11,1,1,1,28,dich5v7sw466smbqap0d9rbyj,1,49.7,50.1,2022-12-28T21:17:38.588Z,2022-12-30T13:34:51Z,3958985681,56,Back,3959020737,189,,3960564987,178,,3958985691,279,G,3958985683,140,43.6,3958985685,141,30.0,3958985689,213,4.3,3958985687,212,15.1,bzt6oj1d4d2x3qez55hlvzpwp,Oday Dabbagh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493780275,12,1,1,1,30,dich5v7sw466smbqap0d9rbyj,1,43.6,30,2022-12-28T21:17:39.933Z,2022-12-30T13:34:46Z,3959021023,189,,3958985849,212,18.0,3958985847,141,27.0,3958985851,213,6.2,3960565077,178,,3958985845,140,60.6,3958985843,56,Center,,,,clnli7y2s88p16yqtrbsb99sl,A. Bukia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493780255,8,4,1,1,30,66bsnl0zjb7l5akwo00h0y5me,1,42.2,69,2022-12-28T21:17:40.490Z,2022-12-30T13:35:00Z,3958985701,56,Back,3958985747,189,,3958985705,265,,3958985699,13,,3958985703,152,,3958985865,233,13,3958985707,286,,,,,37usxvspofewb3djlg67lp1hx,Iván Marcano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493780277,13,4,1,1,30,dich5v7sw466smbqap0d9rbyj,0,57.8,31,2022-12-28T21:17:40.491Z,2022-12-30T13:34:59Z,3958985855,13,,3958985869,233,8,3958985857,56,Center,3958985859,152,,3958985863,285,,3958985861,265,,3959021199,189,,3960565241,178,,3w3z6g8x70ii3pltaxyxbycwl,A. Ruiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493780293,9,1,1,1,38,66bsnl0zjb7l5akwo00h0y5me,1,41.7,68.9,2022-12-28T21:17:48.776Z,2022-12-30T13:35:35Z,3958985951,5,,3960565341,178,,3958985981,189,,3958985961,212,28.6,3958985959,141,29.0,3958985953,152,,3958985955,56,Back,3958985963,213,4.4,37usxvspofewb3djlg67lp1hx,Iván Marcano,,3958985957,140,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493780305,10,1,1,1,39,66bsnl0zjb7l5akwo00h0y5me,1,35.7,31.7,2022-12-28T21:17:49.786Z,2022-12-30T13:35:41Z,3958986075,212,13.9,3959053435,189,,3958986073,141,47.5,3958986071,140,44.1,3958986077,213,0.9,3960565371,178,,3958986069,56,Back,,,,3enoici51osego5k1w41fuaqd,Fábio Cardoso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493780315,11,1,1,1,42,66bsnl0zjb7l5akwo00h0y5me,1,44.3,47.6,2022-12-28T21:17:52.555Z,2022-12-30T13:35:52Z,3958986097,56,Back,3958986099,140,34.7,3960565885,178,,3958986103,212,25.9,3958986105,213,2.0,3958986101,141,82.7,,,,,,,5966ij9cde66bhi1g39kxia51,M. Grujić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493780319,12,1,1,1,44,66bsnl0zjb7l5akwo00h0y5me,1,34.7,82.7,2022-12-28T21:17:54.128Z,2022-12-30T13:35:58Z,3960565971,178,,3958986115,56,Back,3958986117,140,29.8,3958986119,141,60.5,3958986121,212,15.9,3958986123,213,4.4,,,,,,,av5ng2yhu8q1lqacekmxci0ut,Wendell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493780331,13,1,1,1,46,66bsnl0zjb7l5akwo00h0y5me,1,30.5,60.5,2022-12-28T21:17:56.225Z,2022-12-30T13:36:02Z,3958986183,212,35.8,3958986179,140,38.3,3958986177,56,Back,3958986185,213,4.9,3958986181,141,9.2,3958986187,1,,3960566053,178,,,,,37usxvspofewb3djlg67lp1hx,Iván Marcano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
