id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/12/value,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,assist,qualifier/17/value
2442691959,1,34,16,0,0,22mo7qbsnyi8wtucpvhgvhw2q,1,0,0,2022-08-06T16:04:20.076Z,2022-08-06T16:57:08Z,3688128471,30,"1ocxh5s9uo0s8ag79j7iv6acp, 89mr3li2k2f01r75sz0sn1zsa, 3o3pp38h4ww0btuxzna0mhtcl, 1e12w0zsray39tnhemg3jy5t5, 2jskw42u7twkcsxa15hcysiy1, dzq4gg917idfq1rhng1coi5uc, 74hu9pcq0b1z36871v3inexyi, ctkp6xkdg68xonlfkjwe580oa, c9juqy1fmkna7jcozyeg0weeh, 51edb4gy0w4q1wns87xehn2dx, 1xxhkr7nex5mjc9hrxm100lih, b02ounhiuxi8s4z3aoac83evo, dqpofsnyszazhkp0t7gtlfi3u, 195o7hchielt14ic49r3k06sq, ssluj1c3ft94nkfs58dc8cq2, b4a2wu8fdbrh5sirpv34hoewa, 1l0sfejnziz4ur5prgb0tp2j8, apgwxh3jxuosp69vtmrwbea6s, 4mvqt04u92wsm1p5ja8fpilii, 5bl0qe7l7juksox3s4u76hxat",3688128473,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3688128483,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3688128481,194,3o3pp38h4ww0btuxzna0mhtcl,3688128477,130,8,3688309465,197,11679,3688128479,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3688128475,59,"99, 87, 31, 32, 23, 3, 21, 25, 50, 10, 11, 5, 7, 8, 17, 22, 29, 47, 78, 95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442696161,1,34,16,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,0,0,2022-08-06T16:10:45.182Z,2022-08-06T17:03:06Z,3688150729,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3688150725,194,ck3l6a262hves3v6nywarx9pm,3688150709,30,"6ddxujeb3873j5evwiz8n4wt0, 6vvg5on86k2ldhs4pn2kua0vd, bxfalki1fmd687uj0b8e0m0np, 48li2iey0m9b8h8cvs6py2iy2, cu7kz508a3wm8d5fypmrzxnmd, ck3l6a262hves3v6nywarx9pm, f3tryo4j786kmubzmu4bl3rvt, 6jkfecnicg5ilzy44x7ld7u1h, 5v4xejh2rnvkrqnvpz4eu2lt5, dkijqjb6nubobtobl4s2v8xxx, 7y5oyflivt56zuwoyzs2q20ru, e0k7beubxdswouhw13td0nlk9, 9hqhder3adhjjovepuv4yst79, dlek4e9wgzy10smm0ph933nu2, 3vba6x3mml1ytp8tac9eggtpm, ao3sbh3qpdxwb7vhzmaqnpqp6, 5fcx7aiflhvguztjw8mp53b9x, 2qt1rbwg9tjigtsbxw8mgdxey, 70hnojvt05azfjppu0bkroahg, 1u9sn1cu0pq16mina2q6d6dwp",3688150721,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3688150717,130,2,3688303941,197,6595,3688150711,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3688150713,59,"31, 32, 5, 12, 21, 6, 91, 8, 9, 17, 14, 28, 1, 3, 11, 22, 29, 66, 95, 97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442730425,2,32,1,0,0,22mo7qbsnyi8wtucpvhgvhw2q,1,0,0,2022-08-06T17:00:33.914Z,2022-08-09T01:26:27Z,3688318813,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442730411,2,32,1,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,0,0,2022-08-06T17:00:33.914Z,2022-08-06T17:00:34Z,3688318755,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442730577,3,1,1,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,50,49.9,2022-08-06T17:00:33.981Z,2022-08-09T09:21:53Z,3688319599,140,33.8,3688319605,212,17.0,3688319609,279,S,3688319603,141,50.5,3688319607,213,3.1,3694849279,178,,3688319591,56,Back,,,,dkijqjb6nubobtobl4s2v8xxx,Rui Fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442733645,41,61,1,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,37.1,52.8,2022-08-06T17:00:34.673Z,2022-08-09T04:17:33Z,3688335643,56,Back,3694849427,178,,,,,,,,,,,,,,,,,,,,6jkfecnicg5ilzy44x7ld7u1h,André Simões,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443950599,1135,43,1,0,3,5c0sf1eaipcxvdw9o22of2jdp,1,0,0,2022-08-06T17:00:37.121Z,2022-08-09T05:05:07Z,3694871145,178,0,3694871195,144,82,,,,,,,,,,,,,,,,,,,cu7kz508a3wm8d5fypmrzxnmd,D. Batubinsika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442735081,56,1,1,0,3,5c0sf1eaipcxvdw9o22of2jdp,1,31.1,37.6,2022-08-06T17:00:37.288Z,2022-08-09T04:17:44Z,3688343195,212,1.5,3688343189,56,Back,3694849489,178,,3688343197,213,0.8,3688343193,141,39.1,3688343191,140,32.1,,,,,,,cu7kz508a3wm8d5fypmrzxnmd,D. Batubinsika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442735223,57,1,1,0,4,5c0sf1eaipcxvdw9o22of2jdp,1,32.7,38.5,2022-08-06T17:00:38.774Z,2022-08-09T04:17:53Z,3688343855,141,62.0,3688343859,213,1.4,3694849557,178,,3688343851,56,Back,3688343853,140,35.9,3688343857,212,16.3,,,,,,,6jkfecnicg5ilzy44x7ld7u1h,André Simões,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442730589,4,1,1,0,8,5c0sf1eaipcxvdw9o22of2jdp,1,33.4,66.9,2022-08-06T17:00:42.704Z,2022-08-09T04:18:11Z,3688319675,212,22.3,3688319679,213,4.6,3694849629,178,,3688319673,141,34.2,3688319669,56,Back,3688319671,140,31.9,,,,,,,ck3l6a262hves3v6nywarx9pm,Alexandre Penetra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442730659,5,1,1,0,11,5c0sf1eaipcxvdw9o22of2jdp,1,31.9,29.5,2022-08-06T17:00:45.174Z,2022-08-09T04:18:19Z,3688319945,213,4.9,3694849695,178,,3688319939,140,34.6,3688319943,212,15.5,3688319941,141,7.1,3688319937,56,Back,,,,,,,cu7kz508a3wm8d5fypmrzxnmd,D. Batubinsika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442730687,6,1,1,0,13,5c0sf1eaipcxvdw9o22of2jdp,1,33.9,7.1,2022-08-06T17:00:47.488Z,2022-08-09T04:18:26Z,3694849729,178,,3688320089,140,30.9,3688320097,213,1.8,3688320091,141,31.8,3688320093,212,17.1,3688320087,56,Back,,,,,,,6vvg5on86k2ldhs4pn2kua0vd,Martín Aguirregabiria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442730749,7,1,1,0,17,5c0sf1eaipcxvdw9o22of2jdp,1,31.1,33.9,2022-08-06T17:00:50.955Z,2022-08-09T04:18:34Z,3688320447,56,Back,3688320457,212,24.5,3688320451,140,25.1,3688320459,213,1.8,3688320455,141,68.7,3694849769,178,,,,,,,,cu7kz508a3wm8d5fypmrzxnmd,D. Batubinsika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442730785,8,1,1,0,20,5c0sf1eaipcxvdw9o22of2jdp,1,23.9,64.6,2022-08-06T17:00:54.019Z,2022-08-09T04:18:38Z,3688320675,213,1.2,3688320659,56,Back,3688320661,140,31.5,3688320663,141,95.6,3694849797,178,,3688320669,212,22.5,,,,,,,ck3l6a262hves3v6nywarx9pm,Alexandre Penetra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442730855,9,1,1,0,22,5c0sf1eaipcxvdw9o22of2jdp,1,30.9,95.9,2022-08-06T17:00:56.755Z,2022-08-09T04:18:46Z,3694849837,178,,3688321045,140,23.5,3688321049,212,18.9,3688321051,213,4.3,3688321043,56,Back,3688321047,141,70.5,,,,,,,bxfalki1fmd687uj0b8e0m0np,Rúben Lima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
