id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2500186521,974,67,1,0,13,26t6lvlpql4w5wu1ih73qpy36,1,41.2,28.4,2023-01-21T15:29:39.473Z,2023-01-24T10:41:51Z,3992767851,233,790,,,,,,,,,,,,,,,,,,,,,,5kcytruttikppbpkeg9rhd4gl,Iuri Medeiros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500186517,790,67,1,0,13,491xixnlsp75o7cr3w2gc1o0z,0,58.8,71.6,2023-01-21T15:29:39.474Z,2023-01-24T09:08:55Z,3992767855,233,974,,,,,,,,,,,,,,,,,,,,,,6hhxcbz0w98s2ucyjq4v3o9p0,Luís Bastos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499211407,9,1,1,0,13,26t6lvlpql4w5wu1ih73qpy36,1,40.4,27.4,2023-01-21T15:29:39.526Z,2023-01-24T10:41:52Z,3987599519,140,39.2,3992684269,178,,3987599521,141,11.1,3987599517,56,Back,3987599525,213,4.6,3987599523,212,11.2,,,,,,,5kcytruttikppbpkeg9rhd4gl,Iuri Medeiros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499211469,10,1,1,0,16,26t6lvlpql4w5wu1ih73qpy36,1,39.6,9.8,2023-01-21T15:29:42.342Z,2023-01-24T05:02:39Z,3987599861,140,66.6,3992684289,178,,3987599867,213,6.2,3987599859,56,Right,3987599865,212,28.4,3987599863,141,7.0,,,,,,,1wtikted5kmtz3bpu17enlvc9,Víctor Gómez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499211473,11,1,1,0,21,26t6lvlpql4w5wu1ih73qpy36,0,67.1,7,2023-01-21T15:29:46.885Z,2023-01-24T05:03:08Z,3987600105,286,,3987599883,140,65.2,3987599885,141,6.1,3987600099,236,,3992684469,178,,3987599887,212,2.1,3987599881,56,Right,3987599889,213,3.4,cnriqwh17pqgz7p2gt74uar6c,Vítinha,3987600101,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499211503,3,74,1,0,21,491xixnlsp75o7cr3w2gc1o0z,1,30,90.6,2023-01-21T15:29:47.024Z,2023-01-24T05:03:19Z,3987600137,233,11,3987600029,285,,3992684529,178,,3987600027,56,Back,,,,,,,,,,,,,6hhxcbz0w98s2ucyjq4v3o9p0,Luís Bastos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499211529,12,1,1,0,22,26t6lvlpql4w5wu1ih73qpy36,1,65.5,5.9,2023-01-21T15:29:47.767Z,2023-01-24T05:03:34Z,3992684627,178,,3987600193,212,4.5,3987600195,213,3.4,3987600191,141,4.4,3987600189,140,61.3,3987600187,56,Right,,,,,,,cnriqwh17pqgz7p2gt74uar6c,Vítinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499211601,13,1,1,0,23,26t6lvlpql4w5wu1ih73qpy36,1,61.3,4.4,2023-01-21T15:29:48.704Z,2023-01-24T05:03:44Z,3987600571,140,60.8,3987600577,213,1.7,3987600569,56,Right,3987600573,141,13.2,3987600575,212,6.0,3992684723,178,,,,,,,,1wtikted5kmtz3bpu17enlvc9,Víctor Gómez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499211635,14,1,1,0,25,26t6lvlpql4w5wu1ih73qpy36,1,57.6,21.3,2023-01-21T15:29:51.594Z,2023-01-24T05:03:54Z,3987600787,141,53.1,3992684795,178,,3987600789,212,22.3,3987600791,213,1.8,3987600783,56,Center,3987600785,140,52.5,,,,,,,5kcytruttikppbpkeg9rhd4gl,Iuri Medeiros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499211701,15,1,1,0,28,26t6lvlpql4w5wu1ih73qpy36,1,53.1,57,2023-01-21T15:29:54.160Z,2023-01-24T05:04:05Z,3987601153,213,1.2,3987601145,56,Left,3987601147,140,62.3,3987601149,141,92.3,3992684869,178,,3987601151,212,25.9,,,,,,,33qmom9yrc1ft1cte9qju1djp,André Horta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499211765,16,1,1,0,31,26t6lvlpql4w5wu1ih73qpy36,1,62.9,91.2,2023-01-21T15:29:56.686Z,2023-01-24T05:04:12Z,3992684911,178,,3987601529,56,Left,3987601533,141,83.6,3987601535,212,6.0,3987601537,213,4.2,3987601531,140,60.0,,,,,,,c8s3kzk7jpdpp5ctzqkzh9vit,Nuno Sequeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499211813,17,1,1,0,35,26t6lvlpql4w5wu1ih73qpy36,1,61.7,83.3,2023-01-21T15:30:00.855Z,2023-01-24T05:04:19Z,3987601809,140,68.2,3987601813,212,9.5,3987601815,213,5.5,3987601805,56,Center,3987601811,141,73.6,3992684955,178,,,,,,,,33qmom9yrc1ft1cte9qju1djp,André Horta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499211845,18,1,1,0,36,26t6lvlpql4w5wu1ih73qpy36,1,68.2,73.6,2023-01-21T15:30:01.645Z,2023-01-24T05:04:32Z,3987601971,141,79.4,3987601967,140,68.1,3992685073,178,,3987601975,213,1.6,3987601973,212,3.9,3987601963,56,Left,,,,,,,e5xv1rmy69kwuxjxin653ojqh,Abel Ruiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499211855,19,1,1,0,37,26t6lvlpql4w5wu1ih73qpy36,0,68.7,82.3,2023-01-21T15:30:03.272Z,2023-01-24T05:04:39Z,3987602027,141,79.0,3992685105,178,,3987602029,212,7.3,3987602031,213,6.0,3987602025,140,75.3,3987602023,56,Left,,,,,,,4ocmdia4dhnz2jdxr3n8sf8r8,Hernâni Infande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499211899,4,8,1,0,38,491xixnlsp75o7cr3w2gc1o0z,1,26.5,22.2,2023-01-21T15:30:03.965Z,2023-01-24T05:04:49Z,3991938307,383,,3987602233,56,Back,3992685165,178,,,,,,,,,,,,,,,,,78ug8x7pkjt88u5dx151v32z9,N. Gaitán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499211925,5,49,1,0,39,491xixnlsp75o7cr3w2gc1o0z,1,26.6,26.5,2023-01-21T15:30:05.014Z,2023-01-24T05:05:01Z,,,,,,,,,,,,,,,,,,,,,,,,,78ug8x7pkjt88u5dx151v32z9,N. Gaitán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499212027,6,1,1,0,40,491xixnlsp75o7cr3w2gc1o0z,1,26.8,27,2023-01-21T15:30:05.785Z,2023-01-24T05:05:12Z,3987602825,212,11.8,3987602823,141,12.9,3992685373,178,,3987602821,140,33.3,3987602819,56,Back,3987602827,213,5.3,,,,,,,78ug8x7pkjt88u5dx151v32z9,N. Gaitán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499212031,7,4,1,0,42,491xixnlsp75o7cr3w2gc1o0z,1,37,10.6,2023-01-21T15:30:07.804Z,2023-01-24T05:05:27Z,3987602853,265,,3987602855,286,,3987602849,56,Back,3987602851,152,,3987602869,233,20,3987602847,13,,,,,,,,7jso6ijfblfqjfvfh09wt5g5,Luíz Carlos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499212013,20,4,1,0,42,26t6lvlpql4w5wu1ih73qpy36,0,63,89.4,2023-01-21T15:30:07.805Z,2023-01-24T05:05:27Z,3992685475,178,,3987602897,233,7,3987602755,285,,3987602745,56,Left,3987602753,265,,3987602741,13,,3987602749,152,,,,,4ocmdia4dhnz2jdxr3n8sf8r8,Hernâni Infande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
