id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/15/value,qualifier/16/value
2476266207,1,34,16,0,0,7kfx3xpj2c2wxinsyi16i9gaz,1,0,0,2022-10-23T13:35:28.012Z,2022-10-23T14:24:22Z,3866631197,130,13,3866631203,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3866631191,30,"8nesxmzgmtxcr5vu3881j6ane, 8q4m06v3yfsq2iza942ezaxud, 8jcuunhako2i9ynmp8v3w2eax, 5i5qgzbovli6pspg01ohrfdre, bvy7d4r2ve9f5x1xyv0tx5cr9, 8czsihbd6817k4uzvwenqvxex, 922dtb3ppvsgvzysfjwg86jmx, 8sg65mj881mnfd9wgtew01s5x, 8inrz9rna2z5lirsorindh0b9, 3bysj69bufnbqx70q6ufzat49, 57xeumfhz5h30yn1168rgljah, 6dc5id3ucboy4yroiezgzapgq, 388ux45xau80x9rom4s2bapgq, 757f9x11lzcug3d6sn39d85wp, cqfw0fsbxyjb7mduk2hk27e1h, 2uqu22zy54pgog64fk993fyay, 8qn1z72et0w6bqw9mstopb7px, 17govndl49nve5d5h74bs5i0a, 68o93orxpx4ehs4dsa57521g5, c2o0vuyoiqyxmknotnq1ejbe2",3866960553,197,385,3866631195,59,"59, 2, 94, 66, 5, 4, 16, 10, 95, 23, 7, 25, 36, 11, 12, 20, 21, 34, 45, 98",3866631199,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3866631193,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3866631201,194,bvy7d4r2ve9f5x1xyv0tx5cr9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476267511,1,34,16,0,0,dich5v7sw466smbqap0d9rbyj,1,0,0,2022-10-23T13:36:19.508Z,2022-10-23T14:29:42Z,3866637891,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3866637901,194,8zt0zlypar7m1eqj4zu8ul695,3866637889,30,"25n2vrjnz5qsm5pigyn3ps8vd, djb8j3hb7mnnghg9jmd15w0r9, ds66cc3zwxbyl5zfzag5422g9, 1doj252anzqdzn5fknqr5i31l, 8zt0zlypar7m1eqj4zu8ul695, 1ni0afs55daxlb5ocaqb2o8vd, clnli7y2s88p16yqtrbsb99sl, 3w3z6g8x70ii3pltaxyxbycwl, 3vln1sp3b13v1yhcsd0vl3c2x, 7nrjutc015x9nupdcl4hj3l5h, dh3ddfghtgeb2iu2608y96i5m, bzt6oj1d4d2x3qez55hlvzpwp, 9l70xwbhc0xr57iifzyxzot7t, c0pat4dqmsc4teand5ampsdlh, 1nqpxso2a9qw8w8g6u4sb60ut, 79ir6aubulzanvonfbgngk5hx, bdgqvvkpadpthmlm40wa6dcyx, evdhe2j9k1smuk1ul7woo3h0p, 43mnaysq76cz587wxk8w3job9, 3mp7wghcalu9g3wxbqb9eqga",3866637895,130,7,3866996245,197,1206,3866637903,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3866637893,59,"12, 28, 6, 23, 13, 3, 7, 10, 19, 5, 11, 15, 2, 8, 14, 20, 21, 43, 44, 92",3866637899,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476340809,2,32,1,0,0,dich5v7sw466smbqap0d9rbyj,1,0,0,2022-10-23T14:31:08.655Z,2022-10-23T14:31:10Z,3867004929,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476340781,2,32,1,0,0,7kfx3xpj2c2wxinsyi16i9gaz,1,0,0,2022-10-23T14:31:08.655Z,2022-10-25T22:57:33Z,3867004743,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476340823,3,1,1,0,0,7kfx3xpj2c2wxinsyi16i9gaz,1,49.9,50,2022-10-23T14:31:08.721Z,2022-10-26T05:13:44Z,3867004981,140,28.3,3867004993,279,S,3867004985,212,23.1,3872977345,178,,3867004979,56,Back,3867004983,141,56.6,3867004989,213,2.9,,,,8inrz9rna2z5lirsorindh0b9,J. Tagueu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476340859,4,1,1,0,2,7kfx3xpj2c2wxinsyi16i9gaz,0,30.3,58.8,2022-10-23T14:31:11.438Z,2022-10-26T05:13:46Z,3867005179,141,93.0,3867005183,213,1.2,3872977355,178,,3867005175,56,Back,3867005181,212,25.5,3867005177,140,40.2,,,,,,,bvy7d4r2ve9f5x1xyv0tx5cr9,Zainadine Júnior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476340869,3,43,1,0,4,dich5v7sw466smbqap0d9rbyj,1,0,0,2022-10-23T14:31:12.905Z,2022-10-24T13:02:04Z,3869761459,144,8,3867005235,56,Right,,,,,,,,,,,,,,,,,,,clnli7y2s88p16yqtrbsb99sl,A. Bukia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476340887,4,49,1,0,5,dich5v7sw466smbqap0d9rbyj,1,64.6,4,2022-10-23T14:31:13.992Z,2022-10-26T05:13:54Z,,,,,,,,,,,,,,,,,,,,,,,,,clnli7y2s88p16yqtrbsb99sl,A. Bukia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476341071,5,1,1,0,10,dich5v7sw466smbqap0d9rbyj,0,95.5,23.5,2022-10-23T14:31:19.048Z,2022-10-26T05:13:56Z,3867006243,2,,3867006251,141,88.1,3872977467,178,,3867006257,213,1.5,3867006245,155,,3867006261,1,,3869761911,20,,3867006249,140,96.7,clnli7y2s88p16yqtrbsb99sl,A. Bukia,3869761909,224,3867006247,56,Left,3867006253,212,43.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476341137,5,49,1,0,15,7kfx3xpj2c2wxinsyi16i9gaz,1,6.9,10.6,2022-10-23T14:31:23.993Z,2022-10-26T05:14:00Z,,,,,,,,,,,,,,,,,,,,,,,,,8q4m06v3yfsq2iza942ezaxud,Cláudio Winck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
