id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/16/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2495942445,1,34,16,0,0,alyavx3ad35bp1xuwmqk7sgev,1,0,0,2023-01-08T14:37:29.410Z,2023-01-08T15:41:21Z,3970368793,59,"1, 77, 5, 40, 19, 3, 7, 10, 20, 8, 17, 2, 12, 21, 26, 30, 44, 70, 73, 95",3970368795,130,2,3970368799,194,2b4soa2ddbbmdwm0ur760jh05,3970368791,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3970368801,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3970368797,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3970368789,30,"1tkq6knbo350vy0o8aieijmxh, 9m66crpktao9g80wc8zi9y5ex, cmxmyld8l4gjy03zxskyxf5gq, brdhlpiyg3nk936bqe50bqx1x, z6po5y26nap863d68tcekhqt, 2nod7tpovdjb85efh2sogijth, bfy36wqp37utkkbl13k7s99m1, 2b4soa2ddbbmdwm0ur760jh05, 7r96u3b7t46s0kg5t5qew3tnt, 3845lzar855rp3zp4stgmgul1, 47z2phkn1i9z8p32zqlu53j6x, 59ly8uun0sl324s7rtlmp6ac, c9lykzcr3q7hr50ui74iqastm, 1rdadi8uuu161wj8o7gbcn8wl, 8hyaww1d0p9871u8o8zk8f9at, avugx69mdi4p8c25p9fetmq22, 530nhsyjmbwcpb8536pgwbld5, et4mglw8d0mwweghd2hmzz9jo, 361pxz5e33ydl2c3t63a9kzc9, awu6zsiy6l8e3p1athc733jkl",3970515483,197,2933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495946363,1,34,16,0,0,491xixnlsp75o7cr3w2gc1o0z,1,0,0,2023-01-08T14:43:03.032Z,2023-01-08T15:53:06Z,3970391061,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3970391055,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3970391053,30,"1k5y6mool4qz2xtg6mp892vh1, 3zndvhinobvclra6m0y47drrp, 3zkqv88qpc3tm22pex5qfillh, egf4oc47whxf2hmrjjddvtxbd, fwnnz9wriid0xznpbpdy82s4, 19mq6gsvnfvnzugpbfwniqj1l, 2grwfg8j3gpdthz5n5dn6wb56, 7jso6ijfblfqjfvfh09wt5g5, 7d8acg1r083veuigl34kojnbp, 78ug8x7pkjt88u5dx151v32z9, atcgj9k5ghx0ekwyky31l4pud, bid3fvgjmfnik2pegy9av3tux, 53y263xxfdf1itytiqhg3v6c5, 8kns1kywrlakjwll1cxs19r3e, dtkxyjne2wd3rtsg74i9lc6qc, 1arszie3v8bks90bcetskhwfe, 32y6mygyypg6jhzge0vqjx79, c9rqgser2j8a6w7xfj3vmkzfu, 8dyozmfhm4x9hwqqpa6hcri6t, dc5mkjm8cfhhsq4nbbbk8vlec",3970391063,194,3zkqv88qpc3tm22pex5qfillh,3970391057,59,"28, 15, 5, 6, 3, 25, 16, 22, 30, 10, 9, 14, 98, 7, 13, 17, 21, 23, 26, 41",3970391059,130,7,3970517585,197,12635,3970391065,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495970305,2,32,1,0,0,alyavx3ad35bp1xuwmqk7sgev,1,0,0,2023-01-08T15:31:50.644Z,2023-01-08T15:31:50Z,3970526005,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495970317,2,32,1,0,0,491xixnlsp75o7cr3w2gc1o0z,1,0,0,2023-01-08T15:31:50.644Z,2023-01-10T18:02:33Z,3970526069,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495970339,3,1,1,0,0,alyavx3ad35bp1xuwmqk7sgev,1,49.9,50,2023-01-08T15:31:50.742Z,2023-01-10T21:10:03Z,3970526163,140,45.7,3970526171,279,S,3970526165,141,46.7,3973065593,178,,3970526161,56,Back,3970526169,213,3.6,3970526167,212,4.9,,,,7r96u3b7t46s0kg5t5qew3tnt,Juninho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495970363,4,1,1,0,2,alyavx3ad35bp1xuwmqk7sgev,1,45.7,46.7,2023-01-08T15:31:52.798Z,2023-01-10T21:10:14Z,3970526305,140,65.6,3970526311,213,0.1,3970526303,56,Center,3970526307,141,50.3,3973066183,178,,3970526301,155,,3970526309,212,21.0,,,,2b4soa2ddbbmdwm0ur760jh05,João Teixeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495970387,5,1,1,0,6,alyavx3ad35bp1xuwmqk7sgev,1,71.9,38.6,2023-01-08T15:31:56.673Z,2023-01-10T21:10:17Z,3973066357,178,,3970526449,141,7.3,3970526451,212,22.5,3970526447,140,78.8,3970526453,213,5.0,3970526445,56,Right,,,,,,,7r96u3b7t46s0kg5t5qew3tnt,Juninho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495970399,6,1,1,0,10,alyavx3ad35bp1xuwmqk7sgev,1,77.8,7.9,2023-01-08T15:32:00.821Z,2023-01-10T21:10:21Z,3970526511,141,11.1,3970526507,56,Right,3970526513,212,10.6,3973066599,178,,3970526509,140,67.9,3970526515,213,2.9,,,,,,,bfy36wqp37utkkbl13k7s99m1,L. Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495970409,7,1,1,0,11,alyavx3ad35bp1xuwmqk7sgev,1,67.9,11.1,2023-01-08T15:32:01.982Z,2023-01-10T21:10:25Z,3970526553,213,5.8,3970526545,56,Right,3970526551,212,8.5,3970526547,140,75.2,3970526549,141,5.6,3973066821,178,,,,,,,,brdhlpiyg3nk936bqe50bqx1x,N. Obiora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495970423,8,1,1,0,14,alyavx3ad35bp1xuwmqk7sgev,1,62.9,11.3,2023-01-08T15:32:04.903Z,2023-01-10T21:10:28Z,3970526683,140,43.0,3970526685,141,33.0,3973066989,178,,3970526689,213,2.5,3970526681,56,Back,3970526687,212,25.6,,,,,,,bfy36wqp37utkkbl13k7s99m1,L. Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
