id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/13/value,assist,qualifier/19/id,qualifier/19/qualifierId
2515357163,8,1,1,0,17,7catg5lpivcmpf4xhggh6d8rk,1,29.1,55.8,2023-03-04T18:00:16.087Z,2023-03-07T08:48:45Z,4072523887,56,Back,4072523893,212,12.7,4072523891,141,73.6,4079904905,178,,4072523889,140,32.8,4072523895,213,1.3,,,,,,,a9htjxrpgqlcv577x4kvlkh5h,S. Coates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515357229,9,1,1,0,20,7catg5lpivcmpf4xhggh6d8rk,1,33.2,73.6,2023-03-04T18:00:18.690Z,2023-03-07T08:48:48Z,4072524265,140,76.9,4072524291,1,,4072524287,213,0.0,4079904963,178,,4072524263,56,Center,4072524285,212,45.9,4072524261,155,,4072524267,141,74.1,cayu6id8xmj67n29s2x3bsbxm,Gonçalo Inácio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516752457,706,83,1,0,24,co1i764h6b02husae71w6scs8,1,22.9,27.2,2023-03-04T18:00:22.517Z,2023-03-07T09:20:36Z,4079943957,399,445028,,,,,,,,,,,,,,,,,,,,,,3vwbsaoy8f2vc4kkad4ipv3kl,Pedro Sá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516753029,707,43,1,0,24,co1i764h6b02husae71w6scs8,1,0,0,2023-03-04T18:00:22.517Z,2023-03-07T09:20:33Z,4079946339,399,445028,4079946423,144,83,,,,,,,,,,,,,,,,,,,3vwbsaoy8f2vc4kkad4ipv3kl,Pedro Sá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515357243,10,1,1,0,25,7catg5lpivcmpf4xhggh6d8rk,1,88.4,74.5,2023-03-04T18:00:23.871Z,2023-03-07T08:48:52Z,4072524369,213,4.6,4079905053,178,,4072524365,141,63.6,4072524367,212,7.4,4072524361,56,Center,4072524363,140,87.9,,,,,,,d9i8y5vlymc2yggwxrax8wcbu,H. Morita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515357279,11,1,1,0,27,7catg5lpivcmpf4xhggh6d8rk,1,87.9,63.6,2023-03-04T18:00:25.623Z,2023-03-07T08:48:55Z,4072524563,141,64.8,4072524561,140,85.1,4072524567,213,2.9,4072524565,212,3.1,4072524559,56,Center,4079905101,178,,,,,,,,2m5jzeksbet8ltn3shk2exox6,Youssef Chermiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515357287,12,61,1,0,27,7catg5lpivcmpf4xhggh6d8rk,0,85.1,64.8,2023-03-04T18:00:26.092Z,2023-03-07T08:49:02Z,4072524601,56,Center,4079905221,178,,,,,,,,,,,,,,,,,,,,eee0bq4dkdn91l81e8cf1zxpm,Pote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515357331,6,12,1,0,28,co1i764h6b02husae71w6scs8,1,8.3,39.2,2023-03-04T18:00:26.532Z,2023-03-07T08:49:23Z,4072524755,141,38.5,4072524759,213,6.3,4079905641,178,,4072524753,140,28.1,4072524749,56,Back,4072524757,212,20.8,,,,,,,3hzw7c4kkol5okl9imvc70ij9,Lucas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515357371,13,50,1,0,30,7catg5lpivcmpf4xhggh6d8rk,1,73,64.5,2023-03-04T18:00:28.400Z,2023-03-07T08:49:30Z,4072525071,233,7,4072524935,56,Center,4072524937,286,,,,,,,,,,,,,,,,,8jfjglichcg0py57hhri5v0fd,M. Ugarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515357343,7,7,1,0,30,co1i764h6b02husae71w6scs8,0,27,35.5,2023-03-04T18:00:28.545Z,2023-03-07T08:50:27Z,4079906465,178,,4078726517,383,,4072524995,233,13,4072524831,56,Back,4072524833,285,,,,,,,,,,,10va1tucy0kb83wllaudp7e95,Pedrão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515357649,16,61,1,0,30,7catg5lpivcmpf4xhggh6d8rk,1,75.7,70.9,2023-03-04T18:00:28.588Z,2023-03-07T08:50:31Z,4072526253,56,Center,4079906643,178,,,,,,,,,,,,,,,,,,,,8jfjglichcg0py57hhri5v0fd,M. Ugarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515357351,8,49,1,0,31,co1i764h6b02husae71w6scs8,1,28.1,38.5,2023-03-04T18:00:29.328Z,2023-03-07T08:50:41Z,,,,,,,,,,,,,,,,,,,,,,,,,10va1tucy0kb83wllaudp7e95,Pedrão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515357363,9,1,1,0,31,co1i764h6b02husae71w6scs8,0,28,38.3,2023-03-04T18:00:29.777Z,2023-03-07T08:50:45Z,4072524875,56,Back,4072524879,141,38.2,4072525197,236,,4072524883,213,6.3,4072525199,233,14,4072524877,140,31.9,4072525203,286,,4079907145,178,,10va1tucy0kb83wllaudp7e95,Pedrão,4072524881,212,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
