id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,assist,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,keyPass,qualifier/14/value,qualifier/13/value
2446339213,1,34,16,0,0,8gvg1ranyf93hprfkwx3ofl2y,1,0,0,2022-08-14T18:24:33.442Z,2022-08-14T19:32:33Z,3707577583,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3707577575,30,"2accix9saahg900cja5e9iw9h, d30uqfrs7mqb6jnj99qgyr28k, ay10c4r23f0tlyuqytje0ack4, 2lur2ts61wwrsvih1lb1jee50, bot4jd6s4g69w5wvtn9qlevx0, 6ram2zlda1gvj947zzmab68r9, 9dc4qkvh0vk5kwymibji00kp, 7bizatqq8lesywgb68x9cizmd, 7jqin4ptb8of32u4e646mxwtm, 1ziaf8ivlizetjhinr9ua6uax, 53sq02gs09i7chjvx2zfwdaz9, lp63o37czdwete0smmu62k89, 4tyjzyixiz32zfs37qs4u6ve2, 3yolt0tc40fjqupa2ea4epka1, evwzikhqpwulci3y20ckeoc15, 20qxviornp26t0t8oq8xuyi5m, e2nsy4zv5hw9x13mp604tr8ix, 3f2otwd2ozwk89319ssh9yjmd, 1qcf5gb8wf8f4tu94xh96yqy, bgcphqeckm71jpbnzjivrnug9",3707577577,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3707577587,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3707577585,194,2accix9saahg900cja5e9iw9h,3707577579,59,"14, 2, 5, 22, 13, 3, 70, 10, 17, 11, 7, 6, 20, 25, 33, 38, 63, 76, 80, 98",3707853321,197,4663,3707577581,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446340097,1,34,16,0,0,22mo7qbsnyi8wtucpvhgvhw2q,1,0,0,2022-08-14T18:26:42.331Z,2022-08-14T19:29:56Z,3707582751,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3707582753,59,"99, 87, 31, 32, 23, 3, 21, 25, 50, 10, 11, 5, 7, 8, 17, 22, 29, 47, 78, 95",3707582759,194,3o3pp38h4ww0btuxzna0mhtcl,3707582761,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3707841679,197,11679,3707582757,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3707582755,130,8,3707582749,30,"1ocxh5s9uo0s8ag79j7iv6acp, 89mr3li2k2f01r75sz0sn1zsa, 3o3pp38h4ww0btuxzna0mhtcl, 1e12w0zsray39tnhemg3jy5t5, 2jskw42u7twkcsxa15hcysiy1, dzq4gg917idfq1rhng1coi5uc, 74hu9pcq0b1z36871v3inexyi, ctkp6xkdg68xonlfkjwe580oa, c9juqy1fmkna7jcozyeg0weeh, 51edb4gy0w4q1wns87xehn2dx, 1xxhkr7nex5mjc9hrxm100lih, b02ounhiuxi8s4z3aoac83evo, dqpofsnyszazhkp0t7gtlfi3u, 195o7hchielt14ic49r3k06sq, ssluj1c3ft94nkfs58dc8cq2, b4a2wu8fdbrh5sirpv34hoewa, 1l0sfejnziz4ur5prgb0tp2j8, apgwxh3jxuosp69vtmrwbea6s, 4mvqt04u92wsm1p5ja8fpilii, 5bl0qe7l7juksox3s4u76hxat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446385665,2,32,1,0,0,8gvg1ranyf93hprfkwx3ofl2y,1,0,0,2022-08-14T19:30:43.489Z,2022-08-17T17:33:42Z,3707845405,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446385677,2,32,1,0,0,22mo7qbsnyi8wtucpvhgvhw2q,1,0,0,2022-08-14T19:30:43.489Z,2022-08-14T19:30:47Z,3707845455,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446385759,3,1,1,0,0,8gvg1ranyf93hprfkwx3ofl2y,1,50,50,2022-08-14T19:30:43.583Z,2022-08-17T17:42:24Z,3707845911,213,2.9,3707845909,212,20.2,3713376713,178,,3707845903,56,Back,3707845905,140,31.3,3707845913,279,S,3707845907,141,56.7,,,,9dc4qkvh0vk5kwymibji00kp,André Almeida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446385799,4,1,1,0,5,8gvg1ranyf93hprfkwx3ofl2y,0,33.3,61.1,2022-08-14T19:30:48.809Z,2022-08-17T17:42:26Z,3707846157,155,,3707846159,56,Center,3707846161,140,74.0,3707846167,213,0.1,3713376807,178,,3707846165,212,43.2,3707846163,141,70.0,3707846169,1,,6ram2zlda1gvj947zzmab68r9,M. Villanueva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446385807,3,44,1,0,7,22mo7qbsnyi8wtucpvhgvhw2q,1,28.2,32,2022-08-14T19:30:51.253Z,2022-08-17T18:25:15Z,3707846237,233,5,3707846201,56,Back,3707846203,285,,,,,,,,,,,,,,,,,2jskw42u7twkcsxa15hcysiy1,Pedro Álvaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446385803,5,44,1,0,7,8gvg1ranyf93hprfkwx3ofl2y,0,71.8,68,2022-08-14T19:30:51.254Z,2022-08-17T17:42:31Z,3707846383,233,3,3707846185,56,Center,3707846187,286,,,,,,,,,,,,,,,,,7jqin4ptb8of32u4e646mxwtm,André Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446385819,4,1,1,0,7,22mo7qbsnyi8wtucpvhgvhw2q,0,30.5,34.1,2022-08-14T19:30:51.309Z,2022-08-17T18:25:15Z,3707846251,56,Back,3713376943,388,,3707846259,213,0.8,3707846253,140,36.5,3707846257,212,9.5,3707846255,141,44.5,3707846249,3,,,,,2jskw42u7twkcsxa15hcysiy1,Pedro Álvaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446385861,6,50,1,0,10,8gvg1ranyf93hprfkwx3ofl2y,1,66.6,57.8,2022-08-14T19:30:54.058Z,2022-08-17T17:42:53Z,3707846503,286,,3707846501,56,Center,3707846635,233,5,,,,,,,,,,,,,,,,9dc4qkvh0vk5kwymibji00kp,André Almeida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
