id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/12/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/16/value
2534596993,1,34,16,0,0,cgvbluoerzbzcr7aaxge3wkcv,1,0,0,2023-04-16T13:47:13.060Z,2023-04-16T14:32:09Z,4195407693,194,e6ztipndwfp33c6j7yebsyx91,4195407689,130,13,4195407679,30,"ckog922pr9vqy2ry4m7o5ag2d, degqtleco9n5tlt0yz3q5t9ii, djqbki8jap3rp8l0izzly9tzo, 8uxdtdynfnmlx0ro5iounze1, 75znincjirp1z8bcw9nhztxat, 803s6ja43m4i9jhl97jd37s2x, 912y0yoa524suow0wvpbtwq1h, e6ztipndwfp33c6j7yebsyx91, 6fvujizi2c81rxbbble21p32t, 9kvoxdbnb5kt2dzy7kr0s7v11, 79mo2l821d5zq6dyrg9qkpf4l, 5881z0950eh6003uukdwkuql0, 9sfjkb99h1b1obdmedrecag9h, 55r9zkckjjq4txriw3jhguwnp, c38u6t2mr5f441tcuxlwpulpm, 1g46yyjzlu0vqpk3w51scv1ed, 110maz3wmyhfk670un6ieloet, apjgf0d7fwwdsb06vdlsjyc45, 8lahho5viagd48ufvp582453p, 2rw2a005v9ehuopm1hf87uvah",4195407683,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4195407695,197,377,4195407687,59,"18, 20, 77, 4, 33, 42, 30, 6, 95, 21, 22, 1, 8, 9, 15, 17, 23, 27, 16, 93",4195407691,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4195407697,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534597079,1,34,16,0,0,ewsf6evtguu9j7k6js4tlgl89,1,0,0,2023-04-16T13:47:16.566Z,2023-04-16T13:47:16Z,4195408059,130,13,4195408053,30,"4k2wic25asdlmuqr17e3s6nkl, 6uubxxvwp558g19wxmprfqtw5, 58r7rr6rqtji5m0bkdxmwqqui, dqpkkgodtwn11fgpq2c3tlqz9, d92r3s9hlaq3k56b503ovjfmd, dcj62hda8r17fx396ks6w79p1, 2ban1f798o92hq593c8a0nv11, 64upo0p7ealjcpfkldjiqlvit, cwd95dwww2bs1d9wzjpw3ydx, 2htuct5gfuihhhvx9trpkmj56, 53unfq55ouhqni5jbl07fyqc5, 9cju5a96bsq9fqhbl5ub6nisp, c9mr6s9gur4jxrinhj5blu0vd, 6wjwijfj7i2vvlsxzyzfb2cwl, bxbvbqfhiv1hivt3ttxum1uy1, 7btjqixepiu3ykopyvg3k6itx, 28lucwbes9q95s1j4mgy2s50q, ag5ozuf1o3ixkdrdb39g9dasp, 5vdaexx0jnv7shichfmowutt6, edk9jemtelz51uoob4quyd4kq",4195408067,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4195408061,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4195408065,197,7108,4195408055,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4195408063,194,d92r3s9hlaq3k56b503ovjfmd,4195408057,59,"33, 6, 5, 19, 15, 3, 27, 8, 11, 24, 7, 10, 12, 13, 14, 16, 42, 68, 80, 99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534640377,2,32,1,0,0,cgvbluoerzbzcr7aaxge3wkcv,1,0,0,2023-04-16T14:29:37.610Z,2023-04-16T14:29:37Z,4195623249,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534640363,2,32,1,0,0,ewsf6evtguu9j7k6js4tlgl89,1,0,0,2023-04-16T14:29:37.610Z,2023-04-16T14:29:39Z,4195623179,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534640383,3,1,1,0,0,ewsf6evtguu9j7k6js4tlgl89,1,50.2,50,2023-04-16T14:29:37.710Z,2023-04-16T14:29:50Z,4195623287,279,S,4195623277,56,Back,4195623281,141,69.3,4195623283,212,20.7,4195623285,213,2.5,4195623279,140,34.9,,,,,,,cwd95dwww2bs1d9wzjpw3ydx,Rafael Martins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534640447,4,1,1,0,4,ewsf6evtguu9j7k6js4tlgl89,0,36,66.8,2023-04-16T14:29:41.822Z,2023-04-16T14:38:12Z,4195623563,141,0.0,4195623557,196,,4195623569,1,,4195623555,155,,4195623565,212,57.1,4195623561,140,67.6,4195623567,213,5.3,4195623559,56,Right,dqpkkgodtwn11fgpq2c3tlqz9,N. Zolotić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534640567,3,5,1,0,4,cgvbluoerzbzcr7aaxge3wkcv,1,30.8,101.2,2023-04-16T14:29:42.393Z,2023-04-16T14:29:52Z,4195624223,347,,4195624221,56,Back,4195624289,233,5,,,,,,,,,,,,,,,,6fvujizi2c81rxbbble21p32t,André Pereira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534640451,5,5,1,0,4,ewsf6evtguu9j7k6js4tlgl89,0,69.2,-1.2,2023-04-16T14:29:42.393Z,2023-04-16T15:16:03Z,4195623579,347,,4195623575,56,Right,4195624295,233,3,,,,,,,,,,,,,,,,dqpkkgodtwn11fgpq2c3tlqz9,N. Zolotić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534640639,4,1,1,0,13,cgvbluoerzbzcr7aaxge3wkcv,1,30.2,100,2023-04-16T14:29:51.496Z,2023-04-16T14:29:57Z,4195624545,212,4.9,4195624543,141,96.6,4195624539,56,Back,4195624541,140,33.4,4195624547,213,5.5,4195624537,107,,,,,,,,djqbki8jap3rp8l0izzly9tzo,Fábio Ronaldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534640643,5,61,1,0,19,cgvbluoerzbzcr7aaxge3wkcv,0,34,97.1,2023-04-16T14:29:56.872Z,2023-04-16T14:29:57Z,4195624557,56,Back,,,,,,,,,,,,,,,,,,,,,,6fvujizi2c81rxbbble21p32t,André Pereira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
