id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/13/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2484840767,1,34,16,0,0,dich5v7sw466smbqap0d9rbyj,1,0,0,2022-11-12T17:06:54.436Z,2022-11-12T18:02:58Z,3911730423,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3911730407,30,"25n2vrjnz5qsm5pigyn3ps8vd, djb8j3hb7mnnghg9jmd15w0r9, ds66cc3zwxbyl5zfzag5422g9, 1doj252anzqdzn5fknqr5i31l, 8zt0zlypar7m1eqj4zu8ul695, 1ni0afs55daxlb5ocaqb2o8vd, 7nrjutc015x9nupdcl4hj3l5h, 9l70xwbhc0xr57iifzyxzot7t, bzt6oj1d4d2x3qez55hlvzpwp, clnli7y2s88p16yqtrbsb99sl, dh3ddfghtgeb2iu2608y96i5m, 5dfjrbb8xobsxuujy1xrsgedx, c0pat4dqmsc4teand5ampsdlh, 4effb0zguv2lqtv2vl9lqb696, 1nqpxso2a9qw8w8g6u4sb60ut, 1swp008ttj3pd57fz5uw8mctm, 3vln1sp3b13v1yhcsd0vl3c2x, bdgqvvkpadpthmlm40wa6dcyx, 43mnaysq76cz587wxk8w3job9, 3mp7wghcalu9g3wxbqb9eqga",3911730415,130,4,3911730419,194,8zt0zlypar7m1eqj4zu8ul695,3911730417,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3911730413,59,"12, 28, 6, 23, 13, 3, 5, 2, 15, 7, 11, 4, 8, 9, 14, 17, 19, 21, 44, 92",3911730421,197,390,3911730411,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484841623,1,34,16,0,0,cgvbluoerzbzcr7aaxge3wkcv,1,0,0,2022-11-12T17:08:33.368Z,2022-11-12T18:11:43Z,3911735423,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3911735415,130,13,3911735409,30,"ckog922pr9vqy2ry4m7o5ag2d, degqtleco9n5tlt0yz3q5t9ii, 2rw2a005v9ehuopm1hf87uvah, 8uxdtdynfnmlx0ro5iounze1, 75znincjirp1z8bcw9nhztxat, 110maz3wmyhfk670un6ieloet, e6ztipndwfp33c6j7yebsyx91, 9sfjkb99h1b1obdmedrecag9h, 433k61rvy0ay7lcsyxd918r8p, c38u6t2mr5f441tcuxlwpulpm, 79mo2l821d5zq6dyrg9qkpf4l, 5881z0950eh6003uukdwkuql0, 55r9zkckjjq4txriw3jhguwnp, 4agmh5fbf826bjrxtg3mw5at, cvqqwbdd3dttekkcooh7i80h6, 1g46yyjzlu0vqpk3w51scv1ed, 912y0yoa524suow0wvpbtwq1h, 803s6ja43m4i9jhl97jd37s2x, djqbki8jap3rp8l0izzly9tzo, 6fvujizi2c81rxbbble21p32t",3911735413,59,"18, 20, 93, 4, 33, 23, 6, 8, 19, 15, 22, 1, 9, 10, 13, 17, 30, 42, 77, 95",3911735417,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3911735419,194,9sfjkb99h1b1obdmedrecag9h,3911735421,197,377,3911735411,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484872833,2,32,1,0,0,cgvbluoerzbzcr7aaxge3wkcv,1,0,0,2022-11-12T18:00:09.060Z,2022-11-12T18:00:10Z,3911891545,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484872821,2,32,1,0,0,dich5v7sw466smbqap0d9rbyj,1,0,0,2022-11-12T18:00:09.060Z,2022-11-14T23:37:55Z,3911891495,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484872851,3,1,1,0,0,dich5v7sw466smbqap0d9rbyj,1,49.7,50.1,2022-11-12T18:00:09.073Z,2022-11-15T08:55:53Z,3917426883,178,,3911891621,141,58.8,3911891619,140,35.1,3911891617,56,Back,3911891625,213,2.8,3911891627,279,S,3911891623,212,16.4,,,,bzt6oj1d4d2x3qez55hlvzpwp,Oday Dabbagh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484872909,4,1,1,0,1,dich5v7sw466smbqap0d9rbyj,1,35.1,58.8,2022-11-12T18:00:10.941Z,2022-11-15T08:55:57Z,3911891909,56,Right,3911891913,140,64.0,3911891917,141,5.9,3911891905,155,,3911891919,212,47.1,3917426925,178,,3911891923,1,,3911891921,213,5.4,7nrjutc015x9nupdcl4hj3l5h,David Simão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484872929,5,1,1,0,6,dich5v7sw466smbqap0d9rbyj,1,63.7,6.4,2022-11-12T18:00:15.200Z,2022-11-15T08:55:58Z,3917426937,178,,3911891991,56,Back,3911891995,141,10.6,3911891999,213,3.0,3911891993,140,41.9,3911891997,212,23.1,,,,,,,clnli7y2s88p16yqtrbsb99sl,A. Bukia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484872957,6,1,1,0,7,dich5v7sw466smbqap0d9rbyj,1,42.2,13.1,2022-11-12T18:00:16.966Z,2022-11-15T08:56:07Z,3911892111,56,Back,3917427021,178,,3911892115,141,30.3,3911892117,212,15.4,3911892113,140,32.7,3911892119,213,2.3,,,,,,,djb8j3hb7mnnghg9jmd15w0r9,Tiago Esgaio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484873013,7,1,1,0,9,dich5v7sw466smbqap0d9rbyj,1,32.6,30.6,2022-11-12T18:00:18.556Z,2022-11-15T08:56:13Z,3911892333,212,10.1,3911892335,213,6.0,3911892329,140,41.7,3911892327,56,Back,3911892331,141,25.8,3917427091,178,,,,,,,,8zt0zlypar7m1eqj4zu8ul695,João Basso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484873065,8,61,1,0,10,dich5v7sw466smbqap0d9rbyj,0,41.7,25.8,2022-11-12T18:00:19.582Z,2022-11-15T08:56:15Z,3917427119,178,,3911892539,56,Back,,,,,,,,,,,,,,,,,,,1doj252anzqdzn5fknqr5i31l,I. Soro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
