id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/13/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/14/value,qualifier/17/value,qualifier/15/value
2469738945,4,61,1,0,8,3b4nxgvmwzstmoq6borytkwx1,1,42.2,22.7,2022-10-09T14:32:35.653Z,2022-10-12T03:57:06Z,3832044505,56,Back,3837695593,178,,,,,,,,,,,,,,,,,,,,3weuuu2vlyod9x7gnk2v9r1ed,V. Sasso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469738999,5,49,1,0,13,3b4nxgvmwzstmoq6borytkwx1,1,21.3,30,2022-10-09T14:32:40.013Z,2022-10-12T03:57:18Z,,,,,,,,,,,,,,,,,,,,,,,,,c406oul95r3jvmbebcge5oz4l,R. Abascal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469739033,6,1,1,0,13,3b4nxgvmwzstmoq6borytkwx1,1,21.3,30,2022-10-09T14:32:40.051Z,2022-10-12T03:57:22Z,3832044965,141,47.2,3832044969,213,2.4,3832044967,212,17.3,3832044961,56,Back,3832044963,140,9.2,3837695699,178,,,,,,,,c406oul95r3jvmbebcge5oz4l,R. Abascal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469739053,7,1,1,0,14,3b4nxgvmwzstmoq6borytkwx1,0,9.2,47.2,2022-10-09T14:32:41.505Z,2022-10-12T03:57:25Z,3832045059,155,,3832045073,213,5.8,3832045063,140,43.0,3832045061,56,Back,3832045075,1,,3832045069,212,40.4,3837695719,178,,3832045065,141,18.9,ekjpc2tvdk5jtiamtufdqkr85,Rafael Bracali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469739085,8,1,1,0,17,7kfx3xpj2c2wxinsyi16i9gaz,0,57.4,81.5,2022-10-09T14:32:44.114Z,2022-10-12T03:57:31Z,3832045245,3,,3832045249,140,65.0,3832045247,56,Center,3832045253,212,8.2,3832045251,141,78.8,3837695767,388,,3832045255,213,6.1,,,,68o93orxpx4ehs4dsa57521g5,Fábio China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469739187,8,1,1,0,20,3b4nxgvmwzstmoq6borytkwx1,1,35.9,29.4,2022-10-09T14:32:47.511Z,2022-10-12T03:57:44Z,3832045865,141,31.5,3832045869,213,3.0,3832045867,212,10.6,3832045861,56,Back,3832045863,140,25.9,3837695857,178,,,,,,,,4a4kjygjq5el2ylh7k660lul0,Pedro Malheiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469739205,9,1,1,0,22,3b4nxgvmwzstmoq6borytkwx1,1,25.9,31.5,2022-10-09T14:32:49.747Z,2022-10-12T03:57:50Z,3832045949,56,Back,3832045953,141,5.9,3832045951,140,31.3,3832045957,213,5.0,3832045955,212,18.3,3837695897,178,,,,,,,,c406oul95r3jvmbebcge5oz4l,R. Abascal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469739283,10,1,1,0,25,3b4nxgvmwzstmoq6borytkwx1,1,31.3,5.9,2022-10-09T14:32:51.983Z,2022-10-12T03:57:55Z,3832046361,56,Back,3837695927,178,,3832046367,212,16.0,3832046369,213,1.9,3832046365,141,28.0,3832046363,140,26.0,,,,,,,3weuuu2vlyod9x7gnk2v9r1ed,V. Sasso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469739325,11,1,1,0,31,3b4nxgvmwzstmoq6borytkwx1,1,24.1,33.6,2022-10-09T14:32:57.968Z,2022-10-12T03:58:04Z,3832046663,56,Back,3832046673,213,5.0,3832046671,212,14.8,3837695977,178,,3832046669,141,12.9,3832046667,140,28.3,,,,,,,c406oul95r3jvmbebcge5oz4l,R. Abascal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469739393,12,1,1,0,33,3b4nxgvmwzstmoq6borytkwx1,1,28.3,12.9,2022-10-09T14:33:00.530Z,2022-10-12T03:58:06Z,3832047009,140,24.2,3837696005,178,,3832047015,213,1.8,3832047011,141,40.4,3832047013,212,19.2,3832047003,56,Back,,,,,,,3weuuu2vlyod9x7gnk2v9r1ed,V. Sasso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469739431,13,1,1,0,36,3b4nxgvmwzstmoq6borytkwx1,1,23.7,49.3,2022-10-09T14:33:03.570Z,2022-10-12T03:58:10Z,3832047233,56,Back,3837696027,178,,3832047237,141,83.9,3832047241,213,1.6,3832047235,140,23.9,3832047239,212,23.5,,,,,,,c406oul95r3jvmbebcge5oz4l,R. Abascal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469739467,14,1,1,0,39,3b4nxgvmwzstmoq6borytkwx1,1,24.2,85.4,2022-10-09T14:33:06.801Z,2022-10-12T03:58:13Z,3837696051,178,,3832047461,213,1.3,3832047453,141,95.3,3832047449,56,Back,3832047455,212,7.0,3832047451,140,26.1,,,,,,,7aak50ydu8nrfxd9qndeygnpw,S. Onyemaechi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470788543,936,43,1,0,41,3b4nxgvmwzstmoq6borytkwx1,1,0,0,2022-10-09T14:33:08.100Z,2022-10-12T04:25:06Z,3837712991,178,0,3837713037,144,82,,,,,,,,,,,,,,,,,,,4ax49niuix9tiqdv05y3vbdn9,Ricardo Mangas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469739523,15,1,1,0,41,3b4nxgvmwzstmoq6borytkwx1,1,26.1,95.3,2022-10-09T14:33:08.217Z,2022-10-12T03:58:19Z,3832047833,213,3.7,3837696097,178,,3832047827,140,13.5,3832047829,141,83.3,3832047831,212,15.5,3832047825,56,Back,,,,,,,4ax49niuix9tiqdv05y3vbdn9,Ricardo Mangas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469739555,16,1,1,0,43,3b4nxgvmwzstmoq6borytkwx1,1,13.5,83.3,2022-10-09T14:33:10.681Z,2022-10-12T03:58:24Z,3832048033,213,4.3,3832048023,56,Back,3832048029,141,53.6,3837696125,178,,3832048025,140,4.9,3832048031,212,22.1,,,,,,,7aak50ydu8nrfxd9qndeygnpw,S. Onyemaechi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
