id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,assist,qualifier/11/value,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/18/value,qualifier/20/value
2467051267,1,34,16,0,0,ewsf6evtguu9j7k6js4tlgl89,1,0,0,2022-10-03T18:24:18.050Z,2022-10-03T19:14:15Z,3817643077,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3817643069,30,"4k2wic25asdlmuqr17e3s6nkl, 28lucwbes9q95s1j4mgy2s50q, 58r7rr6rqtji5m0bkdxmwqqui, dqpkkgodtwn11fgpq2c3tlqz9, 6wjwijfj7i2vvlsxzyzfb2cwl, d92r3s9hlaq3k56b503ovjfmd, 2ban1f798o92hq593c8a0nv11, 3sxd2j3a9d2bukfeu5y9824tl, edk9jemtelz51uoob4quyd4kq, bxbvbqfhiv1hivt3ttxum1uy1, 53unfq55ouhqni5jbl07fyqc5, 1vw6okufgzi8d2rx2yx3vuhux, dcj62hda8r17fx396ks6w79p1, 3uvek737jr8909is4vi1d9nxm, 6uubxxvwp558g19wxmprfqtw5, 64upo0p7ealjcpfkldjiqlvit, cwd95dwww2bs1d9wzjpw3ydx, 4kh6fkew5ktqq69izsqsdqmeh, ag5ozuf1o3ixkdrdb39g9dasp, 613xzggyqa0ugkmu2u6oxkmp5",3817643081,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3817643073,59,"33, 42, 5, 19, 13, 15, 27, 17, 99, 14, 7, 2, 3, 4, 6, 8, 11, 18, 68, 88",3817643079,194,6wjwijfj7i2vvlsxzyzfb2cwl,3817643071,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3817734855,197,7108,3817643075,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467051677,1,34,16,0,0,7kfx3xpj2c2wxinsyi16i9gaz,1,0,0,2022-10-03T18:25:53.588Z,2022-10-03T19:30:43Z,3817645529,194,8inrz9rna2z5lirsorindh0b9,3817645519,30,"8nesxmzgmtxcr5vu3881j6ane, 8q4m06v3yfsq2iza942ezaxud, 8jcuunhako2i9ynmp8v3w2eax, 5i5qgzbovli6pspg01ohrfdre, 8qn1z72et0w6bqw9mstopb7px, a00q0qj479gzj5hymx4ix5lp0, 8sg65mj881mnfd9wgtew01s5x, 922dtb3ppvsgvzysfjwg86jmx, 8inrz9rna2z5lirsorindh0b9, 3bysj69bufnbqx70q6ufzat49, 57xeumfhz5h30yn1168rgljah, 8fzbg2qdd8d00nwn1kinqr71m, 6dc5id3ucboy4yroiezgzapgq, bojn9itaxqzymbjj6et0o0onp, 1c8ki3i0dz0axlnd0vauzw9d6, 757f9x11lzcug3d6sn39d85wp, cqfw0fsbxyjb7mduk2hk27e1h, 17govndl49nve5d5h74bs5i0a, 68o93orxpx4ehs4dsa57521g5, c2o0vuyoiqyxmknotnq1ejbe2",3817645531,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3817645521,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3817645525,130,13,3817645523,59,"59, 2, 94, 66, 21, 3, 10, 16, 95, 23, 7, 57, 25, 8, 6, 11, 12, 34, 45, 98",3817734647,197,385,3817645527,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467068875,2,32,1,0,0,7kfx3xpj2c2wxinsyi16i9gaz,1,0,0,2022-10-03T19:17:24.133Z,2022-10-05T12:47:15Z,3817741931,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467068869,2,32,1,0,0,ewsf6evtguu9j7k6js4tlgl89,1,0,0,2022-10-03T19:17:24.133Z,2022-10-03T19:17:24Z,3817741913,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467068909,3,1,1,0,0,7kfx3xpj2c2wxinsyi16i9gaz,1,50,50,2022-10-03T19:17:24.158Z,2022-10-06T13:39:39Z,3817742083,140,33.0,3817742081,56,Back,3817742085,141,59.1,3817742089,213,2.8,3821215829,178,,3817742091,279,S,3817742087,212,18.9,,,,8inrz9rna2z5lirsorindh0b9,J. Tagueu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467068927,4,1,1,0,2,7kfx3xpj2c2wxinsyi16i9gaz,1,33,59.1,2022-10-03T19:17:26.537Z,2022-10-05T22:08:12Z,3821216437,178,,3817742167,141,93.6,3817742171,213,1.4,3817742163,56,Back,3817742169,212,24.0,3817742165,140,37.8,,,,,,,8qn1z72et0w6bqw9mstopb7px,João Afonso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467068957,5,1,1,0,5,7kfx3xpj2c2wxinsyi16i9gaz,1,37.8,93.6,2022-10-03T19:17:29.597Z,2022-10-05T22:08:18Z,3817742321,56,Back,3817742325,141,78.9,3817742329,213,3.7,3821216609,178,,3817742323,140,20.9,3817742327,212,20.4,,,,,,,8jcuunhako2i9ynmp8v3w2eax,Vitor Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467068967,6,1,1,0,7,7kfx3xpj2c2wxinsyi16i9gaz,1,20.9,78.9,2022-10-03T19:17:32.058Z,2022-10-05T22:08:25Z,3817742395,213,4.7,3821216901,178,,3817742391,212,32.1,3817742387,140,21.5,3817742385,56,Back,3817742389,141,31.7,3817742397,1,,,,,5i5qgzbovli6pspg01ohrfdre,Léo Andrade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467068997,7,1,1,0,12,7kfx3xpj2c2wxinsyi16i9gaz,1,21.5,31.7,2022-10-03T19:17:36.768Z,2022-10-05T22:09:18Z,3817742557,141,3.5,3817742561,213,5.2,3817742559,212,21.4,3817742555,140,30.6,3821218513,178,,3817742553,56,Back,,,,,,,a00q0qj479gzj5hymx4ix5lp0,M. Mosquera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467069001,8,1,1,0,14,7kfx3xpj2c2wxinsyi16i9gaz,1,30.6,3.5,2022-10-03T19:17:38.628Z,2022-10-05T22:09:23Z,3817742583,140,23.0,3817742589,213,2.1,3817742581,56,Back,3817742585,141,22.1,3817742587,212,15.0,3821218705,178,,,,,,,,8q4m06v3yfsq2iza942ezaxud,Cláudio Winck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
