id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/13/value,assist,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId
2530370017,1,34,16,0,0,co1i764h6b02husae71w6scs8,1,0,0,2023-04-08T15:51:34.653Z,2023-04-08T16:56:21Z,4172917407,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4172917409,59,"32, 18, 14, 22, 44, 23, 8, 24, 93, 15, 7, 1, 4, 19, 27, 35, 38, 53, 70, 99",4172917411,130,10,4172917405,30,"cpf5wp34pu80qzvcwakjhh905, 6gmfcfqd1o54zyepd9587nlqt, f29gq7ixyjd9m22yhmb7c7oq1, cgtz4fa0mz9poi4ju8bjtbwiy, 10va1tucy0kb83wllaudp7e95, 33j75k7nnzjit08r24zk00yy1, 293inynsy3ai0aawkdzpl7cnp, 52407m29h74ziyt19jty0od7t, 82fjdh9q4378gd1g9l1bimrx1, 7rfeo8qrjotskdx5e6bwk53h1, a6r7abntbrgsp8s69b0a8ngt1, r34leywn2c5158ldxrcde5l, 3hzw7c4kkol5okl9imvc70ij9, 2kvb94ocyvs7x1sbq73rr22nd, 3q1nhus52rnkt6nwvqmpb1ct0, 7apd6saozsmkhkm7ew06a5a6t, dvxwdpad8a1iatnwcpqvy3m5l, bpxafwc30rerxmgju6rcau8kp, 1zokl2zp7gtwlmj37kps6lnmx, awicgdcslcljo1mbmvochqlwq",4172917415,194,6gmfcfqd1o54zyepd9587nlqt,4172917413,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4172917417,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4173130299,197,3749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530372263,1,34,16,0,0,cgvbluoerzbzcr7aaxge3wkcv,1,0,0,2023-04-08T15:54:20.855Z,2023-04-08T16:56:39Z,4172929499,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4172929503,130,12,4172929507,194,e6ztipndwfp33c6j7yebsyx91,4172929509,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4172929497,30,"ckog922pr9vqy2ry4m7o5ag2d, degqtleco9n5tlt0yz3q5t9ii, djqbki8jap3rp8l0izzly9tzo, 8uxdtdynfnmlx0ro5iounze1, 75znincjirp1z8bcw9nhztxat, 803s6ja43m4i9jhl97jd37s2x, e6ztipndwfp33c6j7yebsyx91, 9kvoxdbnb5kt2dzy7kr0s7v11, 79mo2l821d5zq6dyrg9qkpf4l, 6fvujizi2c81rxbbble21p32t, 912y0yoa524suow0wvpbtwq1h, 5881z0950eh6003uukdwkuql0, 9sfjkb99h1b1obdmedrecag9h, 55r9zkckjjq4txriw3jhguwnp, 4agmh5fbf826bjrxtg3mw5at, c38u6t2mr5f441tcuxlwpulpm, 1g46yyjzlu0vqpk3w51scv1ed, 110maz3wmyhfk670un6ieloet, apjgf0d7fwwdsb06vdlsjyc45, 8lahho5viagd48ufvp582453p",4172929505,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4172929501,59,"18, 20, 77, 4, 33, 42, 6, 21, 22, 95, 30, 1, 8, 9, 10, 15, 17, 23, 27, 16",4173131351,197,9172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530413463,2,32,1,0,0,co1i764h6b02husae71w6scs8,1,0,0,2023-04-08T17:00:25.250Z,2023-04-10T08:18:15Z,4173142331,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530413481,2,32,1,0,0,cgvbluoerzbzcr7aaxge3wkcv,1,0,0,2023-04-08T17:00:25.250Z,2023-04-08T17:00:27Z,4173142381,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530413529,3,1,1,0,1,co1i764h6b02husae71w6scs8,1,49.9,49.9,2023-04-08T17:00:26.427Z,2023-04-10T08:18:47Z,4173142597,212,23.9,4173142593,140,27.2,4173142599,213,3.2,4173142601,279,S,4173142595,141,47.0,4173142591,56,Back,,,,,,,293inynsy3ai0aawkdzpl7cnp,Maurício,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530413591,4,1,1,0,3,co1i764h6b02husae71w6scs8,1,28.8,46.9,2023-04-08T17:00:28.348Z,2023-04-08T17:03:32Z,4173142883,1,,4173142871,155,,4173142881,213,0.5,4173142879,212,53.7,4173142875,140,73.7,4173142877,141,84.6,4173142873,56,Left,,,,10va1tucy0kb83wllaudp7e95,Pedrão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530413605,5,44,1,0,7,co1i764h6b02husae71w6scs8,1,81.2,89.4,2023-04-08T17:00:32.828Z,2023-04-08T17:24:36Z,4173142989,56,Left,4173143955,233,5,4173142991,286,,,,,,,,,,,,,,,,,f29gq7ixyjd9m22yhmb7c7oq1,M. Seck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530413777,5,44,1,0,7,cgvbluoerzbzcr7aaxge3wkcv,0,18.8,10.6,2023-04-08T17:00:32.829Z,2023-04-08T17:00:47Z,4173143959,233,5,4173143865,285,,4173143863,56,Back,,,,,,,,,,,,,,,,degqtleco9n5tlt0yz3q5t9ii,Costinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530413613,6,61,1,0,8,co1i764h6b02husae71w6scs8,1,75.1,85.5,2023-04-08T17:00:33.558Z,2023-04-08T17:00:33Z,4173143007,56,Left,,,,,,,,,,,,,,,,,,,,,,f29gq7ixyjd9m22yhmb7c7oq1,M. Seck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530413649,3,12,1,0,9,cgvbluoerzbzcr7aaxge3wkcv,1,11.5,15,2023-04-08T17:00:34.694Z,2023-04-08T17:00:36Z,4173143215,213,4.6,4173143207,56,Back,4173143237,167,,4173143209,140,10.5,4173143213,212,11.6,4173143211,141,0.0,,,,,,,803s6ja43m4i9jhl97jd37s2x,R. Pantalon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
