id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2499860081,1,34,16,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,0,0,2023-01-22T19:39:16.320Z,2023-01-22T20:30:57Z,3991049089,130,8,3991049095,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3991049087,59,"31, 6, 74, 97, 15, 4, 9, 28, 29, 7, 10, 1, 5, 12, 17, 18, 20, 23, 32, 77",3991049085,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3991049091,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3991049093,194,1zteujk5u3rpr028priato4bt,3991133999,197,6595,3991049083,30,"6ddxujeb3873j5evwiz8n4wt0, ck3l6a262hves3v6nywarx9pm, d98j4asio4xrxcwmfg1ak95yi, 1u9sn1cu0pq16mina2q6d6dwp, 1zteujk5u3rpr028priato4bt, 4ofpb9y2fqqr3d5cdfbl05c6h, 9wek84cn7z0ou46623nlo876y, e0k7beubxdswouhw13td0nlk9, 5fcx7aiflhvguztjw8mp53b9x, dh4byuuh5mlyp147iq8cyunkl, arpoe2kjx9pbacgpuv17yl33d, 9hqhder3adhjjovepuv4yst79, bxfalki1fmd687uj0b8e0m0np, 48li2iey0m9b8h8cvs6py2iy2, dkijqjb6nubobtobl4s2v8xxx, mf471kdl6wed3z8wlaazk82x, 76w964mdux2s3max2nlih6az8, 9g834yhraytmjoxb15098ey95, 6vvg5on86k2ldhs4pn2kua0vd, bvlwv6fwawqnv446zj516y4no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499860509,1,34,16,0,0,cgvbluoerzbzcr7aaxge3wkcv,1,0,0,2023-01-22T19:41:04.469Z,2023-01-22T21:16:02Z,3991051299,130,19,3991051297,59,"18, 20, 77, 33, 23, 4, 21, 10, 19, 95, 6, 1, 8, 9, 15, 22, 27, 30, 42, 93",3991051295,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3991051303,194,e6ztipndwfp33c6j7yebsyx91,3991051301,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3991133911,197,377,3991051293,30,"ckog922pr9vqy2ry4m7o5ag2d, degqtleco9n5tlt0yz3q5t9ii, djqbki8jap3rp8l0izzly9tzo, 75znincjirp1z8bcw9nhztxat, 110maz3wmyhfk670un6ieloet, 8uxdtdynfnmlx0ro5iounze1, 9kvoxdbnb5kt2dzy7kr0s7v11, 4agmh5fbf826bjrxtg3mw5at, 433k61rvy0ay7lcsyxd918r8p, 6fvujizi2c81rxbbble21p32t, e6ztipndwfp33c6j7yebsyx91, 5881z0950eh6003uukdwkuql0, 9sfjkb99h1b1obdmedrecag9h, 55r9zkckjjq4txriw3jhguwnp, c38u6t2mr5f441tcuxlwpulpm, 79mo2l821d5zq6dyrg9qkpf4l, apjgf0d7fwwdsb06vdlsjyc45, 912y0yoa524suow0wvpbtwq1h, 803s6ja43m4i9jhl97jd37s2x, 2rw2a005v9ehuopm1hf87uvah",3991051305,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499876209,2,32,1,0,0,cgvbluoerzbzcr7aaxge3wkcv,1,0,0,2023-01-22T20:30:43.741Z,2023-01-22T20:30:46Z,3991141475,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499876203,2,32,1,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,0,0,2023-01-22T20:30:43.741Z,2023-01-24T19:24:52Z,3991141453,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499876229,3,1,1,0,0,cgvbluoerzbzcr7aaxge3wkcv,1,50.5,49.9,2023-01-22T20:30:43.813Z,2023-01-25T04:34:47Z,3991141575,212,14.1,3991141577,213,3.7,3991141579,279,S,3994069895,178,,3991141573,141,39.1,3991141571,140,39.0,3991141569,56,Back,,,,6fvujizi2c81rxbbble21p32t,André Pereira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499876231,4,1,1,0,2,cgvbluoerzbzcr7aaxge3wkcv,1,39,39.1,2023-01-22T20:30:45.774Z,2023-01-25T04:34:53Z,3991141591,141,23.1,3991141593,212,13.5,3991141589,140,46.6,3991141595,213,5.3,3991141587,56,Back,3994069917,178,,,,,,,,4agmh5fbf826bjrxtg3mw5at,A. Oudrhiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499876249,5,1,1,0,4,cgvbluoerzbzcr7aaxge3wkcv,1,46.6,23.1,2023-01-22T20:30:47.918Z,2023-01-25T04:34:56Z,3991141665,212,16.3,3991141661,140,56.1,3991141663,141,4.1,3994069933,178,,3991141667,213,5.4,3991141659,56,Right,,,,,,,9kvoxdbnb5kt2dzy7kr0s7v11,João Graça,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499876277,6,1,1,0,6,cgvbluoerzbzcr7aaxge3wkcv,1,55.7,3.5,2023-01-22T20:30:50.513Z,2023-01-25T05:10:59Z,3991141793,212,9.9,3991141791,141,17.0,3991141787,56,Right,3994069967,178,,3991141795,213,2.0,3991141789,140,52.2,,,,,,,degqtleco9n5tlt0yz3q5t9ii,Costinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499876315,7,1,1,0,8,cgvbluoerzbzcr7aaxge3wkcv,1,46.1,18.5,2023-01-22T20:30:52.310Z,2023-01-25T04:35:09Z,3991141955,56,Back,3994069991,178,,3991141957,140,31.6,3991141959,141,27.4,3991141961,212,16.4,3991141963,213,2.8,,,,,,,9kvoxdbnb5kt2dzy7kr0s7v11,João Graça,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499876329,8,1,1,0,10,cgvbluoerzbzcr7aaxge3wkcv,1,29.4,32.2,2023-01-22T20:30:54.502Z,2023-01-25T04:35:12Z,3991142047,140,28.0,3991142049,141,50.0,3991142053,213,1.7,3991142045,56,Back,3991142051,212,12.2,3994070003,178,,,,,,,,110maz3wmyhfk670un6ieloet,Josué Sá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
