id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2448614385,1,34,16,0,0,7fn0aazbc8nx0u040aulozds1,1,0,0,2022-08-20T16:15:16.883Z,2022-08-20T17:07:13Z,3719624885,30,"9uc54rlxmahbfppv97zi81yhh, 8bcfmmsjnman2nsp2t9rsrvxm, chy52wzncc8ulmer9z2rebit, de1nmkgahbsrky75itebiitp1, 2amti8wga8jpons4mizksjd1x, 8f8lbg182g5jwnqbj1zgjbljp, 2gek3shxyc91h8bth9q8opyei, 575pl0igxsevhmf6nfmjwwyxh, hrr3761wvgn1ayhsrrz4rf11, 9xk50bv3qlja26r1ecary1y3t, bljvhirrui29i12tysjdtmnd, 10mmhviatbpx75fslh68s25lh, 3ynj76lod24r597rmhshxczpx, 19op8n866vmntrkobatq2u5ex, 4wces11j8ejvbpz1zqd94b7fu, eblsjvbkd7vws1qpx7td1eacp, 9pi6sf9sdni4dn6db7rej0r85, 77e2c0nv7hbmmo2uppdx4i7zd, adsrfhfo35n0tctahgcyqugru, e6a9772gyk37kw0dg3xieu9d5",3719624891,130,4,3719624893,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3719624887,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3719775513,197,10300,3719624897,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3719624889,59,"97, 82, 24, 8, 3, 5, 17, 20, 10, 22, 79, 4, 6, 7, 13, 19, 23, 29, 70, 99",3719624895,194,chy52wzncc8ulmer9z2rebit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448615511,1,34,16,0,0,alyavx3ad35bp1xuwmqk7sgev,1,0,0,2022-08-20T16:16:57.609Z,2022-08-20T17:04:30Z,3719630681,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3719630689,194,2b4soa2ddbbmdwm0ur760jh05,3719630683,59,"1, 77, 5, 6, 19, 3, 10, 8, 23, 73, 11, 2, 9, 16, 20, 21, 28, 30, 44, 70",3719630677,30,"1tkq6knbo350vy0o8aieijmxh, 9m66crpktao9g80wc8zi9y5ex, cmxmyld8l4gjy03zxskyxf5gq, 3r7hk2j6ubc60if92cm6jbsyy, z6po5y26nap863d68tcekhqt, 2nod7tpovdjb85efh2sogijth, 2b4soa2ddbbmdwm0ur760jh05, 3845lzar855rp3zp4stgmgul1, 1bpopqr7cuikh6s6sk4ij31ed, 361pxz5e33ydl2c3t63a9kzc9, duv5kjxwj07cwmfz8x200qyqy, 59ly8uun0sl324s7rtlmp6ac, 4x9vmtldr4xz9v58z7hgv00oa, 1w926qtyntprx5ommoaa5nhed, 7r96u3b7t46s0kg5t5qew3tnt, 1rdadi8uuu161wj8o7gbcn8wl, 5jsb62u7jx2vtblnbtxvttq3u, avugx69mdi4p8c25p9fetmq22, 530nhsyjmbwcpb8536pgwbld5, et4mglw8d0mwweghd2hmzz9jo",3719630687,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3719779315,197,16607,3719630685,130,4,3719630691,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448648193,2,32,1,0,0,alyavx3ad35bp1xuwmqk7sgev,1,0,0,2022-08-20T17:03:10.583Z,2022-08-22T18:21:11Z,3719796683,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448648165,2,32,1,0,0,7fn0aazbc8nx0u040aulozds1,1,0,0,2022-08-20T17:03:10.583Z,2022-08-20T17:03:10Z,3719796577,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448648249,3,1,1,0,0,7fn0aazbc8nx0u040aulozds1,1,50,50,2022-08-20T17:03:10.615Z,2022-08-22T18:27:50Z,3719796985,213,3.8,3719796979,140,42.3,3719796987,279,S,3719796977,56,Back,3719796983,212,10.2,3726829245,178,,3719796981,141,40.9,,,,de1nmkgahbsrky75itebiitp1,Raphael Guzzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448648275,4,1,1,0,1,7fn0aazbc8nx0u040aulozds1,1,42.3,40.9,2022-08-20T17:03:12.406Z,2022-08-22T18:27:55Z,3719797087,213,0.5,3719797079,140,52.9,3719797081,141,49.7,3726829455,178,,3719797083,212,12.6,3719797077,56,Center,,,,,,,575pl0igxsevhmf6nfmjwwyxh,Samú,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448648285,5,1,1,0,3,7fn0aazbc8nx0u040aulozds1,0,53.3,51.1,2022-08-20T17:03:13.945Z,2022-08-22T18:28:02Z,3719797123,56,Center,3719801833,140,55.0,3719801839,213,0.7,3726829731,178,,3719801835,141,53.4,3719801837,212,2.4,,,,,,,de1nmkgahbsrky75itebiitp1,Raphael Guzzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448648257,3,49,1,0,4,alyavx3ad35bp1xuwmqk7sgev,1,45.5,49.7,2022-08-20T17:03:15.235Z,2022-08-22T18:28:08Z,,,,,,,,,,,,,,,,,,,,,,,,,3845lzar855rp3zp4stgmgul1,João Mendes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448648407,4,1,1,0,7,alyavx3ad35bp1xuwmqk7sgev,1,45.5,46.6,2022-08-20T17:03:17.625Z,2022-08-22T18:28:14Z,3726830147,178,,3719797825,212,19.9,3719797827,213,5.3,3719797819,56,Center,3719797821,140,55.2,3719797823,141,21.5,,,,,,,3845lzar855rp3zp4stgmgul1,João Mendes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448648439,5,1,1,0,10,alyavx3ad35bp1xuwmqk7sgev,1,57.8,15.6,2022-08-20T17:03:20.995Z,2022-08-22T18:28:19Z,3719798017,212,7.8,3719798009,140,64.1,3719798021,213,0.6,3719798013,141,21.8,3726830343,178,,3719798005,56,Center,,,,,,,361pxz5e33ydl2c3t63a9kzc9,Bernardo Sousa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
