id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/8/value,qualifier/13/value,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,assist
2457944059,1,34,16,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,0,0,2022-09-10T13:40:00.892Z,2022-09-10T14:43:34Z,3769294097,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3769294099,59,"31, 22, 5, 25, 15, 4, 7, 28, 9, 97, 74, 6, 8, 11, 13, 14, 17, 20, 29, 95",3769294101,130,8,3769294095,30,"6ddxujeb3873j5evwiz8n4wt0, ao3sbh3qpdxwb7vhzmaqnpqp6, bxfalki1fmd687uj0b8e0m0np, 1whf50hjb4jhz9119qvtdov6d, 1zteujk5u3rpr028priato4bt, 4ofpb9y2fqqr3d5cdfbl05c6h, dh4byuuh5mlyp147iq8cyunkl, e0k7beubxdswouhw13td0nlk9, 5v4xejh2rnvkrqnvpz4eu2lt5, 1u9sn1cu0pq16mina2q6d6dwp, d98j4asio4xrxcwmfg1ak95yi, ck3l6a262hves3v6nywarx9pm, 6jkfecnicg5ilzy44x7ld7u1h, 3vba6x3mml1ytp8tac9eggtpm, dtxysky39b63q1rdmg9df7tn9, 7y5oyflivt56zuwoyzs2q20ru, dkijqjb6nubobtobl4s2v8xxx, 76w964mdux2s3max2nlih6az8, 5fcx7aiflhvguztjw8mp53b9x, 70hnojvt05azfjppu0bkroahg",3769294105,194,1zteujk5u3rpr028priato4bt,3769535417,197,6595,3769294103,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3769294107,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457946051,1,34,16,0,0,9ldqu49smv1xg2va0n2cy28zl,1,0,0,2022-09-10T13:41:35.929Z,2022-09-10T14:26:20Z,3769304095,194,x32fbvwwxkda9ruezw67b3dh,3769304093,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3769304097,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3769533551,197,368,3769304085,30,"7jtc6yk5xu4cm1an97wrgozbp, 7qwzed85qna21zisvvatrjlxx, 12f4mz064elnxecq2srl7r6j9, 1zxwich342p8fholev7ddkwh6, 2p86mzr8qnu9iy01fusvovf56, x32fbvwwxkda9ruezw67b3dh, 7pi4j76iy3cfh0bfkxf9x8ell, 5t952swvuoed4pdwgbi4yjhex, bxcpii8qeyw2duignml45sc15, 37ao6cj3w5pd5v5ap79fqlxw5, 36fznb9hzqvn6lnlla7f3ycwl, 9j0v9bomstpbku7nnmqp8n7c9, 4dh4ws8ehn6uywozt6ygczs2d, e81dfbtza1g8v3lozf39x3f85, 1dbqn5cjyvqlpylc1jazos3it, yzee990gbkpl00qdgr6h3r2t, 18mddnpa54ygoaefaj0c5obf9, a5kkysp7c5f577ji17q5v2k0l, 8uj1pf52hctbd2uxjz4s4tnxm, b2f67gkfb59hda2vka59e7qol",3769304091,130,8,3769304087,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3769304089,59,"99, 2, 3, 13, 66, 30, 7, 61, 33, 27, 93, 6, 8, 17, 18, 22, 23, 25, 39, 77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457994505,2,32,1,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,0,0,2022-09-10T14:31:26.083Z,2022-09-12T21:27:25Z,3769549717,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457994489,2,32,1,0,0,9ldqu49smv1xg2va0n2cy28zl,1,0,0,2022-09-10T14:31:26.083Z,2022-09-10T14:31:26Z,3769549643,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457994541,3,1,1,0,0,9ldqu49smv1xg2va0n2cy28zl,1,50.2,50.1,2022-09-10T14:31:26.178Z,2022-09-12T22:10:15Z,3769549921,213,3.8,3776872789,178,,3769549923,279,S,3769549913,56,Back,3769549915,140,38.2,3769549919,212,15.8,3769549917,141,36.1,,,,bxcpii8qeyw2duignml45sc15,P. Musa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457994587,4,1,1,0,1,9ldqu49smv1xg2va0n2cy28zl,1,42.4,34.2,2022-09-10T14:31:27.709Z,2022-09-12T22:10:19Z,3769550179,56,Center,3776872809,178,,3769550181,140,50.4,3769550185,212,10.1,3769550183,141,26.0,3769550189,213,5.7,,,,,,,5t952swvuoed4pdwgbi4yjhex,Florentino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457994653,5,1,1,0,2,9ldqu49smv1xg2va0n2cy28zl,1,51.1,27.4,2022-09-10T14:31:28.758Z,2022-09-12T22:10:22Z,3769550545,212,8.1,3769550543,141,31.0,3769550547,213,2.8,3769550541,140,43.7,3776872875,178,,3769550539,56,Back,,,,,,,7pi4j76iy3cfh0bfkxf9x8ell,David Neres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457994671,6,1,1,0,3,9ldqu49smv1xg2va0n2cy28zl,1,45.9,28.9,2022-09-10T14:31:29.940Z,2022-09-12T22:10:26Z,3769550643,56,Back,3769550645,140,35.0,3769550647,141,7.1,3769550649,212,18.7,3776872907,178,,3769550651,213,4.1,,,,,,,5t952swvuoed4pdwgbi4yjhex,Florentino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458035333,608,1,1,0,5,9ldqu49smv1xg2va0n2cy28zl,1,34.5,5.9,2022-09-10T14:31:31.611Z,2022-09-12T22:10:29Z,3769754043,213,1.8,3769754035,56,Back,3769754041,212,13.5,3776872945,178,,3769754037,140,31.4,3769754039,141,25.1,,,,,,,7qwzed85qna21zisvvatrjlxx,Gilberto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457994691,7,1,1,0,8,9ldqu49smv1xg2va0n2cy28zl,1,19.7,30.5,2022-09-10T14:31:34.275Z,2022-09-12T22:10:34Z,3769550739,56,Back,3769550741,140,17.8,3769550747,213,1.7,3769550745,212,23.9,3769550743,141,65.5,3776873005,178,,,,,,,,2p86mzr8qnu9iy01fusvovf56,António Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
