id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,keyPass,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/19/value,assist,qualifier/18/value
2449491561,1,34,16,0,0,co1i764h6b02husae71w6scs8,1,0,0,2022-08-21T18:36:15.338Z,2022-08-23T14:46:51Z,3724276485,59,"94, 18, 14, 22, 44, 4, 38, 21, 99, 93, 24, 3, 6, 8, 17, 19, 20, 30, 32, 70",3724517149,197,3749,3724276483,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3724276487,130,12,3724276489,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3724276491,194,3vwbsaoy8f2vc4kkad4ipv3kl,3724276493,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3724276481,30,"5tlj5yw513al38b6uvzmslfbp, 6gmfcfqd1o54zyepd9587nlqt, f29gq7ixyjd9m22yhmb7c7oq1, cgtz4fa0mz9poi4ju8bjtbwiy, 10va1tucy0kb83wllaudp7e95, 7sedwtw16nm2tr4496xu6qvop, dvxwdpad8a1iatnwcpqvy3m5l, 3vwbsaoy8f2vc4kkad4ipv3kl, awicgdcslcljo1mbmvochqlwq, 82fjdh9q4378gd1g9l1bimrx1, 52407m29h74ziyt19jty0od7t, db6kkpr65v0zlrlx1cr5almcq, 9lwpckbeu2ymqlmq6288bdjvt, 9788pzgd21d94wye06ryneoyd, 5j9k3rz7a8z7zx91hxetr6v6y, 2kvb94ocyvs7x1sbq73rr22nd, 1c0ymbcylpp4ty7n34inspffu, 3vth7chxafg6828kg2xseimwa, cpf5wp34pu80qzvcwakjhh905, 1zokl2zp7gtwlmj37kps6lnmx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449493657,1,34,16,0,0,8gvg1ranyf93hprfkwx3ofl2y,1,0,0,2022-08-21T18:40:11.338Z,2022-08-21T19:28:00Z,3724287781,130,8,3724515085,197,13271,3724287787,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3724287779,59,"14, 2, 5, 22, 13, 3, 7, 10, 33, 70, 11, 20, 23, 25, 38, 63, 76, 80, 98, 83",3724287777,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3724287785,194,2accix9saahg900cja5e9iw9h,3724287775,30,"2accix9saahg900cja5e9iw9h, d30uqfrs7mqb6jnj99qgyr28k, ay10c4r23f0tlyuqytje0ack4, 2lur2ts61wwrsvih1lb1jee50, bot4jd6s4g69w5wvtn9qlevx0, 6ram2zlda1gvj947zzmab68r9, 53sq02gs09i7chjvx2zfwdaz9, 7bizatqq8lesywgb68x9cizmd, evwzikhqpwulci3y20ckeoc15, 9dc4qkvh0vk5kwymibji00kp, 1ziaf8ivlizetjhinr9ua6uax, 4tyjzyixiz32zfs37qs4u6ve2, bz64q1gkwqtlc749oqqqzm5wq, 3yolt0tc40fjqupa2ea4epka1, 20qxviornp26t0t8oq8xuyi5m, e2nsy4zv5hw9x13mp604tr8ix, 3f2otwd2ozwk89319ssh9yjmd, 1qcf5gb8wf8f4tu94xh96yqy, bgcphqeckm71jpbnzjivrnug9, 5desb812yn2icc8d2lew7lu22",3724287783,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449537377,2,32,1,0,0,co1i764h6b02husae71w6scs8,1,0,0,2022-08-21T19:32:30.839Z,2022-08-23T20:17:15Z,3724537347,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449537353,2,32,1,0,0,8gvg1ranyf93hprfkwx3ofl2y,1,0,0,2022-08-21T19:32:30.839Z,2022-08-21T19:32:31Z,3724537221,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449537451,3,1,1,0,0,8gvg1ranyf93hprfkwx3ofl2y,1,50.1,50.1,2022-08-21T19:32:30.885Z,2022-08-24T06:08:11Z,3724537747,279,S,3724537743,212,18.9,3724537739,140,32.2,3724537745,213,3.0,3724537737,56,Back,3724537741,141,52.8,3729085819,178,,,,,9dc4qkvh0vk5kwymibji00kp,André Almeida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449537481,4,1,1,0,5,8gvg1ranyf93hprfkwx3ofl2y,0,36,52.1,2022-08-21T19:32:36.409Z,2022-08-24T06:08:16Z,3724537913,212,39.5,3724537905,155,,3724537915,213,0.1,3724537907,56,Center,3724537909,140,73.3,3724537911,141,59.3,3724537917,1,,3729085877,178,,6ram2zlda1gvj947zzmab68r9,M. Villanueva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449537537,3,1,1,0,8,co1i764h6b02husae71w6scs8,0,27.7,49,2022-08-21T19:32:39.527Z,2022-08-24T06:08:31Z,3724538175,56,Back,3724538183,213,0.1,3724538173,3,,3724538177,140,42.9,3724538179,141,51.9,3729086035,388,,3724538181,212,16.1,,,,10va1tucy0kb83wllaudp7e95,Pedrão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449537567,5,1,1,0,10,8gvg1ranyf93hprfkwx3ofl2y,0,55.9,49,2022-08-21T19:32:41.500Z,2022-08-24T06:08:37Z,3724538325,3,,3724538331,141,59.7,3729086079,388,,3724538327,56,Center,3724538329,140,68.1,3724538335,213,0.5,3724538333,212,14.7,,,,2lur2ts61wwrsvih1lb1jee50,I. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449537625,4,1,1,0,12,co1i764h6b02husae71w6scs8,1,26.7,49.7,2022-08-21T19:32:43.180Z,2022-08-24T06:08:46Z,3724538655,213,1.2,3724538653,212,16.4,3729086161,388,,3724538645,3,,3724538651,141,71.8,3724538649,140,33.0,3724538647,56,Back,,,,dvxwdpad8a1iatnwcpqvy3m5l,Paulo Estrela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449537631,5,49,1,0,14,co1i764h6b02husae71w6scs8,1,33,71.8,2022-08-21T19:32:45.333Z,2022-08-24T06:08:54Z,,,,,,,,,,,,,,,,,,,,,,,,,f29gq7ixyjd9m22yhmb7c7oq1,M. Seck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
