id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,assist,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId
2480108233,1,34,16,0,0,8gvg1ranyf93hprfkwx3ofl2y,1,0,0,2022-10-31T19:18:08.200Z,2022-10-31T20:08:36Z,3887134145,197,4663,3887057301,194,2accix9saahg900cja5e9iw9h,3887057293,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3887057297,130,17,3887057291,30,"2accix9saahg900cja5e9iw9h, exasml2zx1pe8runrm6oh5dsk, 9avbe1i215rk0o2j16iq0u2nd, 6ram2zlda1gvj947zzmab68r9, 2lur2ts61wwrsvih1lb1jee50, bot4jd6s4g69w5wvtn9qlevx0, 1qcf5gb8wf8f4tu94xh96yqy, 2cs8bo4l70gbkudh3gqazb105, evwzikhqpwulci3y20ckeoc15, 4tyjzyixiz32zfs37qs4u6ve2, 1899balq50r7vbqqf8qwjlxpl, 53sq02gs09i7chjvx2zfwdaz9, 35csuq89nc1zgpc4j2mdav6jt, 1ziaf8ivlizetjhinr9ua6uax, bz64q1gkwqtlc749oqqqzm5wq, 3yolt0tc40fjqupa2ea4epka1, 20qxviornp26t0t8oq8xuyi5m, e2nsy4zv5hw9x13mp604tr8ix, 5desb812yn2icc8d2lew7lu22, bgcphqeckm71jpbnzjivrnug9",3887057295,59,"14, 28, 72, 3, 22, 13, 80, 21, 33, 20, 90, 7, 9, 11, 23, 25, 38, 63, 83, 98",3887057299,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3887057303,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480117599,1,34,16,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,0,0,2022-10-31T19:48:00.759Z,2022-10-31T20:14:37Z,3887107103,59,"31, 6, 74, 12, 15, 4, 28, 97, 10, 19, 14, 1, 2, 5, 7, 8, 9, 22, 25, 29",3887144635,197,6594,3887107101,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3887107105,130,4,3887107111,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3887107109,194,1zteujk5u3rpr028priato4bt,3887107099,30,"6ddxujeb3873j5evwiz8n4wt0, ck3l6a262hves3v6nywarx9pm, d98j4asio4xrxcwmfg1ak95yi, 48li2iey0m9b8h8cvs6py2iy2, 1zteujk5u3rpr028priato4bt, 4ofpb9y2fqqr3d5cdfbl05c6h, e0k7beubxdswouhw13td0nlk9, 1u9sn1cu0pq16mina2q6d6dwp, arpoe2kjx9pbacgpuv17yl33d, eika2197gwlmjq70xdvisoe09, 7y5oyflivt56zuwoyzs2q20ru, 9hqhder3adhjjovepuv4yst79, zj7p9urhzbk3naybai223js9, bxfalki1fmd687uj0b8e0m0np, dh4byuuh5mlyp147iq8cyunkl, 6jkfecnicg5ilzy44x7ld7u1h, 5v4xejh2rnvkrqnvpz4eu2lt5, ao3sbh3qpdxwb7vhzmaqnpqp6, 1whf50hjb4jhz9119qvtdov6d, 5fcx7aiflhvguztjw8mp53b9x",3887107107,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480125151,2,32,1,0,0,8gvg1ranyf93hprfkwx3ofl2y,1,0,0,2022-10-31T20:16:07.120Z,2022-11-02T19:05:05Z,3887147167,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480125159,2,32,1,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,0,0,2022-10-31T20:16:07.120Z,2022-10-31T20:16:08Z,3887147199,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480125167,3,1,1,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,49.9,50.3,2022-10-31T20:16:07.147Z,2022-11-03T05:41:27Z,3887147233,56,Back,3887147235,140,46.8,3887147239,212,3.5,3887147243,279,S,3887147237,141,48.3,3890168743,178,,3887147241,213,3.5,,,,arpoe2kjx9pbacgpuv17yl33d,Iván Jaime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480125173,4,1,1,0,1,5c0sf1eaipcxvdw9o22of2jdp,1,46.2,48.1,2022-10-31T20:16:08.236Z,2022-11-02T22:20:55Z,3890168855,178,,3887147277,56,Back,3887147283,212,28.4,3887147279,140,29.5,3887147285,213,2.2,3887147281,141,81.0,,,,,,,1u9sn1cu0pq16mina2q6d6dwp,S. Colombatto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480125185,5,1,1,0,4,5c0sf1eaipcxvdw9o22of2jdp,1,27,79.3,2022-10-31T20:16:11.945Z,2022-11-02T22:21:06Z,3887147357,140,2.6,3887147361,212,33.4,3887147365,1,,3887147363,213,3.8,3887147359,141,47.9,3887147355,56,Back,3890169033,178,,,,,4ofpb9y2fqqr3d5cdfbl05c6h,E. Mihaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480125189,6,1,1,0,8,5c0sf1eaipcxvdw9o22of2jdp,1,3,45.8,2022-10-31T20:16:15.267Z,2022-11-02T22:21:12Z,3887147397,56,Back,3890169105,178,,3887147403,212,20.7,3887147399,140,12.6,3887147401,141,19.2,3887147405,213,5.2,,,,,,,6ddxujeb3873j5evwiz8n4wt0,Luíz Júnior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480125203,7,1,1,0,10,5c0sf1eaipcxvdw9o22of2jdp,1,13.1,17.6,2022-10-31T20:16:17.902Z,2022-11-02T22:21:17Z,3890169187,178,,3887147487,213,5.3,3887147485,212,11.5,3887147481,140,19.5,3887147479,56,Back,3887147483,141,3.9,,,,,,,1zteujk5u3rpr028priato4bt,Riccieli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480125209,8,1,1,0,12,5c0sf1eaipcxvdw9o22of2jdp,0,19.7,11.5,2022-10-31T20:16:19.821Z,2022-11-02T22:21:21Z,3887147511,141,17.0,3887147515,213,0.2,3887147509,140,43.2,3887147505,155,,3887147513,212,25.0,3887147507,56,Back,3890169207,178,,,,,ck3l6a262hves3v6nywarx9pm,Alexandre Penetra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
