id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/11/value,qualifier/12/value,qualifier/15/value,keyPass,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/14/value
2522696953,1,34,16,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,0,0,2023-03-19T19:32:58.846Z,2023-03-19T20:28:30Z,4111422829,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4111422825,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4111422819,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4111422827,194,1zteujk5u3rpr028priato4bt,4111422823,130,8,4111580487,197,6994,4111422817,30,"6ddxujeb3873j5evwiz8n4wt0, ck3l6a262hves3v6nywarx9pm, d98j4asio4xrxcwmfg1ak95yi, 1u9sn1cu0pq16mina2q6d6dwp, 1zteujk5u3rpr028priato4bt, 4ofpb9y2fqqr3d5cdfbl05c6h, 9g834yhraytmjoxb15098ey95, e0k7beubxdswouhw13td0nlk9, 4owddsmmbkkv0vbcj0fz0hlud, dh4byuuh5mlyp147iq8cyunkl, arpoe2kjx9pbacgpuv17yl33d, 9hqhder3adhjjovepuv4yst79, zj7p9urhzbk3naybai223js9, bxfalki1fmd687uj0b8e0m0np, 9wek84cn7z0ou46623nlo876y, 48li2iey0m9b8h8cvs6py2iy2, mf471kdl6wed3z8wlaazk82x, 76w964mdux2s3max2nlih6az8, 5fcx7aiflhvguztjw8mp53b9x, 6vvg5on86k2ldhs4pn2kua0vd",4111422821,59,"31, 6, 74, 97, 15, 4, 23, 28, 70, 7, 10, 1, 2, 5, 9, 12, 18, 20, 29, 32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522698915,1,34,16,0,0,3b4nxgvmwzstmoq6borytkwx1,1,0,0,2023-03-19T19:36:47.165Z,2023-03-19T20:32:04Z,4111433603,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4111433607,130,4,4111433601,30,"ekjpc2tvdk5jtiamtufdqkr85, 4a4kjygjq5el2ylh7k660lul0, 7aak50ydu8nrfxd9qndeygnpw, eyllkbdemtx2seh48r9l3czbp, 3ebyf23azgbktpf7dgwlphkvd, c406oul95r3jvmbebcge5oz4l, 47wasen155qbiu6pmyp3dowr9, 96tuk7bpr043jh2obpegcgd4a, rm1d0hp2iwsne1hbfgq0oa21, aissbbcnwyr06fhgfamxo9j2t, 4ax49niuix9tiqdv05y3vbdn9, 6w3iuh0f11tbwr037i7qb031m, 5za437wrlqizff74n6uqodpzp, 3batawbh7y4sjkeo4hn34svzd, 6a34imgccsbw4zysasuziuad, 90ojk78yhwtwbnz0k5w1ow6hh, ap2l08x0nj8xqvvrfp796rmj9, 57pi7l4h7g2jydmkc5vl6vkr9, 3weuuu2vlyod9x7gnk2v9r1ed, 6ylhhspjzxqrbqj4yq35hwkr8",4111433605,59,"1, 79, 70, 42, 2, 26, 24, 13, 11, 8, 19, 6, 7, 9, 12, 18, 20, 21, 23, 59",4111433611,194,ekjpc2tvdk5jtiamtufdqkr85,4111433609,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4111433613,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4111589431,197,1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522727675,2,32,1,0,0,3b4nxgvmwzstmoq6borytkwx1,1,0,0,2023-03-19T20:30:53.301Z,2023-03-19T20:30:55Z,4111586441,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522727665,2,32,1,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,0,0,2023-03-19T20:30:53.301Z,2023-03-19T20:30:53Z,4111586379,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522727695,3,1,1,0,1,3b4nxgvmwzstmoq6borytkwx1,1,50.1,49.7,2023-03-19T20:30:54.401Z,2023-03-19T21:18:16Z,4111586533,213,3.2,4111586531,212,18.9,4111586527,140,32.1,4111586535,279,S,4111586529,141,48.0,4111586525,56,Back,,,,,,,47wasen155qbiu6pmyp3dowr9,S. Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522727699,4,1,1,0,4,3b4nxgvmwzstmoq6borytkwx1,0,30.8,50.6,2023-03-19T20:30:57.456Z,2023-03-19T20:30:58Z,4111586561,141,85.0,4111586551,155,,4111586563,212,42.1,4111586567,1,,4111586559,140,64.1,4111586555,56,Left,4111586565,213,0.6,,,,3ebyf23azgbktpf7dgwlphkvd,R. Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522727707,3,1,1,0,5,5c0sf1eaipcxvdw9o22of2jdp,0,27.8,12.9,2023-03-19T20:30:58.520Z,2023-03-19T20:30:59Z,4111586599,56,Right,4111586605,212,28.3,4111586597,3,,4111586601,140,54.6,4111586607,213,0.1,4111586603,141,17.6,,,,,,,ck3l6a262hves3v6nywarx9pm,Alexandre Penetra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522727731,5,1,1,0,8,3b4nxgvmwzstmoq6borytkwx1,0,41.3,88.6,2023-03-19T20:31:01.904Z,2023-03-19T20:31:04Z,4111586777,213,0.2,4111586773,141,94.2,4111586767,3,,4111586771,140,59.7,4111586775,212,19.7,4111586769,56,Left,,,,,,,7aak50ydu8nrfxd9qndeygnpw,S. Onyemaechi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522727733,6,44,1,0,8,3b4nxgvmwzstmoq6borytkwx1,1,63.4,92.8,2023-03-19T20:31:01.941Z,2023-03-19T21:27:18Z,4111586787,286,,4111586853,233,4,4111586785,56,Left,,,,,,,,,,,,,,,,4ax49niuix9tiqdv05y3vbdn9,Ricardo Mangas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522727717,4,44,1,0,8,5c0sf1eaipcxvdw9o22of2jdp,0,36.6,7.2,2023-03-19T20:31:01.942Z,2023-03-19T21:21:20Z,4111586695,285,,4111586693,56,Back,4111586821,233,6,,,,,,,,,,,,,,,,ck3l6a262hves3v6nywarx9pm,Alexandre Penetra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
