id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/13/value,qualifier/15/value
2506503639,1,34,16,0,0,dich5v7sw466smbqap0d9rbyj,1,0,0,2023-02-11T17:03:55.841Z,2023-02-11T17:59:55Z,4025811693,194,8zt0zlypar7m1eqj4zu8ul695,4025811695,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4025983445,197,390,4025811687,59,"12, 21, 6, 5, 13, 44, 2, 23, 15, 10, 11, 7, 16, 3, 8, 9, 14, 17, 18, 20",4025811691,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4025811683,30,"25n2vrjnz5qsm5pigyn3ps8vd, bdgqvvkpadpthmlm40wa6dcyx, ds66cc3zwxbyl5zfzag5422g9, 7nrjutc015x9nupdcl4hj3l5h, 8zt0zlypar7m1eqj4zu8ul695, 43mnaysq76cz587wxk8w3job9, 9l70xwbhc0xr57iifzyxzot7t, 1doj252anzqdzn5fknqr5i31l, bzt6oj1d4d2x3qez55hlvzpwp, 3w3z6g8x70ii3pltaxyxbycwl, dh3ddfghtgeb2iu2608y96i5m, c2hmvhnurdg1vw49j45dw2jca, 12uvfzb3xe7bk4h6xl6c8cet, 1ni0afs55daxlb5ocaqb2o8vd, c0pat4dqmsc4teand5ampsdlh, 4effb0zguv2lqtv2vl9lqb696, 1nqpxso2a9qw8w8g6u4sb60ut, 1swp008ttj3pd57fz5uw8mctm, eswp4t4r8ktirsnkodz26gyui, 79ir6aubulzanvonfbgngk5hx",4025811689,130,8,4025811685,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506505319,1,34,16,0,0,cmbqc74mshg77ra7mywec2a6b,1,0,0,2023-02-11T17:06:30.357Z,2023-02-11T18:02:59Z,4025820521,130,7,4025820527,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4025820519,59,"12, 13, 16, 40, 4, 44, 49, 80, 24, 11, 7, 31, 2, 3, 6, 9, 20, 22, 37, 74",4025820515,30,"byk4cll4gdgp2n5ocxrb5j1t5, 3776gjrdiqfvch2wk5kde2w2x, 5zbaigi2kpo930z50irfq11p1, 5u3nf7qbreypvi8rut8n8smhh, aw1gqkqpznn5ku7ca9hy2skix, l8ewedihgtz1oz6ikm333mz8, 2r6ma23qtyq2l18m21eksjp7u, d7k81mlt4vh9lex8fd10tigh5, 2vsfek9vs6zdvueb4v23vrj6d, 4h2rr9ltxtw6w2hgzm0tu5jo5, 36zf6j90b94qls6y50c1xgi51, 66jgw85uti6qsgxmlkzz2726t, 3qbeypoqvj93wzbbqd1upx7f9, e7daok5mn6xq7q5sfi5r13105, 9kn7hs1nbc0rcismky05z6zmx, 35y61220qzlyedki00vfmioyx, 5k74ofoqel095frhszvdmxbhm, es75u7djersp0p9nefh0wx756, 17zcm8ikgfdl5o4c7o5yhulpm, 257e4odsfzeqbdyhbqtpokbth",4025983035,197,13168,4025820525,194,5zbaigi2kpo930z50irfq11p1,4025820523,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4025820517,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506539485,2,32,1,0,0,dich5v7sw466smbqap0d9rbyj,1,0,0,2023-02-11T18:02:28.475Z,2023-02-13T18:55:00Z,4025993785,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506539473,2,32,1,0,0,cmbqc74mshg77ra7mywec2a6b,1,0,0,2023-02-11T18:02:28.475Z,2023-02-11T18:02:28Z,4025993721,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506539557,3,1,1,0,0,dich5v7sw466smbqap0d9rbyj,1,50.2,50,2023-02-11T18:02:28.528Z,2023-02-13T22:57:27Z,4025994121,212,14.8,4025994115,56,Back,4025994119,141,58.4,4025994125,279,S,4031562315,178,,4025994123,213,2.7,4025994117,140,37.2,,,,bzt6oj1d4d2x3qez55hlvzpwp,Oday Dabbagh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506539581,4,1,1,0,2,dich5v7sw466smbqap0d9rbyj,1,36.7,62.3,2023-02-11T18:02:30.886Z,2023-02-13T23:11:48Z,4025994241,140,33.4,4025994247,213,1.8,4031574619,178,,4025994239,56,Back,4025994245,212,14.4,4025994243,141,82.8,,,,,,,7nrjutc015x9nupdcl4hj3l5h,David Simão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506539603,5,1,1,0,4,dich5v7sw466smbqap0d9rbyj,1,32.9,84.6,2023-02-11T18:02:32.958Z,2023-02-13T23:12:03Z,4025994341,212,15.9,4025994339,141,68.6,4025994335,56,Back,4031574967,178,,4025994343,213,3.9,4025994337,140,21.8,,,,,,,ds66cc3zwxbyl5zfzag5422g9,Quaresma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506539639,6,1,1,0,7,dich5v7sw466smbqap0d9rbyj,1,21.8,68.6,2023-02-11T18:02:35.877Z,2023-02-13T23:12:08Z,4025994609,141,28.3,4025994605,56,Back,4025994613,213,4.4,4025994607,140,13.5,4031575085,178,,4025994611,212,28.8,,,,,,,43mnaysq76cz587wxk8w3job9,N. Galović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506539671,7,1,1,0,11,dich5v7sw466smbqap0d9rbyj,0,15.6,14.2,2023-02-11T18:02:40.227Z,2023-02-13T23:12:13Z,4025994853,1,,4031575201,178,,4025994835,56,Center,4025994839,140,63.3,4025994829,155,,4025994851,213,0.1,4025994849,212,50.6,4025994843,141,25.1,8zt0zlypar7m1eqj4zu8ul695,João Basso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506539711,3,1,1,0,14,cmbqc74mshg77ra7mywec2a6b,1,37.2,73.2,2023-02-11T18:02:42.857Z,2023-02-13T23:12:28Z,4025995091,140,23.5,4025995097,213,2.5,4025995089,56,Back,4025995093,141,90.2,4025995095,212,18.5,4031575527,178,,4025995087,3,,,,,l8ewedihgtz1oz6ikm333mz8,Ítalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
