id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/14/value,assist,qualifier/17/value
2485319327,1,34,16,0,0,8gvg1ranyf93hprfkwx3ofl2y,1,0,0,2022-11-13T14:31:15.459Z,2022-11-13T15:37:49Z,3914208975,30,"2accix9saahg900cja5e9iw9h, exasml2zx1pe8runrm6oh5dsk, ay10c4r23f0tlyuqytje0ack4, 6ram2zlda1gvj947zzmab68r9, bot4jd6s4g69w5wvtn9qlevx0, 5desb812yn2icc8d2lew7lu22, 1qcf5gb8wf8f4tu94xh96yqy, 2cs8bo4l70gbkudh3gqazb105, 7jqin4ptb8of32u4e646mxwtm, 53sq02gs09i7chjvx2zfwdaz9, 1899balq50r7vbqqf8qwjlxpl, 35csuq89nc1zgpc4j2mdav6jt, 7bizatqq8lesywgb68x9cizmd, 1ziaf8ivlizetjhinr9ua6uax, bz64q1gkwqtlc749oqqqzm5wq, 3yolt0tc40fjqupa2ea4epka1, evwzikhqpwulci3y20ckeoc15, e2nsy4zv5hw9x13mp604tr8ix, 3f2otwd2ozwk89319ssh9yjmd, bgcphqeckm71jpbnzjivrnug9",3914208977,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3914479153,197,4663,3914208979,59,"14, 28, 5, 3, 13, 83, 80, 21, 17, 7, 90, 9, 10, 11, 23, 25, 33, 63, 76, 98",3914208983,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3914208987,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3914208985,194,2accix9saahg900cja5e9iw9h,3914208981,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485323897,1,34,16,0,0,7kfx3xpj2c2wxinsyi16i9gaz,1,0,0,2022-11-13T14:35:51.113Z,2022-11-13T15:59:07Z,3914233307,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3914233305,30,"3y7h2e79gvzrqor9gg854dl91, 8q4m06v3yfsq2iza942ezaxud, 8jcuunhako2i9ynmp8v3w2eax, 5i5qgzbovli6pspg01ohrfdre, bvy7d4r2ve9f5x1xyv0tx5cr9, 8czsihbd6817k4uzvwenqvxex, 922dtb3ppvsgvzysfjwg86jmx, 8qn1z72et0w6bqw9mstopb7px, 3bysj69bufnbqx70q6ufzat49, 57xeumfhz5h30yn1168rgljah, 757f9x11lzcug3d6sn39d85wp, 1c8ki3i0dz0axlnd0vauzw9d6, bojn9itaxqzymbjj6et0o0onp, 4rfcpo4l9f8x1m0rlnwloefl6, cqfw0fsbxyjb7mduk2hk27e1h, 6dc5id3ucboy4yroiezgzapgq, 6i4i4rqqcvxa7rsysriqxlxat, 17govndl49nve5d5h74bs5i0a, 8inrz9rna2z5lirsorindh0b9, c2o0vuyoiqyxmknotnq1ejbe2",3914233319,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3914233313,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3914233317,194,bvy7d4r2ve9f5x1xyv0tx5cr9,3914233311,130,18,3914233309,59,"1, 2, 94, 66, 5, 4, 16, 21, 23, 7, 11, 6, 8, 9, 12, 25, 27, 34, 95, 98",3914479267,197,16955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485373575,2,32,1,0,0,7kfx3xpj2c2wxinsyi16i9gaz,1,0,0,2022-11-13T15:31:51.569Z,2022-11-13T15:31:51Z,3914496501,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485373581,2,32,1,0,0,8gvg1ranyf93hprfkwx3ofl2y,1,0,0,2022-11-13T15:31:51.569Z,2022-11-15T15:34:21Z,3914496535,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485373623,3,1,1,0,0,7kfx3xpj2c2wxinsyi16i9gaz,1,49.9,50.1,2022-11-13T15:31:51.670Z,2022-11-16T03:39:01Z,3914496837,212,26.6,3914496831,141,47.2,3914496841,213,3.2,3914496845,279,S,3914496827,56,Back,3914496829,140,24.6,3917946403,178,,,,,57xeumfhz5h30yn1168rgljah,André Vidigal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485373645,4,1,1,0,4,7kfx3xpj2c2wxinsyi16i9gaz,1,26.3,49.4,2022-11-13T15:31:56.025Z,2022-11-16T03:39:07Z,3917946427,178,,3914496999,213,2.0,3914496995,141,80.8,3914496997,212,23.6,3914496993,140,16.8,3914496991,56,Back,,,,,,,bvy7d4r2ve9f5x1xyv0tx5cr9,Zainadine Júnior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485373671,5,1,1,0,7,7kfx3xpj2c2wxinsyi16i9gaz,1,16.9,84.7,2022-11-13T15:31:59.164Z,2022-11-16T03:39:11Z,3917946443,178,,3914497165,141,96.5,3914497163,140,25.1,3914497161,56,Back,3914497167,212,11.8,3914497169,213,0.8,,,,,,,5i5qgzbovli6pspg01ohrfdre,Léo Andrade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485373701,6,1,1,0,9,7kfx3xpj2c2wxinsyi16i9gaz,1,22.9,96,2022-11-13T15:32:01.312Z,2022-11-16T03:39:16Z,3914497359,56,Back,3914497363,141,94.4,3914497365,212,10.9,3914497361,140,12.6,3914497367,213,3.2,3917946467,178,,,,,,,,8jcuunhako2i9ynmp8v3w2eax,Vitor Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485373719,7,1,1,0,11,7kfx3xpj2c2wxinsyi16i9gaz,0,13.5,99.3,2022-11-13T15:32:03.474Z,2022-11-16T03:39:22Z,3914497479,213,6.1,3914497471,56,Back,3914497473,140,16.6,3914497475,141,98.6,3914497477,212,3.3,3917946481,178,,3914498807,286,,3914498803,233,3,5i5qgzbovli6pspg01ohrfdre,Léo Andrade,3914498801,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485373785,3,74,1,0,11,8gvg1ranyf93hprfkwx3ofl2y,1,83.2,6.8,2022-11-13T15:32:03.492Z,2022-11-16T03:39:31Z,3914497831,56,Right,3914497833,285,,3917946507,178,,3914499077,233,7,,,,,,,,,,,,,53sq02gs09i7chjvx2zfwdaz9,Rúben Lameiras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
