id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/8/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value
2479769437,1,34,16,0,0,bwt8yfk8rkcwiwyr0mopd7wqd,1,0,0,2022-10-30T19:39:38.352Z,2022-10-30T20:30:07Z,3885273099,194,1ldbn0jnfzcvj7edwlq1z4q8l,3885273095,130,4,3885273091,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3885401529,197,388,3885273097,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3885273101,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3885273089,30,"30bhky4x90yqfyzhsawfz6pcl, 1lisq580zw4yfk6id6f1dwr56, 10jwipbmvqza53ja0lwof9be1, c01muomxuk015zrf9n21ztq7d, d1bful4yiqcc8k5jhg9a3uyfp, 1ldbn0jnfzcvj7edwlq1z4q8l, rzxtat0t3okt8tikf5mvdxm2, 8bn4i1qj747gh0hz6vbn0u25m, 1zf9egrh7cjofd7td62oc5tk9, 1f57m5jalwzn2xwr3xqtjiy8l, ebaganzllbxfacvobgmsu1045, 8jncnpkifnmg84s5qysuk4y96, cpcsusprqvec5l4mvwl6td23t, 6nrvjozwk5or2v7dxkqbf9j9x, 2983qoliizrxvsi9sb9c5wwoa, 4aubucuhe6ic3osisrw73xe51, 94sjuyq5uwlug5td0zrrrnyms, ljr2286geelctnfxzkxukmi1, 3ipb4zd3vz7dpnkyeiw22tal1, es6pjawg9rq2io8hjxf0rqaxh",3885273093,59,"1, 78, 55, 21, 3, 26, 10, 57, 9, 7, 77, 4, 5, 8, 12, 15, 16, 18, 25, 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479770003,1,34,16,0,0,26t6lvlpql4w5wu1ih73qpy36,1,0,0,2022-10-30T19:41:09.200Z,2022-10-30T20:30:43Z,3885276477,30,"5nlzolv5bg03eiopba58rs251, dq41kziilg4jki9erxel9d3ze, c8s3kzk7jpdpp5ctzqkzh9vit, 8gkc9l566rjg7nifxwsq5vdud, 8t404ou7dw8vprk9h7jjuqjt, 2psarhoauswcdof4nb22sw7ah, 5kcytruttikppbpkeg9rhd4gl, 33qmom9yrc1ft1cte9qju1djp, e5xv1rmy69kwuxjxin653ojqh, cnriqwh17pqgz7p2gt74uar6c, 5l9ilx0kwbny81lykqksoz9w5, 1wtikted5kmtz3bpu17enlvc9, 2apqk2zobhs8ypnaw0bzkch9m, c3pxiexbciif7uu845ivx5hhx, 23d0t7gqlra3jkskn18bh752i, 51rs6ozeux61yyjfk9ci86311, 2irms3moqosywa14re7n2awh5, 5r7q0eg6pmoq0safxa9tnm5l, 43xutn1unln5o3gwx3cl4lo0l, 5bo84b7398nyv87ztwd8wxh3p",3885276489,194,5l9ilx0kwbny81lykqksoz9w5,3885276485,130,2,3885401645,197,13139,3885276483,59,"1, 70, 6, 8, 3, 4, 45, 10, 9, 99, 21, 2, 7, 12, 14, 15, 18, 19, 23, 88",3885276487,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3885276491,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3885276479,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479795587,2,32,1,0,0,26t6lvlpql4w5wu1ih73qpy36,1,0,0,2022-10-30T20:29:57.213Z,2022-10-30T20:29:57Z,3885408227,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479795593,2,32,1,0,0,bwt8yfk8rkcwiwyr0mopd7wqd,1,0,0,2022-10-30T20:29:57.213Z,2022-11-01T19:48:30Z,3885408245,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479795619,3,1,1,0,0,26t6lvlpql4w5wu1ih73qpy36,1,49.9,49.9,2022-10-30T20:29:57.370Z,2022-11-01T21:19:44Z,3885408383,141,56.7,3885408387,212,12.1,3885408391,213,2.7,3885408379,56,Back,3885408393,279,S,3888543303,178,,3885408381,140,39.3,,,,cnriqwh17pqgz7p2gt74uar6c,Vítinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479795629,4,1,1,0,1,26t6lvlpql4w5wu1ih73qpy36,1,40,60.8,2022-10-30T20:29:58.824Z,2022-11-01T21:19:47Z,3888543551,178,,3885408447,141,84.2,3885408443,56,Back,3885408445,140,39.4,3885408449,212,15.9,3885408451,213,1.6,,,,,,,33qmom9yrc1ft1cte9qju1djp,André Horta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479795649,5,1,1,0,3,26t6lvlpql4w5wu1ih73qpy36,1,39.4,84.2,2022-10-30T20:30:00.849Z,2022-11-01T21:19:50Z,3885408553,213,4.0,3888543723,178,,3885408547,140,28.1,3885408551,212,18.2,3885408549,141,63.9,3885408545,56,Back,,,,,,,c8s3kzk7jpdpp5ctzqkzh9vit,Nuno Sequeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479795663,6,1,1,0,6,26t6lvlpql4w5wu1ih73qpy36,1,28.1,63.9,2022-10-30T20:30:03.437Z,2022-11-01T21:19:53Z,3885408613,140,28.0,3888543875,178,,3885408617,212,23.6,3885408619,213,4.7,3885408611,56,Back,3885408615,141,29.2,,,,,,,2psarhoauswcdof4nb22sw7ah,S. Niakaté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479795675,7,1,1,0,9,26t6lvlpql4w5wu1ih73qpy36,1,28.1,27.5,2022-10-30T20:30:06.545Z,2022-11-01T21:19:56Z,3885408677,213,5.3,3888543997,178,,3885408673,141,17.2,3885408671,140,32.4,3885408675,212,8.3,3885408669,56,Back,,,,,,,8t404ou7dw8vprk9h7jjuqjt,Vítor Tormena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479795697,8,1,1,0,12,26t6lvlpql4w5wu1ih73qpy36,1,32.5,25.6,2022-10-30T20:30:09.282Z,2022-11-01T21:20:03Z,3885408831,140,25.4,3885408835,212,28.9,3885408829,56,Back,3885408837,213,1.8,3888544429,178,,3885408833,141,66.6,,,,,,,8gkc9l566rjg7nifxwsq5vdud,Ali Musrati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479795745,9,1,1,0,15,26t6lvlpql4w5wu1ih73qpy36,1,27.2,65.1,2022-10-30T20:30:13.015Z,2022-11-01T21:20:08Z,3885409057,212,19.1,3885409053,140,29.1,3885409051,56,Back,3885409055,141,37.1,3885409061,213,4.8,3888544739,178,,,,,,,,2psarhoauswcdof4nb22sw7ah,S. Niakaté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479795763,10,1,1,0,18,26t6lvlpql4w5wu1ih73qpy36,1,26.2,31.3,2022-10-30T20:30:15.525Z,2022-11-01T21:20:10Z,3888544891,178,,3885409153,141,18.7,3885409157,213,5.2,3885409149,56,Back,3885409151,140,30.6,3885409155,212,9.7,,,,,,,8t404ou7dw8vprk9h7jjuqjt,Vítor Tormena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479795789,11,1,1,0,22,26t6lvlpql4w5wu1ih73qpy36,0,37.4,22.9,2022-10-30T20:30:19.698Z,2022-11-01T21:20:15Z,3885409283,56,Center,3888545111,178,,3885409287,141,34.7,3885409291,213,0.2,3885409293,1,,3885409289,212,42.3,3885409281,155,,3885409285,140,77.0,8gkc9l566rjg7nifxwsq5vdud,Ali Musrati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479795829,3,1,1,0,24,bwt8yfk8rkcwiwyr0mopd7wqd,1,24.8,66.5,2022-10-30T20:30:21.903Z,2022-11-01T21:20:18Z,3885409505,212,13.5,3885409501,140,37.5,3885409497,3,,3885409507,213,0.2,3888545385,388,,3885409503,141,69.6,3885409499,56,Back,,,,1ldbn0jnfzcvj7edwlq1z4q8l,Rúben Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479795833,4,49,1,0,26,bwt8yfk8rkcwiwyr0mopd7wqd,1,30.1,66.9,2022-10-30T20:30:23.364Z,2022-11-01T21:20:24Z,,,,,,,,,,,,,,,,,,,,,,,,,8bn4i1qj747gh0hz6vbn0u25m,Matheus Bueno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479795851,5,1,1,0,27,bwt8yfk8rkcwiwyr0mopd7wqd,1,30.1,66.9,2022-10-30T20:30:24.589Z,2022-11-01T21:20:27Z,3885409627,1,,3885409623,212,38.7,3888545747,178,,3885409617,56,Back,3885409621,141,10.1,3885409625,213,4.8,3885409615,155,,3885409619,140,32.1,8bn4i1qj747gh0hz6vbn0u25m,Matheus Bueno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479795897,6,1,1,0,32,bwt8yfk8rkcwiwyr0mopd7wqd,1,36.4,13.1,2022-10-30T20:30:29.316Z,2022-11-01T21:20:31Z,3885409875,140,25.9,3885409879,212,14.0,3885409873,56,Back,3888545967,178,,3885409881,213,2.5,3885409877,141,25.7,,,,,,,1lisq580zw4yfk6id6f1dwr56,Danilo Veiga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
