id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,keyPass,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/13/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId
2504958147,1,34,16,0,0,491xixnlsp75o7cr3w2gc1o0z,1,0,0,2023-02-06T18:18:07.336Z,2023-02-06T19:05:29Z,4017649703,59,"28, 15, 5, 26, 3, 25, 22, 6, 17, 10, 7, 70, 55, 98, 9, 11, 16, 20, 21, 23",4017649711,197,12635,4017649707,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4017649701,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4017649709,194,3zkqv88qpc3tm22pex5qfillh,4017649713,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4017649705,130,4,4017649699,30,"1k5y6mool4qz2xtg6mp892vh1, 3zndvhinobvclra6m0y47drrp, 3zkqv88qpc3tm22pex5qfillh, 8dyozmfhm4x9hwqqpa6hcri6t, fwnnz9wriid0xznpbpdy82s4, 19mq6gsvnfvnzugpbfwniqj1l, 7jso6ijfblfqjfvfh09wt5g5, egf4oc47whxf2hmrjjddvtxbd, 1arszie3v8bks90bcetskhwfe, 78ug8x7pkjt88u5dx151v32z9, 8kns1kywrlakjwll1cxs19r3e, 4ocmdia4dhnz2jdxr3n8sf8r8, ey0bk9dlqjwsc1aserql73aei, 53y263xxfdf1itytiqhg3v6c5, atcgj9k5ghx0ekwyky31l4pud, d4zft3r7ot8q6dqqhqugbba0a, 2grwfg8j3gpdthz5n5dn6wb56, 6hhxcbz0w98s2ucyjq4v3o9p0, 32y6mygyypg6jhzge0vqjx79, c9rqgser2j8a6w7xfj3vmkzfu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504958891,1,34,16,0,0,co1i764h6b02husae71w6scs8,1,0,0,2023-02-06T18:21:04.378Z,2023-02-06T19:13:22Z,4017654249,30,"cpf5wp34pu80qzvcwakjhh905, 6gmfcfqd1o54zyepd9587nlqt, f29gq7ixyjd9m22yhmb7c7oq1, cgtz4fa0mz9poi4ju8bjtbwiy, 3hzw7c4kkol5okl9imvc70ij9, 10va1tucy0kb83wllaudp7e95, dvxwdpad8a1iatnwcpqvy3m5l, 3vwbsaoy8f2vc4kkad4ipv3kl, 3q1nhus52rnkt6nwvqmpb1ct0, 7apd6saozsmkhkm7ew06a5a6t, 82fjdh9q4378gd1g9l1bimrx1, 7rfeo8qrjotskdx5e6bwk53h1, b7ri94n62dr73s1hb10br7lrd, r34leywn2c5158ldxrcde5l, 33j75k7nnzjit08r24zk00yy1, db6kkpr65v0zlrlx1cr5almcq, 293inynsy3ai0aawkdzpl7cnp, 52407m29h74ziyt19jty0od7t, 1zokl2zp7gtwlmj37kps6lnmx, awicgdcslcljo1mbmvochqlwq",4017654257,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4017654253,59,"32, 18, 14, 22, 4, 44, 38, 21, 27, 35, 93, 15, 25, 1, 23, 3, 8, 24, 70, 99",4017654255,130,18,4017654251,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4017698299,197,3749,4017654259,194,3vwbsaoy8f2vc4kkad4ipv3kl,4017654261,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504967503,2,32,1,0,0,491xixnlsp75o7cr3w2gc1o0z,1,0,0,2023-02-06T19:00:58.073Z,2023-02-06T19:00:58Z,4017701345,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504967505,2,32,1,0,0,co1i764h6b02husae71w6scs8,1,0,0,2023-02-06T19:00:58.073Z,2023-02-08T19:02:10Z,4017701347,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504967509,3,1,1,0,0,491xixnlsp75o7cr3w2gc1o0z,1,50,50,2023-02-06T19:00:58.077Z,2023-02-08T22:00:59Z,4017701357,141,49.6,4017701353,56,Back,4017701363,279,S,4017701355,140,44.2,4017701361,213,3.2,4020513119,178,,4017701359,212,6.1,,,,1arszie3v8bks90bcetskhwfe,Adrián Butzke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504967515,4,1,1,0,1,491xixnlsp75o7cr3w2gc1o0z,1,43.3,53.9,2023-02-06T19:00:59.715Z,2023-02-08T22:01:05Z,4017701401,141,63.6,4017701397,56,Back,4020513163,178,,4017701405,213,2.8,4017701399,140,26.0,4017701403,212,19.3,,,,,,,egf4oc47whxf2hmrjjddvtxbd,J. Holsgrove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504967523,5,1,1,0,4,491xixnlsp75o7cr3w2gc1o0z,1,25.5,60.2,2023-02-06T19:01:02.244Z,2023-02-08T22:01:17Z,4017701437,56,Back,4020513299,178,,4017701443,212,13.7,4017701441,141,40.0,4017701445,213,4.7,4017701439,140,25.6,,,,,,,19mq6gsvnfvnzugpbfwniqj1l,Maracás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504967537,6,1,1,0,6,491xixnlsp75o7cr3w2gc1o0z,1,24.8,37.7,2023-02-06T19:01:04.748Z,2023-02-08T22:01:22Z,4017701507,140,29.7,4017701511,212,21.5,4017701505,56,Back,4020513349,178,,4017701513,213,5.0,4017701509,141,7.0,,,,,,,fwnnz9wriid0xznpbpdy82s4,Nuno Lima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504967541,7,1,1,0,14,491xixnlsp75o7cr3w2gc1o0z,1,62.4,14.5,2023-02-06T19:01:12.286Z,2023-02-08T22:01:29Z,4017701535,141,4.6,4017701539,213,5.4,4017701531,56,Right,4017701537,212,8.9,4017701533,140,67.9,4020513407,178,,,,,,,,3zndvhinobvclra6m0y47drrp,J. Delgado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504967543,8,1,1,0,15,491xixnlsp75o7cr3w2gc1o0z,0,67,4.9,2023-02-06T19:01:13.344Z,2023-02-08T22:02:52Z,4017701549,212,3.5,4017801031,286,,4017801025,236,,4017701545,140,70.0,4017701543,56,Right,4017801027,233,3,4017701551,213,0.5,4017701547,141,7.3,78ug8x7pkjt88u5dx151v32z9,N. Gaitán,4020513523,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
