id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/12/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/16/value
2451834207,1,34,16,0,0,alyavx3ad35bp1xuwmqk7sgev,1,0,0,2022-08-27T18:36:03.079Z,2022-08-27T19:33:35Z,3736715939,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3736715933,130,4,3736715937,194,z6po5y26nap863d68tcekhqt,3736715929,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3736715927,30,"1tkq6knbo350vy0o8aieijmxh, 9m66crpktao9g80wc8zi9y5ex, cmxmyld8l4gjy03zxskyxf5gq, 3r7hk2j6ubc60if92cm6jbsyy, z6po5y26nap863d68tcekhqt, 2nod7tpovdjb85efh2sogijth, 3845lzar855rp3zp4stgmgul1, 1rdadi8uuu161wj8o7gbcn8wl, 1bpopqr7cuikh6s6sk4ij31ed, 361pxz5e33ydl2c3t63a9kzc9, duv5kjxwj07cwmfz8x200qyqy, 4x9vmtldr4xz9v58z7hgv00oa, 1w926qtyntprx5ommoaa5nhed, 7r96u3b7t46s0kg5t5qew3tnt, 5jsb62u7jx2vtblnbtxvttq3u, avugx69mdi4p8c25p9fetmq22, brdhlpiyg3nk936bqe50bqx1x, 530nhsyjmbwcpb8536pgwbld5, et4mglw8d0mwweghd2hmzz9jo, awu6zsiy6l8e3p1athc733jkl",3736715931,59,"1, 77, 5, 6, 19, 3, 8, 21, 23, 73, 11, 9, 16, 20, 28, 30, 40, 44, 70, 95",3737050687,197,2933,3736715935,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451839501,1,34,16,0,0,7catg5lpivcmpf4xhggh6d8rk,1,0,0,2022-08-27T18:41:12.996Z,2022-08-27T19:40:33Z,3736746241,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3736746245,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3736746239,130,13,3736746233,30,"342kh2ue733edf9q7s0a2edat, 10k53pv13mw9hzllv70umgzbp, a9ozu4hjaylfr4299ceryskid, cayu6id8xmj67n29s2x3bsbxm, a9htjxrpgqlcv577x4kvlkh5h, 1kn0x4n8grpc1cx46ctnmajth, 8jfjglichcg0py57hhri5v0fd, eee0bq4dkdn91l81e8cf1zxpm, 6x3qvqsp90kjsps3e4wx0oxqt, 83ekq1r2omnsazmp41pio8s89, a7twqgp3fp43y1aoybfe2i8d1, 3fo37mb4cp6lb0e86hhiyvu8l, 6hnzgiw8h1itz9l2j3sb6oeeh, d9i8y5vlymc2yggwxrax8wcbu, cuc7gtr9q0465wxmzgq834ag9, 6cx5c6bzp1hq6c1vui53mxzx0, d2rpdm4aukj5tgmefs0jffkkp, 7mg9ycwc9ay4fdedl0dpp5nca, d6tc895jr5kkxotydz2jcjx1w, edgnkgpt7a6rzffcd012sqfpw",3736746237,59,"1, 47, 11, 25, 4, 13, 15, 28, 10, 17, 16, 2, 3, 5, 12, 18, 22, 71, 82, 91",3736746243,194,a9htjxrpgqlcv577x4kvlkh5h,3737076373,197,12815,3736746235,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451893187,2,32,1,0,0,alyavx3ad35bp1xuwmqk7sgev,1,0,0,2022-08-27T19:31:10.514Z,2022-08-27T19:31:13Z,3737040101,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451893185,2,32,1,0,0,7catg5lpivcmpf4xhggh6d8rk,1,0,0,2022-08-27T19:31:10.514Z,2022-08-28T20:06:40Z,3737040091,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451893227,3,1,1,0,0,7catg5lpivcmpf4xhggh6d8rk,1,50,50,2022-08-27T19:31:10.554Z,2022-08-28T20:17:12Z,3737040371,141,46.0,3737040375,213,3.5,3737040367,56,Back,3737040373,212,6.9,3737040379,279,S,3741603099,178,,3737040369,140,44.0,,,,6x3qvqsp90kjsps3e4wx0oxqt,M. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451893265,4,1,1,0,2,7catg5lpivcmpf4xhggh6d8rk,1,44,46,2022-08-27T19:31:12.542Z,2022-08-28T20:17:21Z,3737040623,213,3.0,3737040619,141,50.0,3737040617,140,29.7,3741603967,178,,3737040621,212,15.3,3737040615,56,Back,,,,,,,8jfjglichcg0py57hhri5v0fd,M. Ugarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451893279,5,1,1,0,4,7catg5lpivcmpf4xhggh6d8rk,1,29.7,50,2022-08-27T19:31:14.743Z,2022-08-28T20:17:31Z,3737040705,213,5.0,3741604931,178,,3737040703,212,13.8,3737040701,141,30.6,3737040697,140,33.6,3737040695,56,Back,,,,,,,a9htjxrpgqlcv577x4kvlkh5h,S. Coates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451893309,6,1,1,0,6,7catg5lpivcmpf4xhggh6d8rk,1,33.6,30.6,2022-08-27T19:31:16.661Z,2022-08-28T20:17:37Z,3737040863,56,Back,3737040869,212,6.7,3737040867,141,34.0,3741605559,178,,3737040871,213,0.4,3737040865,140,39.6,,,,,,,1kn0x4n8grpc1cx46ctnmajth,Luís Carlos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451893335,7,1,1,0,8,7catg5lpivcmpf4xhggh6d8rk,1,40.5,17.6,2022-08-27T19:31:19.331Z,2022-08-28T20:17:45Z,3741606333,178,,3737040967,140,53.6,3737040979,213,5.7,3737040965,56,Right,3737040971,141,5.0,3737040975,212,16.2,,,,,,,8jfjglichcg0py57hhri5v0fd,M. Ugarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451893457,8,1,1,0,9,7catg5lpivcmpf4xhggh6d8rk,1,53.6,5,2022-08-27T19:31:20.163Z,2022-08-28T20:17:52Z,3737041605,140,32.3,3737041601,196,,3737041611,213,2.0,3737041607,141,75.3,3737041609,212,52.8,3737041603,56,Back,3737041613,1,,3741606979,178,,10k53pv13mw9hzllv70umgzbp,Ricardo Esgaio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
