id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,assist,qualifier/20/value,qualifier/15/value
2494123683,1,34,16,0,0,7fn0aazbc8nx0u040aulozds1,1,0,0,2022-12-30T17:59:39.070Z,2022-12-30T18:57:09Z,3960810993,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3960810997,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3960810995,194,575pl0igxsevhmf6nfmjwwyxh,3960810987,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3960893713,197,3241,3960810985,30,"9uc54rlxmahbfppv97zi81yhh, 7m2za4jynw9fdc2ax1455ibpx, 380ejwyblelr0ef3um2cwv3ai, 3ynj76lod24r597rmhshxczpx, 2amti8wga8jpons4mizksjd1x, 8f8lbg182g5jwnqbj1zgjbljp, hrr3761wvgn1ayhsrrz4rf11, de1nmkgahbsrky75itebiitp1, 2u7fm04v2xzqso4rubkrvjcru, 575pl0igxsevhmf6nfmjwwyxh, bljvhirrui29i12tysjdtmnd, 10mmhviatbpx75fslh68s25lh, 19op8n866vmntrkobatq2u5ex, dn4o1wa7ia54rpytm5fikbsh5, 4wces11j8ejvbpz1zqd94b7fu, eblsjvbkd7vws1qpx7td1eacp, 9xk50bv3qlja26r1ecary1y3t, 9pi6sf9sdni4dn6db7rej0r85, 8bcfmmsjnman2nsp2t9rsrvxm, e6a9772gyk37kw0dg3xieu9d5",3960810991,130,8,3960810989,59,"97, 14, 16, 6, 3, 5, 10, 8, 9, 20, 79, 4, 7, 11, 13, 19, 22, 23, 82, 99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494123883,1,34,16,0,0,8gvg1ranyf93hprfkwx3ofl2y,1,0,0,2022-12-30T18:01:47.815Z,2022-12-30T19:35:55Z,3960812601,130,13,3960812607,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3960812605,194,2accix9saahg900cja5e9iw9h,3960812599,59,"14, 2, 5, 3, 22, 13, 21, 10, 33, 7, 90, 9, 17, 20, 25, 44, 63, 72, 80, 98",3960812603,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3960896711,197,4663,3960812595,30,"2accix9saahg900cja5e9iw9h, d30uqfrs7mqb6jnj99qgyr28k, ay10c4r23f0tlyuqytje0ack4, 6ram2zlda1gvj947zzmab68r9, 2lur2ts61wwrsvih1lb1jee50, bot4jd6s4g69w5wvtn9qlevx0, 2cs8bo4l70gbkudh3gqazb105, 7bizatqq8lesywgb68x9cizmd, evwzikhqpwulci3y20ckeoc15, 53sq02gs09i7chjvx2zfwdaz9, 1899balq50r7vbqqf8qwjlxpl, 35csuq89nc1zgpc4j2mdav6jt, 7jqin4ptb8of32u4e646mxwtm, 4tyjzyixiz32zfs37qs4u6ve2, 3yolt0tc40fjqupa2ea4epka1, cypipec6wd6cpgcspxjwvdadx, e2nsy4zv5hw9x13mp604tr8ix, 9avbe1i215rk0o2j16iq0u2nd, 1qcf5gb8wf8f4tu94xh96yqy, bgcphqeckm71jpbnzjivrnug9",3960812597,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494140815,2,32,1,0,0,7fn0aazbc8nx0u040aulozds1,1,0,0,2022-12-30T19:03:23.107Z,2023-01-01T19:51:28Z,3960903997,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494140813,2,32,1,0,0,8gvg1ranyf93hprfkwx3ofl2y,1,0,0,2022-12-30T19:03:23.107Z,2022-12-30T19:03:23Z,3960903991,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494140821,3,1,1,0,0,8gvg1ranyf93hprfkwx3ofl2y,1,50,50,2022-12-30T19:03:23.158Z,2023-01-02T07:41:39Z,3963287337,178,,3960904029,213,3.1,3960904031,279,S,3960904021,56,Back,3960904025,141,51.2,3960904027,212,18.3,3960904023,140,32.6,,,,2cs8bo4l70gbkudh3gqazb105,André André,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494140841,4,1,1,0,3,8gvg1ranyf93hprfkwx3ofl2y,0,31.9,53.9,2022-12-30T19:03:26.395Z,2023-01-02T07:41:48Z,3960904171,56,Right,3960904175,141,18.2,3960904177,212,55.7,3960904173,140,79.6,3960904169,155,,3963287433,178,,3960904179,213,5.8,3960904181,1,,6ram2zlda1gvj947zzmab68r9,M. Villanueva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494140845,3,49,1,0,8,7fn0aazbc8nx0u040aulozds1,1,20.7,84.4,2022-12-30T19:03:31.129Z,2023-01-02T07:42:04Z,,,,,,,,,,,,,,,,,,,,,,,,,380ejwyblelr0ef3um2cwv3ai,Matheus Pereira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494140855,4,1,1,0,8,7fn0aazbc8nx0u040aulozds1,0,20.7,84.4,2022-12-30T19:03:31.183Z,2023-01-02T07:42:09Z,3963287605,178,,3960904269,140,65.0,3960904267,56,Left,3960904275,213,0.0,3960904277,1,,3960904265,157,,3960904271,141,85.9,3960904273,212,46.5,380ejwyblelr0ef3um2cwv3ai,Matheus Pereira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494140865,6,1,1,0,11,8gvg1ranyf93hprfkwx3ofl2y,0,32.6,6.7,2022-12-30T19:03:34.765Z,2023-01-02T07:42:16Z,3960904345,212,16.8,3960904347,213,0.9,3960904341,140,42.7,3963287683,388,,3960904343,141,25.9,3960904339,56,Back,3960904337,3,,,,,bot4jd6s4g69w5wvtn9qlevx0,André Amaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494140859,5,43,1,0,12,8gvg1ranyf93hprfkwx3ofl2y,1,0,0,2022-12-30T19:03:35.233Z,2022-12-30T19:03:45Z,3960904297,285,0,3960904549,144,44,3960904295,56,Back,,,,,,,,,,,,,,,,bot4jd6s4g69w5wvtn9qlevx0,André Amaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
