id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/12/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2514621707,1,34,16,0,0,3b4nxgvmwzstmoq6borytkwx1,1,0,0,2023-03-03T18:11:41.408Z,2023-03-03T19:05:48Z,4068688611,30,"ekjpc2tvdk5jtiamtufdqkr85, 57pi7l4h7g2jydmkc5vl6vkr9, 7aak50ydu8nrfxd9qndeygnpw, 47wasen155qbiu6pmyp3dowr9, 3weuuu2vlyod9x7gnk2v9r1ed, c406oul95r3jvmbebcge5oz4l, eyllkbdemtx2seh48r9l3czbp, 6w3iuh0f11tbwr037i7qb031m, rm1d0hp2iwsne1hbfgq0oa21, 4ax49niuix9tiqdv05y3vbdn9, 5za437wrlqizff74n6uqodpzp, 6n9p8xqhlgz0qfi39rojaxst0, aissbbcnwyr06fhgfamxo9j2t, 3batawbh7y4sjkeo4hn34svzd, 6a34imgccsbw4zysasuziuad, 96tuk7bpr043jh2obpegcgd4a, 90ojk78yhwtwbnz0k5w1ow6hh, ap2l08x0nj8xqvvrfp796rmj9, 6ylhhspjzxqrbqj4yq35hwkr8, 5bpx24iyhlarqkmg09pm27lgq",4068688617,130,4,4068688613,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4068831303,197,1519,4068688621,194,ekjpc2tvdk5jtiamtufdqkr85,4068688619,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4068688623,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4068688615,59,"1, 21, 70, 24, 23, 26, 42, 6, 11, 19, 7, 4, 8, 9, 12, 13, 18, 20, 59, 77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514623423,1,34,16,0,0,dich5v7sw466smbqap0d9rbyj,1,0,0,2023-03-03T18:14:11.316Z,2023-03-03T19:00:13Z,4068697879,130,4,4068697881,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4068697875,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4068697883,194,8zt0zlypar7m1eqj4zu8ul695,4068836489,197,390,4068697877,59,"12, 21, 25, 23, 13, 44, 10, 5, 19, 2, 11, 7, 8, 9, 14, 18, 20, 28, 64, 92",4068697885,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4068697873,30,"25n2vrjnz5qsm5pigyn3ps8vd, bdgqvvkpadpthmlm40wa6dcyx, avrafbh1kctz4io6h1fthedih, 1doj252anzqdzn5fknqr5i31l, 8zt0zlypar7m1eqj4zu8ul695, 43mnaysq76cz587wxk8w3job9, 3w3z6g8x70ii3pltaxyxbycwl, 7nrjutc015x9nupdcl4hj3l5h, 3vln1sp3b13v1yhcsd0vl3c2x, 9l70xwbhc0xr57iifzyxzot7t, dh3ddfghtgeb2iu2608y96i5m, c2hmvhnurdg1vw49j45dw2jca, c0pat4dqmsc4teand5ampsdlh, 4effb0zguv2lqtv2vl9lqb696, 1nqpxso2a9qw8w8g6u4sb60ut, eswp4t4r8ktirsnkodz26gyui, 79ir6aubulzanvonfbgngk5hx, djb8j3hb7mnnghg9jmd15w0r9, 2jl9lfqd2q74iwamx7g0xva50, 3mp7wghcalu9g3wxbqb9eqga",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651633,2,32,1,0,0,3b4nxgvmwzstmoq6borytkwx1,1,0,0,2023-03-03T19:02:20.052Z,2023-03-06T03:59:03Z,4068845433,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651587,2,32,1,0,0,dich5v7sw466smbqap0d9rbyj,1,0,0,2023-03-03T19:02:20.052Z,2023-03-03T19:02:20Z,4068845225,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651661,3,1,1,0,0,dich5v7sw466smbqap0d9rbyj,1,50,50,2023-03-03T19:02:20.062Z,2023-03-06T10:48:46Z,4068845601,56,Back,4068845603,140,29.2,4068845611,279,S,4068845607,212,25.4,4078182493,178,,4068845609,213,2.6,4068845605,141,69.1,,,,9l70xwbhc0xr57iifzyxzot7t,M. Sylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651713,4,1,1,0,4,dich5v7sw466smbqap0d9rbyj,0,31.9,70,2023-03-03T19:02:24.315Z,2023-03-06T10:48:52Z,4068845891,212,40.3,4068845885,56,Center,4068845893,213,6.3,4078182719,178,,4068845889,141,69.7,4068845887,140,70.3,4068845883,155,,4068845895,1,,43mnaysq76cz587wxk8w3job9,N. Galović,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651735,3,44,1,0,6,3b4nxgvmwzstmoq6borytkwx1,1,32.4,34.8,2023-03-03T19:02:26.998Z,2023-03-06T11:42:40Z,4068845989,285,,4068846023,233,5,4068845987,56,Back,,,,,,,,,,,,,,,,3weuuu2vlyod9x7gnk2v9r1ed,V. Sasso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651727,5,44,1,0,6,dich5v7sw466smbqap0d9rbyj,0,67.6,65.2,2023-03-03T19:02:26.999Z,2023-03-06T10:49:01Z,4068845945,56,Center,4068846071,233,3,4068845947,286,,,,,,,,,,,,,,,,,3vln1sp3b13v1yhcsd0vl3c2x,Rafa Mújica,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651759,4,1,1,0,6,3b4nxgvmwzstmoq6borytkwx1,0,35.2,39.2,2023-03-03T19:02:27.037Z,2023-03-06T11:42:40Z,4068846111,213,0.3,4068846107,212,12.2,4068846099,3,,4068846105,141,44.8,4078183365,388,,4068846101,56,Back,4068846103,140,46.2,,,,3weuuu2vlyod9x7gnk2v9r1ed,V. Sasso,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651767,6,1,1,0,8,dich5v7sw466smbqap0d9rbyj,1,55,54.5,2023-03-03T19:02:28.687Z,2023-03-06T10:49:14Z,4068846141,213,5.6,4078183749,178,,4068846133,56,Center,4068846139,212,2.7,4078183753,21,,4068846135,140,57.0,4068846137,141,51.9,,,,1doj252anzqdzn5fknqr5i31l,I. Soro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
