id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/9/value,qualifier/11/value,qualifier/13/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2534727959,1,34,16,0,0,26t6lvlpql4w5wu1ih73qpy36,1,0,0,2023-04-16T15:59:18.020Z,2023-04-16T15:59:18Z,4196065543,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4196065561,194,5l9ilx0kwbny81lykqksoz9w5,4196065565,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4196065563,197,372,4196065557,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4196065551,130,2,4196065547,59,"1, 2, 26, 10, 3, 4, 45, 8, 21, 9, 27, 7, 12, 14, 15, 17, 19, 22, 23, 29",4196065537,30,"5nlzolv5bg03eiopba58rs251, 1wtikted5kmtz3bpu17enlvc9, csvbc0k1f54418nn8pjhg8ull, 33qmom9yrc1ft1cte9qju1djp, 8t404ou7dw8vprk9h7jjuqjt, 2psarhoauswcdof4nb22sw7ah, 5kcytruttikppbpkeg9rhd4gl, 8gkc9l566rjg7nifxwsq5vdud, 5l9ilx0kwbny81lykqksoz9w5, e5xv1rmy69kwuxjxin653ojqh, y6esn24vphnrw3y50poje21h, 2apqk2zobhs8ypnaw0bzkch9m, c3pxiexbciif7uu845ivx5hhx, 23d0t7gqlra3jkskn18bh752i, 51rs6ozeux61yyjfk9ci86311, dstxo7i9rklcwq64pik7jdgyc, 5r7q0eg6pmoq0safxa9tnm5l, elgb3y6p91z049awc7u549785, 43xutn1unln5o3gwx3cl4lo0l, 5p4q1zolt4e4h07jzknksyzv8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534728323,1,34,16,0,0,bwt8yfk8rkcwiwyr0mopd7wqd,1,0,0,2023-04-16T15:59:52.952Z,2023-04-16T16:55:29Z,4196067439,30,"664x98r3mbynnh19u1cx984q, 4aubucuhe6ic3osisrw73xe51, asoisrxtnm0zynx35ueum4v6d, 6nrvjozwk5or2v7dxkqbf9j9x, 4cbaoo2irqtme9goxuz6s3ey2, 1ldbn0jnfzcvj7edwlq1z4q8l, ebaganzllbxfacvobgmsu1045, c01muomxuk015zrf9n21ztq7d, 1zf9egrh7cjofd7td62oc5tk9, rzxtat0t3okt8tikf5mvdxm2, c3byjg1gw75b6wz0wz0bjwij9, 8jncnpkifnmg84s5qysuk4y96, 1f57m5jalwzn2xwr3xqtjiy8l, 2983qoliizrxvsi9sb9c5wwoa, cdrgzx1ujljsitv7hl0je3alm, 5awvo9xetmgwxmqfisawqz90q, 8qxoj7nyhu2prjl3bjfqi2ui1, 3ipb4zd3vz7dpnkyeiw22tal1, 10jwipbmvqza53ja0lwof9be1, 7a78pp4si2drs4st7dqfbhdlg",4196067447,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4196067451,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4196067449,194,1ldbn0jnfzcvj7edwlq1z4q8l,4196067445,130,8,4196067443,59,"42, 15, 19, 8, 13, 26, 77, 21, 9, 10, 11, 4, 7, 12, 14, 17, 20, 25, 55, 59",4196067685,197,10660,4196067441,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534779093,2,32,1,0,0,bwt8yfk8rkcwiwyr0mopd7wqd,1,0,0,2023-04-16T17:01:24.465Z,2023-04-16T17:01:27Z,4196342583,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534779079,2,32,1,0,0,26t6lvlpql4w5wu1ih73qpy36,1,0,0,2023-04-16T17:01:24.465Z,2023-04-16T17:01:24Z,4196342519,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534779181,3,1,1,0,0,26t6lvlpql4w5wu1ih73qpy36,1,49.9,49.7,2023-04-16T17:01:25.156Z,2023-04-16T17:08:12Z,4196343031,141,66.7,4196343035,213,2.5,4196343033,212,19.3,4196343027,56,Back,4196343037,279,S,4196343029,140,35.2,,,,,,,33qmom9yrc1ft1cte9qju1djp,André Horta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534779193,4,1,1,0,6,26t6lvlpql4w5wu1ih73qpy36,0,35.2,66.9,2023-04-16T17:01:31.022Z,2023-04-16T17:08:13Z,4196343111,212,21.9,4196343105,56,Center,4196343103,155,,4196343107,140,55.8,4196343109,141,72.0,4196343113,213,0.2,,,,,,,8t404ou7dw8vprk9h7jjuqjt,Vítor Tormena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534784243,65,44,1,0,7,26t6lvlpql4w5wu1ih73qpy36,1,71.2,84.5,2023-04-16T17:01:31.523Z,2023-04-16T17:08:17Z,4196370681,286,,4196370679,56,Left,4196370735,233,3,,,,,,,,,,,,,,,,2psarhoauswcdof4nb22sw7ah,S. Niakaté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534779191,3,44,1,0,7,bwt8yfk8rkcwiwyr0mopd7wqd,0,28.8,15.5,2023-04-16T17:01:31.524Z,2023-04-16T17:08:17Z,4196370749,233,65,4196343097,56,Back,4196343099,285,,,,,,,,,,,,,,,,,4aubucuhe6ic3osisrw73xe51,Carraça,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534788045,90,1,1,0,8,26t6lvlpql4w5wu1ih73qpy36,0,67.1,88.4,2023-04-16T17:01:33.289Z,2023-04-16T17:12:50Z,4196391969,213,5.5,4196391967,212,1.9,4196391959,3,,4196391961,56,Left,4196391963,140,68.4,4196391965,141,86.5,,,,,,,2psarhoauswcdof4nb22sw7ah,S. Niakaté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534779219,5,43,1,0,9,26t6lvlpql4w5wu1ih73qpy36,1,0,0,2023-04-16T17:01:33.554Z,2023-04-16T17:13:05Z,4196343227,141,68.8,4196343229,212,7.2,4196393397,144,1,4196343225,140,68.7,4196343223,56,Center,4196343233,213,4.6,,,,,,,5nlzolv5bg03eiopba58rs251,Matheus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
