id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,keyPass,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/15/value,qualifier/18/value
2443338243,1,34,16,0,0,cmbqc74mshg77ra7mywec2a6b,1,0,0,2022-08-07T13:38:35.280Z,2022-08-07T14:32:57Z,3691724237,197,13168,3691556891,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3691556879,30,"90v8e01hdffgqom4pwhjl0mvp, 4bsxzg78o3q9ot7bdngx9k5at, 5zbaigi2kpo930z50irfq11p1, 61g2iu3hmixel62zp2yp29tqt, aw1gqkqpznn5ku7ca9hy2skix, 9yzlho51tjytlzkdb6y20ozc9, 36zf6j90b94qls6y50c1xgi51, d7k81mlt4vh9lex8fd10tigh5, 13p5v8uisuijamyc9jd6uu784, 35y61220qzlyedki00vfmioyx, 2r6ma23qtyq2l18m21eksjp7u, 5k74ofoqel095frhszvdmxbhm, 7tih9jkxsbmeycu610gshs0h6, 649anpduq5pwrqbek73wr8n6y, 8lksmpg3qh7q3m54gwwrj7xlh, e7daok5mn6xq7q5sfi5r13105, 9zeyku7qe40gcnb9rtiveduc5, 3xps5hhvsiyviq8wswnzt22ju, caczqvr2l880frsd32nbjorxm, 6ercviac7hsqpcwcapfj8sijt",3691556887,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3691556881,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3691556883,59,"99, 95, 16, 8, 4, 17, 7, 80, 10, 9, 49, 20, 43, 35, 1, 3, 14, 15, 21, 77",3691556889,194,61g2iu3hmixel62zp2yp29tqt,3691556885,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443341337,1,34,16,0,0,ewsf6evtguu9j7k6js4tlgl89,1,0,0,2022-08-07T13:42:18.846Z,2022-08-07T14:35:12Z,3691572777,30,"4k2wic25asdlmuqr17e3s6nkl, 28lucwbes9q95s1j4mgy2s50q, 58r7rr6rqtji5m0bkdxmwqqui, dqpkkgodtwn11fgpq2c3tlqz9, 6wjwijfj7i2vvlsxzyzfb2cwl, dcj62hda8r17fx396ks6w79p1, 2ban1f798o92hq593c8a0nv11, 64upo0p7ealjcpfkldjiqlvit, cwd95dwww2bs1d9wzjpw3ydx, bxbvbqfhiv1hivt3ttxum1uy1, 53unfq55ouhqni5jbl07fyqc5, 1vw6okufgzi8d2rx2yx3vuhux, 9cju5a96bsq9fqhbl5ub6nisp, 7btjqixepiu3ykopyvg3k6itx, 4rehbibvon02t9unoz4tvm1w4, 1rl52q09tgbcuzw9q192ay9ec, ag5ozuf1o3ixkdrdb39g9dasp, 4jqmdmc0za8pdpz9ne875uzmx, edk9jemtelz51uoob4quyd4kq, 613xzggyqa0ugkmu2u6oxkmp5",3691572785,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3691572779,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3691572783,130,13,3691572787,194,6wjwijfj7i2vvlsxzyzfb2cwl,3691572781,59,"33, 42, 5, 19, 13, 3, 27, 8, 11, 14, 7, 2, 10, 16, 21, 44, 68, 70, 99, 88",3691572791,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3691741415,197,7108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443371623,2,32,1,0,0,ewsf6evtguu9j7k6js4tlgl89,1,0,0,2022-08-07T14:31:36.750Z,2022-08-07T14:31:38Z,3691730675,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443371603,2,32,1,0,0,cmbqc74mshg77ra7mywec2a6b,1,0,0,2022-08-07T14:31:36.750Z,2022-08-09T20:51:11Z,3691730561,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443371637,3,1,1,0,0,cmbqc74mshg77ra7mywec2a6b,1,50.2,50.1,2022-08-07T14:31:36.978Z,2022-08-10T11:38:46Z,3691730743,140,35.4,3691730747,212,15.6,3691730741,56,Back,3691730745,141,49.1,3691730749,213,3.2,3696896379,178,,3691730751,279,S,,,,35y61220qzlyedki00vfmioyx,K. Tagawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443371657,4,1,1,0,2,cmbqc74mshg77ra7mywec2a6b,0,35.4,49.1,2022-08-07T14:31:39.255Z,2022-08-10T11:38:50Z,3691730859,141,90.2,3696896431,178,,3691730855,56,Left,3691730857,140,77.3,3691730853,155,,3691730861,212,52.1,3691730863,213,0.6,3691730865,1,,61g2iu3hmixel62zp2yp29tqt,Anderson Carvalho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443371755,3,43,1,0,4,ewsf6evtguu9j7k6js4tlgl89,1,0,0,2022-08-07T14:31:41.260Z,2022-08-07T14:31:51Z,3691731495,233,5,3691731631,144,44,3691731427,56,Back,3691731429,285,0,,,,,,,,,,,,,dqpkkgodtwn11fgpq2c3tlqz9,N. Zolotić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443371667,5,43,1,0,4,cmbqc74mshg77ra7mywec2a6b,1,0,0,2022-08-07T14:31:41.261Z,2022-08-07T14:35:37Z,3691730921,286,0,3691746501,144,44,3691730917,56,Left,,,,,,,,,,,,,,,,36zf6j90b94qls6y50c1xgi51,Allano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443371763,4,4,1,0,5,ewsf6evtguu9j7k6js4tlgl89,1,22.1,15.7,2022-08-07T14:31:42.573Z,2022-08-10T11:38:58Z,3691731469,294,,3691731473,152,,3691731477,285,,3691731471,56,Back,3691731467,13,,3691731499,233,6,,,,,,,dcj62hda8r17fx396ks6w79p1,João Nunes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443371727,6,4,1,0,5,cmbqc74mshg77ra7mywec2a6b,0,77.9,84.3,2022-08-07T14:31:42.574Z,2022-08-10T11:38:57Z,3691731547,233,4,3691746941,294,,3691731303,286,,3696896521,178,,3691731295,13,,3691731299,152,,3691731297,56,Left,,,,5zbaigi2kpo930z50irfq11p1,Paulo Henrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
