id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/8/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist,qualifier/15/value,qualifier/18/value,qualifier/19/value,qualifier/17/value,qualifier/21/id,qualifier/21/qualifierId
2513423331,1,34,16,0,0,8gvg1ranyf93hprfkwx3ofl2y,1,0,0,2023-02-27T20:11:53.463Z,2023-02-27T21:19:36Z,4062342597,59,"14, 2, 72, 3, 22, 13, 80, 10, 9, 11, 17, 20, 21, 23, 33, 53, 76, 83, 90, 98",4062342605,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4062342593,30,"2accix9saahg900cja5e9iw9h, d30uqfrs7mqb6jnj99qgyr28k, 9avbe1i215rk0o2j16iq0u2nd, 6ram2zlda1gvj947zzmab68r9, 2lur2ts61wwrsvih1lb1jee50, bot4jd6s4g69w5wvtn9qlevx0, 1qcf5gb8wf8f4tu94xh96yqy, 7bizatqq8lesywgb68x9cizmd, 35csuq89nc1zgpc4j2mdav6jt, 1ziaf8ivlizetjhinr9ua6uax, 7jqin4ptb8of32u4e646mxwtm, 4tyjzyixiz32zfs37qs4u6ve2, 2cs8bo4l70gbkudh3gqazb105, bz64q1gkwqtlc749oqqqzm5wq, evwzikhqpwulci3y20ckeoc15, t89fo4c79gkcq5wowch0xwd0, 3f2otwd2ozwk89319ssh9yjmd, 5desb812yn2icc8d2lew7lu22, 1899balq50r7vbqqf8qwjlxpl, bgcphqeckm71jpbnzjivrnug9",4062342599,130,17,4062342601,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4062479713,197,4663,4062342603,194,2accix9saahg900cja5e9iw9h,4062342595,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513424091,1,34,16,0,0,26t6lvlpql4w5wu1ih73qpy36,1,0,0,2023-02-27T20:13:20.373Z,2023-03-01T15:25:15Z,4062346615,30,"5nlzolv5bg03eiopba58rs251, 1wtikted5kmtz3bpu17enlvc9, c8s3kzk7jpdpp5ctzqkzh9vit, 5r7q0eg6pmoq0safxa9tnm5l, 8t404ou7dw8vprk9h7jjuqjt, 2psarhoauswcdof4nb22sw7ah, 2apqk2zobhs8ypnaw0bzkch9m, 8gkc9l566rjg7nifxwsq5vdud, e5xv1rmy69kwuxjxin653ojqh, 43xutn1unln5o3gwx3cl4lo0l, 5l9ilx0kwbny81lykqksoz9w5, 33qmom9yrc1ft1cte9qju1djp, c3pxiexbciif7uu845ivx5hhx, 23d0t7gqlra3jkskn18bh752i, 51rs6ozeux61yyjfk9ci86311, elgb3y6p91z049awc7u549785, csvbc0k1f54418nn8pjhg8ull, y6esn24vphnrw3y50poje21h, 5kcytruttikppbpkeg9rhd4gl, 5bo84b7398nyv87ztwd8wxh3p",4062346623,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4062346627,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4062485057,197,13139,4062346619,59,"1, 2, 6, 19, 3, 4, 7, 8, 9, 23, 21, 10, 12, 14, 15, 22, 26, 27, 45, 88",4062346625,194,5l9ilx0kwbny81lykqksoz9w5,4062346621,130,2,4062346617,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513449475,2,32,1,0,0,8gvg1ranyf93hprfkwx3ofl2y,1,0,0,2023-02-27T21:15:50.583Z,2023-03-01T23:19:55Z,4062485591,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513449469,2,32,1,0,0,26t6lvlpql4w5wu1ih73qpy36,1,0,0,2023-02-27T21:15:50.583Z,2023-02-27T21:15:50Z,4062485565,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513449497,3,1,1,0,0,8gvg1ranyf93hprfkwx3ofl2y,1,49.9,50,2023-02-27T21:15:50.627Z,2023-03-02T05:07:34Z,4062485727,56,Back,4062485733,212,20.7,4062485729,140,30.2,4062485737,279,S,4062485735,213,3.1,4066234785,178,,4062485731,141,50.0,,,,7bizatqq8lesywgb68x9cizmd,Tiago Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513449513,4,1,1,0,2,8gvg1ranyf93hprfkwx3ofl2y,1,30.6,54.8,2023-02-27T21:15:53.371Z,2023-03-02T05:07:38Z,4062485875,141,90.3,4066234813,178,,4062485879,213,1.1,4062485873,140,41.0,4062485871,56,Back,4062485877,212,26.5,,,,,,,6ram2zlda1gvj947zzmab68r9,M. Villanueva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513449527,5,1,1,0,6,8gvg1ranyf93hprfkwx3ofl2y,1,39.9,92,2023-02-27T21:15:56.796Z,2023-03-02T05:07:46Z,4062485975,213,6.2,4062485971,141,90.6,4062485965,155,,4066234887,178,,4062485973,212,27.0,4062485967,56,Left,4062485969,140,65.6,,,,9avbe1i215rk0o2j16iq0u2nd,Afonso  de Freitas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514161077,885,43,1,0,7,8gvg1ranyf93hprfkwx3ofl2y,1,0,0,2023-02-27T21:15:58.490Z,2023-03-02T05:46:36Z,4066257953,144,67,4066257863,233,834,,,,,,,,,,,,,,,,,,,35csuq89nc1zgpc4j2mdav6jt,Alisson Safira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514161075,834,43,1,0,7,26t6lvlpql4w5wu1ih73qpy36,1,0,0,2023-02-27T21:15:58.491Z,2023-03-02T05:46:35Z,4066257877,233,885,4066257951,144,67,,,,,,,,,,,,,,,,,,,8t404ou7dw8vprk9h7jjuqjt,Vítor Tormena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514161119,886,67,1,0,7,8gvg1ranyf93hprfkwx3ofl2y,1,66.5,91.1,2023-02-27T21:15:58.507Z,2023-03-02T06:05:18Z,4066258075,233,839,,,,,,,,,,,,,,,,,,,,,,35csuq89nc1zgpc4j2mdav6jt,Alisson Safira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
