id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/22/id,qualifier/22/qualifierId
2482739879,1,34,16,0,0,9ldqu49smv1xg2va0n2cy28zl,1,0,0,2022-11-06T19:35:22.564Z,2022-11-06T21:46:46Z,3900838447,130,2,3900838445,59,"99, 6, 3, 61, 66, 30, 20, 13, 27, 33, 22, 2, 4, 7, 17, 23, 25, 38, 39, 77",3900838441,30,"7jtc6yk5xu4cm1an97wrgozbp, 9j0v9bomstpbku7nnmqp8n7c9, 12f4mz064elnxecq2srl7r6j9, 5t952swvuoed4pdwgbi4yjhex, 2p86mzr8qnu9iy01fusvovf56, x32fbvwwxkda9ruezw67b3dh, fvuj5umkjxxb1btu6004xjh1, 1zxwich342p8fholev7ddkwh6, 37ao6cj3w5pd5v5ap79fqlxw5, bxcpii8qeyw2duignml45sc15, yzee990gbkpl00qdgr6h3r2t, 7qwzed85qna21zisvvatrjlxx, er2t5qzxjzjgiz64l5qqk3mjt, 7pi4j76iy3cfh0bfkxf9x8ell, e81dfbtza1g8v3lozf39x3f85, 18mddnpa54ygoaefaj0c5obf9, a5kkysp7c5f577ji17q5v2k0l, 5i6p36ywmaoj1i26fl54th5d6, 8uj1pf52hctbd2uxjz4s4tnxm, b2f67gkfb59hda2vka59e7qol",3900838453,197,368,3900838451,194,x32fbvwwxkda9ruezw67b3dh,3900838443,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3900838455,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3900838449,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482744235,1,34,16,0,0,22mo7qbsnyi8wtucpvhgvhw2q,1,0,0,2022-11-06T19:41:43.032Z,2022-11-06T22:01:21Z,3900866435,30,"e4x6fx7njwfevkwf1t0ocyq51, 3gelookco8f9ft0guaec03t3o, 3o3pp38h4ww0btuxzna0mhtcl, ctkp6xkdg68xonlfkjwe580oa, dzq4gg917idfq1rhng1coi5uc, 2zu7x3ge1bkly3l57je95laeh, 5bl0qe7l7juksox3s4u76hxat, 1e12w0zsray39tnhemg3jy5t5, 3sdtccxqlc28tszv5vrnibckq, 51edb4gy0w4q1wns87xehn2dx, dqpofsnyszazhkp0t7gtlfi3u, 195o7hchielt14ic49r3k06sq, cdkxx5845lj8spbg3ha7m1xm2, 1l0sfejnziz4ur5prgb0tp2j8, 9ylq7ia76wd7pxq3ax9qo8w5x, apgwxh3jxuosp69vtmrwbea6s, c9juqy1fmkna7jcozyeg0weeh, 4mvqt04u92wsm1p5ja8fpilii, ellz88deagksyfqdqzv16rckq, 22ol5dyxze6bztorp2amc85m2",3900866437,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3900866449,197,11679,3900866451,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3900866441,130,7,3900866439,59,"13, 62, 31, 25, 3, 4, 95, 32, 79, 10, 7, 8, 22, 29, 34, 47, 50, 78, 90, 91",3900866447,194,3o3pp38h4ww0btuxzna0mhtcl,3900866445,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482784307,2,32,1,0,0,22mo7qbsnyi8wtucpvhgvhw2q,1,0,0,2022-11-06T20:32:13.416Z,2022-11-24T18:00:13Z,3901075913,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482784297,2,32,1,0,0,9ldqu49smv1xg2va0n2cy28zl,1,0,0,2022-11-06T20:32:13.416Z,2022-11-06T20:32:13Z,3901075873,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482784329,3,1,1,0,0,9ldqu49smv1xg2va0n2cy28zl,1,49.9,50,2022-11-06T20:32:13.436Z,2022-11-24T18:08:12Z,3901076025,140,39.6,3901076027,141,38.9,3901076033,213,3.8,3901076021,56,Back,3925493695,178,,3901076035,279,S,3901076031,212,13.2,,,,37ao6cj3w5pd5v5ap79fqlxw5,Rafa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482784365,4,1,1,0,2,9ldqu49smv1xg2va0n2cy28zl,1,39.7,34.9,2022-11-06T20:32:16.085Z,2022-11-24T18:08:16Z,3901076207,56,Back,3925493753,178,,3901076213,212,18.2,3901076215,213,4.6,3901076209,140,38.5,3901076211,141,8.2,,,,,,,5t952swvuoed4pdwgbi4yjhex,Florentino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482784403,5,1,1,0,5,9ldqu49smv1xg2va0n2cy28zl,1,38.6,9.2,2022-11-06T20:32:18.938Z,2022-11-24T18:08:19Z,3925493857,178,,3901076441,140,30.5,3901076439,56,Back,3901076445,212,13.1,3901076447,213,2.3,3901076443,141,23.9,,,,,,,9j0v9bomstpbku7nnmqp8n7c9,A. Bah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482784425,6,1,1,0,8,9ldqu49smv1xg2va0n2cy28zl,1,29.4,31.8,2022-11-06T20:32:22.030Z,2022-11-24T18:08:21Z,3901076547,140,28.7,3925493905,178,,3901076553,213,1.7,3901076543,56,Back,3901076551,212,6.2,3901076549,141,40.9,,,,,,,2p86mzr8qnu9iy01fusvovf56,António Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482784479,7,1,1,0,10,9ldqu49smv1xg2va0n2cy28zl,1,29.8,47.6,2022-11-06T20:32:23.760Z,2022-11-24T18:08:23Z,3901076787,212,31.7,3901076785,141,91.1,3901076781,56,Back,3901076783,140,40.6,3925493951,178,,3901076789,213,1.2,,,,,,,1zxwich342p8fholev7ddkwh6,E. Fernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482784511,8,1,1,0,13,9ldqu49smv1xg2va0n2cy28zl,1,37.6,92.6,2022-11-06T20:32:26.663Z,2022-11-24T18:08:30Z,3901076953,213,3.7,3901076947,140,31.0,3901076945,56,Back,3901076949,141,86.9,3925494149,178,,3901076951,212,7.9,,,,,,,12f4mz064elnxecq2srl7r6j9,Álex Grimaldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
