id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,qualifier/13/value,qualifier/14/value,assist,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value,qualifier/20/id,qualifier/20/qualifierId
2529937775,1,34,16,0,0,3b4nxgvmwzstmoq6borytkwx1,1,0,0,2023-04-07T19:14:09.569Z,2023-04-07T19:53:52Z,4170686311,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4170686317,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170917983,194,ekjpc2tvdk5jtiamtufdqkr85,4170686315,130,8,4170781843,197,1519,4170686307,30,"ekjpc2tvdk5jtiamtufdqkr85, 4a4kjygjq5el2ylh7k660lul0, 7aak50ydu8nrfxd9qndeygnpw, 47wasen155qbiu6pmyp3dowr9, 3ebyf23azgbktpf7dgwlphkvd, c406oul95r3jvmbebcge5oz4l, 57pi7l4h7g2jydmkc5vl6vkr9, eyllkbdemtx2seh48r9l3czbp, rm1d0hp2iwsne1hbfgq0oa21, aissbbcnwyr06fhgfamxo9j2t, 5za437wrlqizff74n6uqodpzp, 6w3iuh0f11tbwr037i7qb031m, 3batawbh7y4sjkeo4hn34svzd, 6a34imgccsbw4zysasuziuad, 96tuk7bpr043jh2obpegcgd4a, 1a1cur7ima2n6hxas3fqlplhw, 4ax49niuix9tiqdv05y3vbdn9, 3weuuu2vlyod9x7gnk2v9r1ed, 6ylhhspjzxqrbqj4yq35hwkr8, 5bpx24iyhlarqkmg09pm27lgq",4170686313,59,"1, 79, 70, 24, 2, 26, 21, 42, 11, 8, 7, 6, 9, 12, 13, 16, 19, 23, 59, 77",4170686321,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529938413,1,34,16,0,0,8gvg1ranyf93hprfkwx3ofl2y,1,0,0,2023-04-07T19:14:37.845Z,2023-04-07T19:33:43Z,4170781739,197,13271,4170689883,194,2cs8bo4l70gbkudh3gqazb105,4170689877,59,"63, 2, 72, 3, 22, 83, 80, 21, 33, 17, 90, 7, 8, 11, 20, 23, 24, 53, 76, 98",4170689875,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4170689879,130,17,4170689885,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170689873,30,"e2nsy4zv5hw9x13mp604tr8ix, d30uqfrs7mqb6jnj99qgyr28k, 9avbe1i215rk0o2j16iq0u2nd, 6ram2zlda1gvj947zzmab68r9, 2lur2ts61wwrsvih1lb1jee50, 5desb812yn2icc8d2lew7lu22, 1qcf5gb8wf8f4tu94xh96yqy, 2cs8bo4l70gbkudh3gqazb105, evwzikhqpwulci3y20ckeoc15, 7jqin4ptb8of32u4e646mxwtm, 1899balq50r7vbqqf8qwjlxpl, 53sq02gs09i7chjvx2zfwdaz9, 2456sb5oj15equsuu5npj43my, 1ziaf8ivlizetjhinr9ua6uax, 4tyjzyixiz32zfs37qs4u6ve2, bz64q1gkwqtlc749oqqqzm5wq, 3x1y10rgm8bbu3zgef74b05ck, t89fo4c79gkcq5wowch0xwd0, 3f2otwd2ozwk89319ssh9yjmd, bgcphqeckm71jpbnzjivrnug9",4170689881,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529957355,2,32,1,0,0,3b4nxgvmwzstmoq6borytkwx1,1,0,0,2023-04-07T19:30:25.279Z,2023-04-09T07:18:41Z,4170793183,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529957341,2,32,1,0,0,8gvg1ranyf93hprfkwx3ofl2y,1,0,0,2023-04-07T19:30:25.279Z,2023-04-07T19:30:25Z,4170793109,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529957431,3,1,1,0,0,8gvg1ranyf93hprfkwx3ofl2y,1,50.1,50,2023-04-07T19:30:25.339Z,2023-04-09T12:59:34Z,4170793679,56,Back,4170793683,141,61.1,4176484935,178,,4170793687,213,2.7,4170793681,140,33.5,4170793685,212,19.0,4170793689,279,S,,,,5desb812yn2icc8d2lew7lu22,M. Tounkara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529957483,4,1,1,0,3,8gvg1ranyf93hprfkwx3ofl2y,0,33.6,61.5,2023-04-07T19:30:28.822Z,2023-04-09T12:59:47Z,4170794035,140,73.0,4170794039,212,42.7,4170794043,1,,4176485537,178,,4170794037,141,76.8,4170794031,155,,4170794033,56,Center,4170794041,213,0.2,6ram2zlda1gvj947zzmab68r9,M. Villanueva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529957513,3,44,1,0,6,3b4nxgvmwzstmoq6borytkwx1,1,25,22.6,2023-04-07T19:30:31.482Z,2023-04-09T14:26:28Z,4170794177,285,,4170794245,233,5,4170794175,56,Back,,,,,,,,,,,,,,,,3ebyf23azgbktpf7dgwlphkvd,R. Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529957509,5,44,1,0,6,8gvg1ranyf93hprfkwx3ofl2y,0,75,77.4,2023-04-07T19:30:31.483Z,2023-04-09T12:59:51Z,4170794161,286,,4170794357,233,3,4170794159,56,Center,,,,,,,,,,,,,,,,evwzikhqpwulci3y20ckeoc15,Anderson Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529957567,4,1,1,0,6,3b4nxgvmwzstmoq6borytkwx1,1,22.7,21.9,2023-04-07T19:30:31.912Z,2023-04-09T14:26:28Z,4170794413,3,,4170794425,213,0.5,4170794423,212,13.7,4176486083,388,,4170794421,141,32.2,4170794419,140,33.9,4170794417,56,Back,,,,3ebyf23azgbktpf7dgwlphkvd,R. Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529957573,5,49,1,0,7,3b4nxgvmwzstmoq6borytkwx1,1,33.9,32.2,2023-04-07T19:30:33.231Z,2023-04-09T13:00:01Z,,,,,,,,,,,,,,,,,,,,,,,,,aissbbcnwyr06fhgfamxo9j2t,Bruno Lourenço,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
