id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,keyPass,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value
2455787577,1,34,16,0,0,ewsf6evtguu9j7k6js4tlgl89,1,0,0,2022-09-04T13:27:05.676Z,2022-09-04T14:34:17Z,3757800627,130,13,3757800625,59,"33, 42, 5, 19, 13, 3, 8, 27, 11, 14, 7, 23, 17, 2, 4, 15, 68, 70, 88, 99",3757800623,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3758064559,197,7108,3757800633,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757800629,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757800621,30,"4k2wic25asdlmuqr17e3s6nkl, 28lucwbes9q95s1j4mgy2s50q, 58r7rr6rqtji5m0bkdxmwqqui, dqpkkgodtwn11fgpq2c3tlqz9, 6wjwijfj7i2vvlsxzyzfb2cwl, dcj62hda8r17fx396ks6w79p1, 64upo0p7ealjcpfkldjiqlvit, 2ban1f798o92hq593c8a0nv11, cwd95dwww2bs1d9wzjpw3ydx, bxbvbqfhiv1hivt3ttxum1uy1, 53unfq55ouhqni5jbl07fyqc5, 3qqh9uurvqkg6aljwwjyxp8mh, 3sxd2j3a9d2bukfeu5y9824tl, 1vw6okufgzi8d2rx2yx3vuhux, 3uvek737jr8909is4vi1d9nxm, d92r3s9hlaq3k56b503ovjfmd, ag5ozuf1o3ixkdrdb39g9dasp, 4jqmdmc0za8pdpz9ne875uzmx, 613xzggyqa0ugkmu2u6oxkmp5, edk9jemtelz51uoob4quyd4kq",3757800631,194,6wjwijfj7i2vvlsxzyzfb2cwl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455790689,1,34,16,0,0,dich5v7sw466smbqap0d9rbyj,1,0,0,2022-09-04T13:31:28.739Z,2022-09-04T14:33:08Z,3757816637,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757816635,130,8,3758055381,197,390,3757816627,30,"c7wta7tm5rfielv4211c253v9, djb8j3hb7mnnghg9jmd15w0r9, ds66cc3zwxbyl5zfzag5422g9, 7nrjutc015x9nupdcl4hj3l5h, 8zt0zlypar7m1eqj4zu8ul695, 1ni0afs55daxlb5ocaqb2o8vd, clnli7y2s88p16yqtrbsb99sl, 1doj252anzqdzn5fknqr5i31l, 3vln1sp3b13v1yhcsd0vl3c2x, 3w3z6g8x70ii3pltaxyxbycwl, c0pat4dqmsc4teand5ampsdlh, 9l70xwbhc0xr57iifzyxzot7t, dh3ddfghtgeb2iu2608y96i5m, 25n2vrjnz5qsm5pigyn3ps8vd, 1nqpxso2a9qw8w8g6u4sb60ut, 1swp008ttj3pd57fz5uw8mctm, 79ir6aubulzanvonfbgngk5hx, bdgqvvkpadpthmlm40wa6dcyx, evdhe2j9k1smuk1ul7woo3h0p, 2jl9lfqd2q74iwamx7g0xva50",3757816629,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3757816639,194,8zt0zlypar7m1eqj4zu8ul695,3757816631,59,"1, 28, 6, 5, 13, 3, 7, 23, 19, 10, 8, 2, 11, 12, 14, 17, 20, 21, 43, 64",3757816641,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455838073,2,32,1,0,0,dich5v7sw466smbqap0d9rbyj,1,0,0,2022-09-04T14:34:01.062Z,2022-09-04T14:34:06Z,3758071515,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455838061,2,32,1,0,0,ewsf6evtguu9j7k6js4tlgl89,1,0,0,2022-09-04T14:34:01.062Z,2022-09-06T18:49:32Z,3758071441,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455838121,3,1,1,0,0,dich5v7sw466smbqap0d9rbyj,1,49.9,50.1,2022-09-04T14:34:01.087Z,2022-09-07T06:09:06Z,3758071763,141,39.6,3763575903,178,,3758071765,212,15.8,3758071771,213,3.6,3758071759,56,Back,3758071773,279,S,3758071761,140,36.5,,,,3vln1sp3b13v1yhcsd0vl3c2x,Rafa Mújica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455838143,4,1,1,0,1,dich5v7sw466smbqap0d9rbyj,1,40.1,33.7,2022-09-04T14:34:02.708Z,2022-09-07T06:09:10Z,3758071929,56,Back,3758071933,141,26.9,3763575971,178,,3758071931,140,26.5,3758071937,213,3.5,3758071935,212,15.0,,,,,,,3w3z6g8x70ii3pltaxyxbycwl,A. Ruiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455838155,5,1,1,0,4,dich5v7sw466smbqap0d9rbyj,1,26.5,26.9,2022-09-04T14:34:05.523Z,2022-09-07T06:09:15Z,3763576017,178,,3758071981,56,Back,3758071987,212,23.7,3758071985,141,61.7,3758071989,213,1.6,3758071983,140,26.0,,,,,,,8zt0zlypar7m1eqj4zu8ul695,João Basso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455838241,6,1,1,0,7,dich5v7sw466smbqap0d9rbyj,1,26.6,68.9,2022-09-04T14:34:09.037Z,2022-09-07T06:09:18Z,3763576045,178,,3758072393,141,38.2,3758072395,212,20.9,3758072389,56,Back,3758072397,213,4.6,3758072391,140,25.2,,,,,,,1ni0afs55daxlb5ocaqb2o8vd,J. Opoku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455838275,7,1,1,0,12,dich5v7sw466smbqap0d9rbyj,1,28.2,36.8,2022-09-04T14:34:13.430Z,2022-09-07T06:09:23Z,3758072641,141,70.4,3763576099,178,,3758072645,213,1.6,3758072637,56,Back,3758072639,140,28.3,3758072643,212,22.8,,,,,,,8zt0zlypar7m1eqj4zu8ul695,João Basso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455838375,8,1,1,0,16,dich5v7sw466smbqap0d9rbyj,0,28.8,76.1,2022-09-04T14:34:17.833Z,2022-09-07T06:09:25Z,3758073265,141,67.5,3758073267,212,47.0,3763576111,178,,3758073271,1,,3758073263,140,73.2,3758073269,213,6.2,3758073261,56,Center,3758073259,155,,1ni0afs55daxlb5ocaqb2o8vd,J. Opoku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
