id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2534846737,1,34,16,0,0,7catg5lpivcmpf4xhggh6d8rk,1,0,0,2023-04-16T18:34:56.156Z,2023-04-16T19:34:10Z,4196711351,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4196711349,130,17,4196711347,59,"1, 19, 11, 2, 4, 26, 15, 28, 79, 33, 17, 5, 6, 12, 13, 16, 25, 32, 47, 99",4196711353,194,a9htjxrpgqlcv577x4kvlkh5h,4196711355,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4196886195,197,12815,4196711343,30,"342kh2ue733edf9q7s0a2edat, 3e8mxxfs5q7gt4lg2beqpkwyd, a9ozu4hjaylfr4299ceryskid, 3fo37mb4cp6lb0e86hhiyvu8l, a9htjxrpgqlcv577x4kvlkh5h, 38339rg6eqprxc0w976gozjmc, 8jfjglichcg0py57hhri5v0fd, eee0bq4dkdn91l81e8cf1zxpm, 2m5jzeksbet8ltn3shk2exox6, 1xxhkr7nex5mjc9hrxm100lih, 83ekq1r2omnsazmp41pio8s89, d9i8y5vlymc2yggwxrax8wcbu, 1ovfx9uqyflqar5cu0uishsyx, cuc7gtr9q0465wxmzgq834ag9, 1kn0x4n8grpc1cx46ctnmajth, a7twqgp3fp43y1aoybfe2i8d1, cayu6id8xmj67n29s2x3bsbxm, 9qp4xdwqq8odu20tto0zztz4k, 10k53pv13mw9hzllv70umgzbp, 68obui97r4hepek7p57qbiz9w",4196711345,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534848003,1,34,16,0,0,dich5v7sw466smbqap0d9rbyj,1,0,0,2023-04-16T18:36:52.361Z,2023-04-16T20:34:27Z,4196718209,130,5,4196718211,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4196913037,197,390,4196718215,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4196718207,59,"12, 28, 6, 10, 13, 44, 11, 5, 19, 14, 2, 3, 4, 7, 8, 9, 16, 17, 18, 21",4196718213,194,8zt0zlypar7m1eqj4zu8ul695,4196718205,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4196718203,30,"25n2vrjnz5qsm5pigyn3ps8vd, djb8j3hb7mnnghg9jmd15w0r9, ds66cc3zwxbyl5zfzag5422g9, 3w3z6g8x70ii3pltaxyxbycwl, 8zt0zlypar7m1eqj4zu8ul695, 43mnaysq76cz587wxk8w3job9, dh3ddfghtgeb2iu2608y96i5m, 7nrjutc015x9nupdcl4hj3l5h, 3vln1sp3b13v1yhcsd0vl3c2x, 1nqpxso2a9qw8w8g6u4sb60ut, 9l70xwbhc0xr57iifzyxzot7t, 1ni0afs55daxlb5ocaqb2o8vd, 5dfjrbb8xobsxuujy1xrsgedx, c2hmvhnurdg1vw49j45dw2jca, c0pat4dqmsc4teand5ampsdlh, 4effb0zguv2lqtv2vl9lqb696, 12uvfzb3xe7bk4h6xl6c8cet, 1swp008ttj3pd57fz5uw8mctm, eswp4t4r8ktirsnkodz26gyui, bdgqvvkpadpthmlm40wa6dcyx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534884157,2,32,1,0,0,dich5v7sw466smbqap0d9rbyj,1,0,0,2023-04-16T19:33:15.233Z,2023-04-16T19:33:18Z,4196916815,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534884151,2,32,1,0,0,7catg5lpivcmpf4xhggh6d8rk,1,0,0,2023-04-16T19:33:15.233Z,2023-04-16T19:33:15Z,4196916795,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534884203,3,1,1,0,0,7catg5lpivcmpf4xhggh6d8rk,1,49.9,50.1,2023-04-16T19:33:15.333Z,2023-04-16T19:33:36Z,4196917033,141,48.4,4196917029,140,43.0,4196917041,213,3.3,4196917043,279,S,4196917037,212,7.3,4196917025,56,Back,,,,,,,2m5jzeksbet8ltn3shk2exox6,Youssef Chermiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534884223,4,1,1,0,3,7catg5lpivcmpf4xhggh6d8rk,1,46.7,50.1,2023-04-16T19:33:18.539Z,2023-04-16T19:33:21Z,4196917143,141,69.6,4196917145,212,13.3,4196917141,140,47.2,4196917147,213,1.5,4196917139,56,Back,,,,,,,,,,8jfjglichcg0py57hhri5v0fd,M. Ugarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534884247,5,1,1,0,5,7catg5lpivcmpf4xhggh6d8rk,1,54.8,73.7,2023-04-16T19:33:20.923Z,2023-04-16T19:33:22Z,4196917297,141,77.1,4196917301,213,0.3,4196917293,56,Center,4196917295,140,62.0,4196917299,212,7.9,,,,,,,,,,eee0bq4dkdn91l81e8cf1zxpm,Pote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534884259,6,1,1,0,7,7catg5lpivcmpf4xhggh6d8rk,1,62,77.1,2023-04-16T19:33:22.507Z,2023-04-16T19:33:23Z,4196917355,213,2.5,4196917353,212,8.7,4196917347,56,Left,4196917349,140,55.4,4196917351,141,84.8,,,,,,,,,,83ekq1r2omnsazmp41pio8s89,Trincão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534884267,7,1,1,0,8,7catg5lpivcmpf4xhggh6d8rk,1,55.4,84.8,2023-04-16T19:33:23.819Z,2023-04-16T19:33:25Z,4196917409,140,54.9,4196917411,141,74.4,4196917415,213,4.6,4196917407,56,Center,4196917413,212,7.1,,,,,,,,,,eee0bq4dkdn91l81e8cf1zxpm,Pote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534884291,8,1,1,0,10,7catg5lpivcmpf4xhggh6d8rk,1,54,72.6,2023-04-16T19:33:25.355Z,2023-04-16T19:33:28Z,4196917557,212,16.6,4196917559,213,4.2,4196917551,56,Back,4196917553,140,45.7,4196917555,141,51.8,,,,,,,,,,83ekq1r2omnsazmp41pio8s89,Trincão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
