id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,assist,qualifier/9/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,keyPass,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/18/value
2505652147,4,34,16,0,0,22mo7qbsnyi8wtucpvhgvhw2q,1,0,0,2023-02-09T17:09:43.880Z,2023-02-09T18:03:26Z,4021345823,130,8,4021345831,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4021345821,59,"99, 62, 31, 25, 34, 23, 21, 20, 50, 10, 78, 94, 3, 7, 9, 13, 22, 33, 47, 90",4021345817,30,"1ocxh5s9uo0s8ag79j7iv6acp, 3gelookco8f9ft0guaec03t3o, 3o3pp38h4ww0btuxzna0mhtcl, ctkp6xkdg68xonlfkjwe580oa, 9ylq7ia76wd7pxq3ax9qo8w5x, 2jskw42u7twkcsxa15hcysiy1, 74hu9pcq0b1z36871v3inexyi, dyeuxixz75ematbmtiwzcvhzp, c9juqy1fmkna7jcozyeg0weeh, 51edb4gy0w4q1wns87xehn2dx, 4mvqt04u92wsm1p5ja8fpilii, ae2oiarq88l7ts51e8q6p7uac, dzq4gg917idfq1rhng1coi5uc, dqpofsnyszazhkp0t7gtlfi3u, 1jvpqpf5rak11gh8gilldpgtm, e4x6fx7njwfevkwf1t0ocyq51, cdkxx5845lj8spbg3ha7m1xm2, f57x0lswad64sg1mpry8xiadw, apgwxh3jxuosp69vtmrwbea6s, ellz88deagksyfqdqzv16rckq",4021345829,197,11679,4021345827,194,3o3pp38h4ww0btuxzna0mhtcl,4021345819,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4021345825,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505652149,3,34,16,0,0,3b4nxgvmwzstmoq6borytkwx1,1,0,0,2023-02-09T17:09:47.083Z,2023-02-09T18:08:22Z,4021345873,59,"1, 79, 19, 6, 23, 26, 8, 18, 11, 42, 21, 2, 4, 7, 9, 10, 12, 13, 59, 77",4021345869,30,"ekjpc2tvdk5jtiamtufdqkr85, 4a4kjygjq5el2ylh7k660lul0, 4ax49niuix9tiqdv05y3vbdn9, 6w3iuh0f11tbwr037i7qb031m, 3weuuu2vlyod9x7gnk2v9r1ed, c406oul95r3jvmbebcge5oz4l, aissbbcnwyr06fhgfamxo9j2t, 90ojk78yhwtwbnz0k5w1ow6hh, rm1d0hp2iwsne1hbfgq0oa21, eyllkbdemtx2seh48r9l3czbp, 57pi7l4h7g2jydmkc5vl6vkr9, 3ebyf23azgbktpf7dgwlphkvd, 6n9p8xqhlgz0qfi39rojaxst0, 5za437wrlqizff74n6uqodpzp, 3batawbh7y4sjkeo4hn34svzd, 6s3dyzmxof6gtc9whatcgiz56, 6a34imgccsbw4zysasuziuad, 96tuk7bpr043jh2obpegcgd4a, 6ylhhspjzxqrbqj4yq35hwkr8, 5bpx24iyhlarqkmg09pm27lgq",4021345871,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4021345875,130,8,4021345881,197,1519,4021345883,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4021345879,194,ekjpc2tvdk5jtiamtufdqkr85,4021345877,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505656695,4,32,1,0,0,3b4nxgvmwzstmoq6borytkwx1,1,0,0,2023-02-09T18:02:10.999Z,2023-02-09T18:02:12Z,4021372699,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505656691,5,32,1,0,0,22mo7qbsnyi8wtucpvhgvhw2q,1,0,0,2023-02-09T18:02:10.999Z,2023-02-11T18:07:19Z,4021372679,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505656703,6,1,1,0,0,22mo7qbsnyi8wtucpvhgvhw2q,1,50,50,2023-02-09T18:02:11.097Z,2023-02-12T02:05:15Z,4021372749,279,S,4021372747,213,2.2,4021372745,212,14.1,4027271611,178,,4021372743,141,66.9,4021372741,140,42.3,4021372739,56,Back,,,,51edb4gy0w4q1wns87xehn2dx,Francisco Geraldes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505656713,5,45,1,0,5,3b4nxgvmwzstmoq6borytkwx1,0,50.8,51.6,2023-02-09T18:02:16.443Z,2023-02-12T02:07:51Z,4021372813,233,7,4021372785,285,,4021372783,56,Center,,,,,,,,,,,,,,,,rm1d0hp2iwsne1hbfgq0oa21,Y. Njie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505656707,7,3,1,0,5,22mo7qbsnyi8wtucpvhgvhw2q,1,49.2,48.4,2023-02-09T18:02:16.443Z,2023-02-12T02:07:50Z,4021372757,286,,4022338815,464,,4021372755,56,Back,4021372799,233,5,4027272947,178,,,,,,,,,,,dyeuxixz75ematbmtiwzcvhzp,João Carvalho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505656719,8,1,1,0,6,22mo7qbsnyi8wtucpvhgvhw2q,1,55.1,42.7,2023-02-09T18:02:17.609Z,2023-02-12T02:07:37Z,4021372819,140,68.1,4021372817,56,Center,4021372825,213,5.8,4021372823,212,15.1,4021372821,141,33.1,4027273393,178,,,,,,,,dyeuxixz75ematbmtiwzcvhzp,João Carvalho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505656723,9,61,1,0,7,22mo7qbsnyi8wtucpvhgvhw2q,1,68.1,33.1,2023-02-09T18:02:18.402Z,2023-02-12T02:08:00Z,4021372841,56,Center,4027275619,178,,,,,,,,,,,,,,,,,,,,51edb4gy0w4q1wns87xehn2dx,Francisco Geraldes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505656729,10,3,1,0,8,22mo7qbsnyi8wtucpvhgvhw2q,0,68.6,30.3,2023-02-09T18:02:19.702Z,2023-02-12T02:08:32Z,4021372875,56,Center,4027276551,178,,4021372941,233,6,4021372877,286,,4022340279,464,,,,,,,,,,,74hu9pcq0b1z36871v3inexyi,Tiago Gouveia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
