id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,keyPass,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2495377893,1,34,16,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,0,0,2023-01-06T20:19:55.065Z,2023-01-08T14:53:42Z,3967400073,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3967400075,59,"31, 6, 74, 12, 15, 4, 77, 97, 29, 20, 10, 1, 2, 5, 7, 14, 17, 18, 28, 32",3967530519,197,6595,3967400071,30,"6ddxujeb3873j5evwiz8n4wt0, ck3l6a262hves3v6nywarx9pm, d98j4asio4xrxcwmfg1ak95yi, 48li2iey0m9b8h8cvs6py2iy2, 1zteujk5u3rpr028priato4bt, 4ofpb9y2fqqr3d5cdfbl05c6h, bvlwv6fwawqnv446zj516y4no, 1u9sn1cu0pq16mina2q6d6dwp, 5fcx7aiflhvguztjw8mp53b9x, 76w964mdux2s3max2nlih6az8, arpoe2kjx9pbacgpuv17yl33d, 9hqhder3adhjjovepuv4yst79, zj7p9urhzbk3naybai223js9, bxfalki1fmd687uj0b8e0m0np, dh4byuuh5mlyp147iq8cyunkl, 7y5oyflivt56zuwoyzs2q20ru, dkijqjb6nubobtobl4s2v8xxx, mf471kdl6wed3z8wlaazk82x, e0k7beubxdswouhw13td0nlk9, 6vvg5on86k2ldhs4pn2kua0vd",3967400081,194,1zteujk5u3rpr028priato4bt,3967400079,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3967400077,130,8,3967400083,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495379835,1,34,16,0,0,7fn0aazbc8nx0u040aulozds1,1,0,0,2023-01-06T20:23:00.581Z,2023-01-06T21:51:35Z,3967410597,194,575pl0igxsevhmf6nfmjwwyxh,3967410599,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3967529181,197,18052,3967410591,59,"97, 14, 16, 8, 3, 5, 79, 6, 9, 20, 10, 4, 7, 11, 13, 19, 22, 23, 82, 90",3967410595,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3967410589,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3967410587,30,"9uc54rlxmahbfppv97zi81yhh, 7m2za4jynw9fdc2ax1455ibpx, 380ejwyblelr0ef3um2cwv3ai, de1nmkgahbsrky75itebiitp1, 2amti8wga8jpons4mizksjd1x, 8f8lbg182g5jwnqbj1zgjbljp, bljvhirrui29i12tysjdtmnd, 3ynj76lod24r597rmhshxczpx, 2u7fm04v2xzqso4rubkrvjcru, 575pl0igxsevhmf6nfmjwwyxh, hrr3761wvgn1ayhsrrz4rf11, 10mmhviatbpx75fslh68s25lh, 19op8n866vmntrkobatq2u5ex, dn4o1wa7ia54rpytm5fikbsh5, 4wces11j8ejvbpz1zqd94b7fu, eblsjvbkd7vws1qpx7td1eacp, 9xk50bv3qlja26r1ecary1y3t, 9pi6sf9sdni4dn6db7rej0r85, 8bcfmmsjnman2nsp2t9rsrvxm, 8ilf7i6y4c9ezpgddh5h3ohlg",3967410593,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495402663,2,32,1,0,0,7fn0aazbc8nx0u040aulozds1,1,0,0,2023-01-06T21:17:29.548Z,2023-01-06T21:17:31Z,3967537243,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495402661,2,32,1,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,0,0,2023-01-06T21:17:29.548Z,2023-01-09T02:06:24Z,3967537241,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495402669,3,1,1,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,49.9,50.1,2023-01-06T21:17:29.586Z,2023-01-09T06:42:28Z,3967537277,212,5.1,3971472351,178,,3967537281,279,S,3967537279,213,2.9,3967537275,141,51.7,3967537271,56,Back,3967537273,140,45.2,,,,5fcx7aiflhvguztjw8mp53b9x,J. Cádiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495402679,4,1,1,0,1,5c0sf1eaipcxvdw9o22of2jdp,1,46.3,63.3,2023-01-06T21:17:31.462Z,2023-01-09T06:42:33Z,3967537353,141,80.1,3967537349,56,Back,3967537355,212,16.8,3971472405,178,,3967537351,140,34.6,3967537359,213,2.4,,,,,,,76w964mdux2s3max2nlih6az8,Gustavo Sá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495402687,5,1,1,0,4,5c0sf1eaipcxvdw9o22of2jdp,1,34.6,80.1,2023-01-06T21:17:34.187Z,2023-01-09T06:42:56Z,3967537381,141,67.2,3967537379,140,38.6,3967537385,213,5.2,3967537377,56,Back,3971472437,178,,3967537383,212,9.7,,,,,,,4ofpb9y2fqqr3d5cdfbl05c6h,E. Mihaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495402691,6,1,1,0,5,5c0sf1eaipcxvdw9o22of2jdp,1,38.6,67.2,2023-01-06T21:17:34.879Z,2023-01-09T06:43:09Z,3967537423,141,82.5,3967537419,56,Back,3967537421,140,33.6,3971472473,178,,3967537427,213,2.0,3967537425,212,11.7,,,,,,,1u9sn1cu0pq16mina2q6d6dwp,S. Colombatto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495402699,7,1,1,0,7,5c0sf1eaipcxvdw9o22of2jdp,1,33.6,82.5,2023-01-06T21:17:36.569Z,2023-01-09T06:43:02Z,3967537457,141,64.3,3971472641,178,,3967537459,212,18.0,3967537461,213,3.9,3967537455,140,21.1,3967537453,56,Back,,,,,,,4ofpb9y2fqqr3d5cdfbl05c6h,E. Mihaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495402705,8,1,1,0,9,5c0sf1eaipcxvdw9o22of2jdp,1,21.1,64.3,2023-01-06T21:17:39.379Z,2023-01-09T06:43:22Z,3967537497,213,4.8,3971472893,178,,3967537493,141,35.4,3967537491,140,23.6,3967537495,212,19.8,3967537489,56,Back,,,,,,,48li2iey0m9b8h8cvs6py2iy2,Gustavo Assunção,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
