id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/9/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/11/value,qualifier/16/value,assist,qualifier/18/value
2510441245,1,34,16,0,0,alyavx3ad35bp1xuwmqk7sgev,1,0,0,2023-02-20T17:56:36.528Z,2023-02-20T19:16:06Z,4046589541,194,2b4soa2ddbbmdwm0ur760jh05,4046589535,59,"31, 2, 12, 83, 26, 19, 10, 16, 20, 17, 8, 3, 7, 21, 23, 30, 44, 47, 73, 95",4046589543,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4046682841,197,2933,4046589533,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4046589531,30,"chwv6iayowufvu6hb1fg6ydwp, 59ly8uun0sl324s7rtlmp6ac, c9lykzcr3q7hr50ui74iqastm, 7137owa2iq6cpmdiwi6uldh3p, 8hyaww1d0p9871u8o8zk8f9at, z6po5y26nap863d68tcekhqt, 2b4soa2ddbbmdwm0ur760jh05, 1w926qtyntprx5ommoaa5nhed, 7r96u3b7t46s0kg5t5qew3tnt, 47z2phkn1i9z8p32zqlu53j6x, 3845lzar855rp3zp4stgmgul1, 2nod7tpovdjb85efh2sogijth, bfy36wqp37utkkbl13k7s99m1, 1rdadi8uuu161wj8o7gbcn8wl, 1bpopqr7cuikh6s6sk4ij31ed, avugx69mdi4p8c25p9fetmq22, 530nhsyjmbwcpb8536pgwbld5, 63u6t8h9cls93p7oglb8l242c, 361pxz5e33ydl2c3t63a9kzc9, awu6zsiy6l8e3p1athc733jkl",4046589539,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4046589537,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510441483,1,34,16,0,0,7catg5lpivcmpf4xhggh6d8rk,1,0,0,2023-02-20T17:58:16.862Z,2023-02-20T18:57:25Z,4046591345,30,"342kh2ue733edf9q7s0a2edat, 3e8mxxfs5q7gt4lg2beqpkwyd, a9ozu4hjaylfr4299ceryskid, cayu6id8xmj67n29s2x3bsbxm, a9htjxrpgqlcv577x4kvlkh5h, 38339rg6eqprxc0w976gozjmc, eee0bq4dkdn91l81e8cf1zxpm, 8jfjglichcg0py57hhri5v0fd, c270jephiphzfpig96q3jyz11, 6x3qvqsp90kjsps3e4wx0oxqt, 83ekq1r2omnsazmp41pio8s89, 3fo37mb4cp6lb0e86hhiyvu8l, 6hnzgiw8h1itz9l2j3sb6oeeh, d9i8y5vlymc2yggwxrax8wcbu, cuc7gtr9q0465wxmzgq834ag9, 6cx5c6bzp1hq6c1vui53mxzx0, 9qp4xdwqq8odu20tto0zztz4k, 1xxhkr7nex5mjc9hrxm100lih, 10k53pv13mw9hzllv70umgzbp, 2m5jzeksbet8ltn3shk2exox6",4046591355,194,a9htjxrpgqlcv577x4kvlkh5h,4046591357,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4046591349,59,"1, 19, 11, 25, 4, 26, 28, 15, 20, 10, 17, 2, 3, 5, 12, 18, 32, 33, 47, 79",4046682837,197,12815,4046591347,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4046591351,130,17,4046591353,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510458853,2,32,1,0,0,7catg5lpivcmpf4xhggh6d8rk,1,0,0,2023-02-20T19:01:15.062Z,2023-02-20T19:01:15Z,4046684647,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510458859,2,32,1,0,0,alyavx3ad35bp1xuwmqk7sgev,1,0,0,2023-02-20T19:01:15.062Z,2023-02-22T11:26:11Z,4046684665,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510458863,3,1,1,0,0,7catg5lpivcmpf4xhggh6d8rk,1,50,50,2023-02-20T19:01:15.232Z,2023-02-23T02:56:23Z,4046684695,279,S,4050283203,178,,4046684685,140,35.9,4046684687,141,51.4,4046684689,212,14.8,4046684691,213,3.1,4046684683,56,Back,,,,c270jephiphzfpig96q3jyz11,Paulinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510458873,4,1,1,0,2,7catg5lpivcmpf4xhggh6d8rk,1,40.4,39,2023-02-20T19:01:17.601Z,2023-02-23T02:56:27Z,4046684753,140,36.1,4046684751,56,Back,4050283225,178,,4046684759,213,4.4,4046684757,212,12.9,4046684755,141,21.2,,,,,,,8jfjglichcg0py57hhri5v0fd,M. Ugarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510458893,5,1,1,0,5,7catg5lpivcmpf4xhggh6d8rk,1,36.1,21.2,2023-02-20T19:01:20.554Z,2023-02-23T02:56:31Z,4046684825,141,41.5,4050283235,178,,4046684823,140,31.0,4046684821,56,Back,4046684829,213,1.9,4046684827,212,14.8,,,,,,,38339rg6eqprxc0w976gozjmc,O. Diomande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510458897,6,1,1,0,9,7catg5lpivcmpf4xhggh6d8rk,1,31.4,40.5,2023-02-20T19:01:24.115Z,2023-02-23T02:56:33Z,4050283255,178,,4046684857,140,38.9,4046684863,213,5.2,4046684861,212,16.8,4046684859,141,18.7,4046684855,56,Back,,,,,,,a9htjxrpgqlcv577x4kvlkh5h,S. Coates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510458905,7,1,1,0,12,7catg5lpivcmpf4xhggh6d8rk,1,42.8,12.9,2023-02-20T19:01:27.098Z,2023-02-23T02:56:35Z,4046684895,212,21.5,4046684897,213,6.0,4046684891,140,62.3,4046684889,56,Right,4050283285,178,,4046684893,141,3.3,,,,,,,38339rg6eqprxc0w976gozjmc,O. Diomande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510458907,8,1,1,0,15,7catg5lpivcmpf4xhggh6d8rk,1,60.2,3.5,2023-02-20T19:01:30.115Z,2023-02-23T02:56:39Z,4046684915,141,33.8,4046684913,140,38.1,4046684911,56,Back,4050283325,178,,4046684919,213,2.4,4046684917,212,31.0,,,,,,,3e8mxxfs5q7gt4lg2beqpkwyd,Héctor Bellerín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
