id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,qualifier/14/value,assist,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2519890469,1,34,16,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,0,0,2023-03-13T19:29:05.959Z,2023-03-13T20:27:34Z,4096589141,30,"6ddxujeb3873j5evwiz8n4wt0, ck3l6a262hves3v6nywarx9pm, d98j4asio4xrxcwmfg1ak95yi, 1u9sn1cu0pq16mina2q6d6dwp, 1zteujk5u3rpr028priato4bt, 4ofpb9y2fqqr3d5cdfbl05c6h, 9wek84cn7z0ou46623nlo876y, 48li2iey0m9b8h8cvs6py2iy2, 4owddsmmbkkv0vbcj0fz0hlud, dh4byuuh5mlyp147iq8cyunkl, arpoe2kjx9pbacgpuv17yl33d, 9hqhder3adhjjovepuv4yst79, zj7p9urhzbk3naybai223js9, 6jkfecnicg5ilzy44x7ld7u1h, 7y5oyflivt56zuwoyzs2q20ru, mf471kdl6wed3z8wlaazk82x, 76w964mdux2s3max2nlih6az8, 6vvg5on86k2ldhs4pn2kua0vd, bvlwv6fwawqnv446zj516y4no",4096589153,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4096589149,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4096589147,130,8,4096589151,194,1zteujk5u3rpr028priato4bt,4096589143,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4096589145,59,"31, 6, 74, 97, 15, 4, 9, 12, 70, 7, 10, 1, 2, 8, 14, 18, 20, 32, 77",4096748791,197,6595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519891691,1,34,16,0,0,ewsf6evtguu9j7k6js4tlgl89,1,0,0,2023-03-13T19:31:42.262Z,2023-03-13T20:46:19Z,4096713049,197,7108,4096595817,30,"4k2wic25asdlmuqr17e3s6nkl, 1vw6okufgzi8d2rx2yx3vuhux, 58r7rr6rqtji5m0bkdxmwqqui, 6wjwijfj7i2vvlsxzyzfb2cwl, d92r3s9hlaq3k56b503ovjfmd, dqpkkgodtwn11fgpq2c3tlqz9, 2ban1f798o92hq593c8a0nv11, 5vdaexx0jnv7shichfmowutt6, edk9jemtelz51uoob4quyd4kq, 53unfq55ouhqni5jbl07fyqc5, 3sxd2j3a9d2bukfeu5y9824tl, dcj62hda8r17fx396ks6w79p1, 3uvek737jr8909is4vi1d9nxm, 6uubxxvwp558g19wxmprfqtw5, 64upo0p7ealjcpfkldjiqlvit, 7btjqixepiu3ykopyvg3k6itx, 2ys97q3e9xsfgzpovshkjoxgq, 2htuct5gfuihhhvx9trpkmj56, 5djfxgxa12bypv4g5zk5rit0q, ag5ozuf1o3ixkdrdb39g9dasp",4096595829,194,6wjwijfj7i2vvlsxzyzfb2cwl,4096595821,59,"33, 2, 5, 13, 15, 19, 27, 80, 99, 7, 17, 3, 4, 6, 8, 16, 20, 24, 30, 68",4096595819,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4096595825,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4096595835,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4096595823,130,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519913541,2,32,1,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,0,0,2023-03-13T20:16:36.016Z,2023-03-15T11:17:07Z,4096713779,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519913559,2,32,1,0,0,ewsf6evtguu9j7k6js4tlgl89,1,0,0,2023-03-13T20:16:36.016Z,2023-03-13T20:16:37Z,4096713869,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519913569,3,1,1,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,50.4,49.6,2023-03-13T20:16:36.092Z,2023-03-15T23:04:02Z,4096713941,140,41.7,4096713949,279,S,4096713943,141,49.4,4096713945,212,9.1,4100036529,178,,4096713937,56,Back,4096713947,213,3.2,,,,4owddsmmbkkv0vbcj0fz0hlud,Denilson Junior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519913577,4,1,1,0,2,5c0sf1eaipcxvdw9o22of2jdp,1,42.8,49.6,2023-03-13T20:16:38.167Z,2023-03-15T23:04:06Z,4096713985,213,0.6,4096715779,1,,4096713983,212,50.3,4100036653,178,,4096713979,140,81.2,4096713977,56,Left,4096713981,141,93.8,4096713975,155,,dh4byuuh5mlyp147iq8cyunkl,Ivo Rodrigues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519913653,5,1,1,0,4,5c0sf1eaipcxvdw9o22of2jdp,0,81.1,94.5,2023-03-13T20:16:40.909Z,2023-03-15T23:04:11Z,4100036713,388,,4096714357,213,4.1,4096714353,141,84.5,4096714355,212,8.1,4096714349,56,Left,4096714347,3,,4096714351,140,76.9,,,,d98j4asio4xrxcwmfg1ak95yi,Francisco Moura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519913657,6,3,1,0,7,5c0sf1eaipcxvdw9o22of2jdp,0,77.1,86,2023-03-13T20:16:43.078Z,2023-03-15T23:04:16Z,4097779829,464,,4096714373,286,,4100036863,178,,4096714399,233,3,4096714371,56,Left,,,,,,,,,,arpoe2kjx9pbacgpuv17yl33d,Iván Jaime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519913627,3,7,1,0,7,ewsf6evtguu9j7k6js4tlgl89,0,22.9,14,2023-03-13T20:16:43.124Z,2023-03-15T23:04:18Z,4096714387,233,6,4100036969,178,,4097779855,383,,4096714271,285,,4096714269,56,Back,,,,,,,,,,1vw6okufgzi8d2rx2yx3vuhux,E. Fereira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519940057,453,61,1,0,7,5c0sf1eaipcxvdw9o22of2jdp,1,76.3,85.5,2023-03-13T20:16:43.173Z,2023-03-15T23:04:29Z,4100037213,178,,4096855479,56,Left,,,,,,,,,,,,,,,,,,,arpoe2kjx9pbacgpuv17yl33d,Iván Jaime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
