id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId
2461938851,1,34,16,0,0,8gvg1ranyf93hprfkwx3ofl2y,1,0,0,2022-09-18T13:27:03.613Z,2022-09-18T14:32:49Z,3790505677,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3790876345,197,4663,3790505687,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3790505681,130,13,3790505685,194,2accix9saahg900cja5e9iw9h,3790505679,59,"14, 28, 5, 3, 22, 13, 21, 10, 33, 7, 20, 9, 11, 38, 61, 72, 80, 83, 90, 98",3790505675,30,"2accix9saahg900cja5e9iw9h, exasml2zx1pe8runrm6oh5dsk, ay10c4r23f0tlyuqytje0ack4, 6ram2zlda1gvj947zzmab68r9, 2lur2ts61wwrsvih1lb1jee50, bot4jd6s4g69w5wvtn9qlevx0, 2cs8bo4l70gbkudh3gqazb105, 7bizatqq8lesywgb68x9cizmd, evwzikhqpwulci3y20ckeoc15, 53sq02gs09i7chjvx2zfwdaz9, 4tyjzyixiz32zfs37qs4u6ve2, 35csuq89nc1zgpc4j2mdav6jt, 1ziaf8ivlizetjhinr9ua6uax, 20qxviornp26t0t8oq8xuyi5m, 5t1rye3rn687wyd2baz2v1u6s, 9avbe1i215rk0o2j16iq0u2nd, 1qcf5gb8wf8f4tu94xh96yqy, 5desb812yn2icc8d2lew7lu22, 1899balq50r7vbqqf8qwjlxpl, bgcphqeckm71jpbnzjivrnug9",3790505683,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461943723,1,34,16,0,0,dich5v7sw466smbqap0d9rbyj,1,0,0,2022-09-18T13:32:09.240Z,2022-09-18T14:29:37Z,3790531545,130,7,3790531541,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3790531549,194,8zt0zlypar7m1eqj4zu8ul695,3790531543,59,"1, 28, 6, 17, 13, 44, 7, 10, 19, 5, 43, 2, 8, 9, 11, 12, 14, 20, 21, 64",3790877647,197,390,3790531539,30,"c7wta7tm5rfielv4211c253v9, djb8j3hb7mnnghg9jmd15w0r9, ds66cc3zwxbyl5zfzag5422g9, 1swp008ttj3pd57fz5uw8mctm, 8zt0zlypar7m1eqj4zu8ul695, 43mnaysq76cz587wxk8w3job9, clnli7y2s88p16yqtrbsb99sl, 3w3z6g8x70ii3pltaxyxbycwl, 3vln1sp3b13v1yhcsd0vl3c2x, 7nrjutc015x9nupdcl4hj3l5h, evdhe2j9k1smuk1ul7woo3h0p, 9l70xwbhc0xr57iifzyxzot7t, c0pat4dqmsc4teand5ampsdlh, 4effb0zguv2lqtv2vl9lqb696, dh3ddfghtgeb2iu2608y96i5m, 25n2vrjnz5qsm5pigyn3ps8vd, 1nqpxso2a9qw8w8g6u4sb60ut, 79ir6aubulzanvonfbgngk5hx, bdgqvvkpadpthmlm40wa6dcyx, 2jl9lfqd2q74iwamx7g0xva50",3790531551,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3790531547,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462010087,2,32,1,0,0,8gvg1ranyf93hprfkwx3ofl2y,1,0,0,2022-09-18T14:30:08.119Z,2022-09-18T14:30:08Z,3790881257,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462010099,2,32,1,0,0,dich5v7sw466smbqap0d9rbyj,1,0,0,2022-09-18T14:30:08.119Z,2022-09-20T21:01:58Z,3790881335,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462010171,3,1,1,0,0,8gvg1ranyf93hprfkwx3ofl2y,1,50.3,49.9,2022-09-18T14:30:08.226Z,2022-09-21T06:00:37Z,3790881819,213,3.7,3790881813,140,47.2,3790881815,141,46.6,3790881811,56,Back,3790881821,279,S,3795922195,178,,3790881817,212,4.0,,,,evwzikhqpwulci3y20ckeoc15,Anderson Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462010189,4,1,1,0,1,8gvg1ranyf93hprfkwx3ofl2y,1,47,46,2022-09-18T14:30:09.893Z,2022-09-21T06:00:46Z,3790881947,212,19.4,3795922349,178,,3790881945,141,22.7,3790881941,56,Back,3790881943,140,36.3,3790881949,213,4.1,,,,,,,2cs8bo4l70gbkudh3gqazb105,André André,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462010233,5,1,1,0,4,8gvg1ranyf93hprfkwx3ofl2y,1,36.3,22.7,2022-09-18T14:30:12.447Z,2022-09-21T06:00:50Z,3790882183,212,11.1,3790882175,56,Back,3795922413,178,,3790882181,141,38.8,3790882187,213,1.7,3790882177,140,34.7,,,,,,,bot4jd6s4g69w5wvtn9qlevx0,André Amaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462010277,6,1,1,0,7,8gvg1ranyf93hprfkwx3ofl2y,1,34.4,37.6,2022-09-18T14:30:15.946Z,2022-09-21T06:00:54Z,3790882401,141,9.8,3790882405,213,5.6,3790882397,56,Right,3790882403,212,29.4,3790882395,155,,3790882399,140,55.9,3795922507,178,,,,,2lur2ts61wwrsvih1lb1jee50,I. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462010297,7,1,1,0,9,8gvg1ranyf93hprfkwx3ofl2y,0,55.7,9.7,2022-09-18T14:30:17.858Z,2022-09-21T06:01:00Z,3790882487,56,Right,3795922593,178,,3790882493,212,12.7,3790882495,213,0.2,3790882491,141,12.9,3790882489,140,67.6,,,,,,,exasml2zx1pe8runrm6oh5dsk,Zé Carlos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462010347,3,1,1,0,11,dich5v7sw466smbqap0d9rbyj,1,25.1,83.2,2022-09-18T14:30:19.594Z,2022-09-21T06:01:04Z,3795922651,178,,3790882775,140,32.2,3790882767,56,Back,3790882789,213,0.6,3790882785,212,9.1,3790882779,141,90.8,,,,,,,43mnaysq76cz587wxk8w3job9,N. Galović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
