id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,assist,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value,qualifier/17/value
2515081081,1,34,16,0,0,22mo7qbsnyi8wtucpvhgvhw2q,1,0,0,2023-03-04T15:05:51.279Z,2023-03-04T15:37:44Z,4071067189,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4071067185,30,"1ocxh5s9uo0s8ag79j7iv6acp, 3gelookco8f9ft0guaec03t3o, 3o3pp38h4ww0btuxzna0mhtcl, atkoaobhylui34grbharm41xx, 9ylq7ia76wd7pxq3ax9qo8w5x, 2jskw42u7twkcsxa15hcysiy1, 51edb4gy0w4q1wns87xehn2dx, dyeuxixz75ematbmtiwzcvhzp, 31i957f27zym4aj6xdjxu7nit, 513jimgihzk9w1kuad57jrnxl, 74hu9pcq0b1z36871v3inexyi, dzq4gg917idfq1rhng1coi5uc, dqpofsnyszazhkp0t7gtlfi3u, e4x6fx7njwfevkwf1t0ocyq51, cdkxx5845lj8spbg3ha7m1xm2, ctkp6xkdg68xonlfkjwe580oa, a5djhs58ls97llpu6i80dak15, c9juqy1fmkna7jcozyeg0weeh, 4mvqt04u92wsm1p5ja8fpilii, 5bl0qe7l7juksox3s4u76hxat",4071067197,194,3o3pp38h4ww0btuxzna0mhtcl,4071067193,130,4,4071067191,59,"99, 62, 31, 5, 34, 23, 10, 20, 11, 27, 21, 3, 7, 13, 22, 25, 28, 50, 78, 95",4071067199,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4071067195,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4071306783,197,11679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515083975,1,34,16,0,0,7fn0aazbc8nx0u040aulozds1,1,0,0,2023-03-04T15:07:03.650Z,2023-03-04T15:34:24Z,4071082129,194,chy52wzncc8ulmer9z2rebit,4071082125,130,4,4071082121,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4071310835,197,18052,4071082131,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4071082127,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4071082119,30,"9uc54rlxmahbfppv97zi81yhh, 7m2za4jynw9fdc2ax1455ibpx, chy52wzncc8ulmer9z2rebit, alz3emnuh5bnaa64oia9pgsq2, 2amti8wga8jpons4mizksjd1x, 10mmhviatbpx75fslh68s25lh, de1nmkgahbsrky75itebiitp1, 575pl0igxsevhmf6nfmjwwyxh, 2u7fm04v2xzqso4rubkrvjcru, bljvhirrui29i12tysjdtmnd, hrr3761wvgn1ayhsrrz4rf11, 22ctb2x9iztmzylscpwyqtrhm, dn4o1wa7ia54rpytm5fikbsh5, 4wces11j8ejvbpz1zqd94b7fu, 380ejwyblelr0ef3um2cwv3ai, eblsjvbkd7vws1qpx7td1eacp, 9pi6sf9sdni4dn6db7rej0r85, 16mci88sfp5ijpwf661mes8yy, 8bcfmmsjnman2nsp2t9rsrvxm, 8ilf7i6y4c9ezpgddh5h3ohlg",4071082123,59,"97, 14, 24, 34, 3, 4, 8, 20, 9, 79, 10, 17, 11, 13, 16, 19, 23, 25, 82, 90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515135125,2,32,1,0,0,22mo7qbsnyi8wtucpvhgvhw2q,1,0,0,2023-03-04T15:30:06.303Z,2023-03-06T22:06:03Z,4071353227,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515135139,3,32,1,0,0,7fn0aazbc8nx0u040aulozds1,1,0,0,2023-03-04T15:30:06.303Z,2023-03-04T15:30:09Z,4071353309,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515135189,4,1,1,0,0,7fn0aazbc8nx0u040aulozds1,1,50.3,50.7,2023-03-04T15:30:06.421Z,2023-03-07T10:44:36Z,4071353709,140,36.9,4071353717,213,3.4,4071353721,279,S,4079751579,178,,4071353711,141,44.7,4071353707,56,Back,4071353715,212,14.6,,,,575pl0igxsevhmf6nfmjwwyxh,Samú,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515135253,5,1,1,0,2,7fn0aazbc8nx0u040aulozds1,1,35.6,46.8,2023-03-04T15:30:08.615Z,2023-03-07T06:44:56Z,4071354041,141,47.6,4071354045,213,0.0,4079751623,178,,4071354037,56,Center,4071354043,212,19.6,4071354039,140,54.3,,,,,,,alz3emnuh5bnaa64oia9pgsq2,Pedro Ortiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515135311,6,1,1,0,3,7fn0aazbc8nx0u040aulozds1,1,54.3,47.6,2023-03-04T15:30:09.823Z,2023-03-07T06:45:00Z,4071354337,213,2.6,4071354333,141,54.5,4071354329,56,Back,4071354335,212,8.5,4071354331,140,47.6,4079751679,178,,,,,,,,575pl0igxsevhmf6nfmjwwyxh,Samú,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515135469,7,1,1,0,4,7fn0aazbc8nx0u040aulozds1,1,47,54.7,2023-03-04T15:30:10.882Z,2023-03-07T06:45:05Z,4071355141,140,93.4,4071355149,213,0.4,4071355145,141,84.2,4079751751,178,,4071355133,155,,4071355147,212,52.7,4071355151,1,,4071355137,56,Left,de1nmkgahbsrky75itebiitp1,Raphael Guzzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515135533,8,1,1,0,9,7fn0aazbc8nx0u040aulozds1,0,94.7,82.3,2023-03-04T15:30:16.210Z,2023-03-07T06:45:08Z,4077311777,225,,4071355439,2,,4077311781,72,,4071355453,212,28.1,4071355449,141,43.2,4077311779,386,,4071355455,213,4.4,4071355443,56,Center,hrr3761wvgn1ayhsrrz4rf11,Kiko Bondoso,4079751795,178,4071355447,140,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515135565,3,49,1,0,11,22mo7qbsnyi8wtucpvhgvhw2q,1,14.6,62.7,2023-03-04T15:30:17.656Z,2023-03-07T06:45:17Z,,,,,,,,,,,,,,,,,,,,,,,,,74hu9pcq0b1z36871v3inexyi,Tiago Gouveia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
